name,id,align,eye,hair,gender,gsm,alive,appearances,first_appear,publisher
Norrin Radd (Earth-616),Public,Good,Blue Eyes,Bald,Male,NA,Living Characters,696,Mar-66,marvel
Norman Osborn (Earth-616),Public,Bad,Blue Eyes,Auburn Hair,Male,NA,Living Characters,692,Jul-64,marvel
Eugene Thompson (Earth-616),Secret,Good,Blue Eyes,Strawberry Blond Hair,Male,NA,Living Characters,689,Aug-62,marvel
Simon Williams (Earth-616),Public,Good,Red Eyes,Grey Hair,Male,NA,Living Characters,686,Oct-64,marvel
Samuel Guthrie (Earth-616),Secret,Good,Blue Eyes,Blond Hair,Male,NA,Living Characters,657,Nov-82,marvel
James Buchanan Barnes (Earth-616),Secret,Good,Brown Eyes,Brown Hair,Male,NA,Living Characters,641,Mar-41,marvel
Remy LeBeau (Earth-616),Secret,Good,Black Eyeballs,Brown Hair,Male,NA,Living Characters,636,Jul-90,marvel
Daniel Rand (Earth-616),Secret,Good,Blue Eyes,Blond Hair,Male,NA,Living Characters,618,May-74,marvel
Nathan Summers (Earth-616),Public,Neutral,Blue Eyes,White Hair,Male,NA,Living Characters,612,Jan-86,marvel
Elizabeth Brant (Earth-616),No Dual,Good,Brown Eyes,Brown Hair,Female,NA,Living Characters,599,Sep-63,marvel
Richard Jones (Earth-616),Secret,Good,Brown Eyes,Brown Hair,Male,NA,Living Characters,590,May-62,marvel
Edwin Jarvis (Earth-616),No Dual,Good,Blue Eyes,White Hair,Male,NA,Living Characters,567,Nov-64,marvel
Alexander Summers (Earth-616),Public,Good,Blue Eyes,Blond Hair,Male,NA,Living Characters,558,Mar-69,marvel
Patricia Walker (Earth-616),Secret,Good,Blue Eyes,Red Hair,Female,NA,Living Characters,550,Nov-44,marvel
Human Torch (Android) (Earth-616),Public,Good,Blue Eyes,Blond Hair,Male,NA,Living Characters,548,Oct-39,marvel
Loki Laufeyson (Earth-616),No Dual,Neutral,Green Eyes,Black Hair,Other,Bisexual Characters,Living Characters,532,Aug-49,marvel
Franklin Nelson (Earth-616),No Dual,Good,Blue Eyes,Bald,Male,NA,Living Characters,528,Apr-64,marvel
Brian Braddock (Earth-616),Public,Good,Blue Eyes,Blond Hair,Male,NA,Living Characters,528,Oct-76,marvel
Otto Octavius (Earth-616),Secret,Neutral,Hazel Eyes,Brown Hair,Male,NA,Deceased Characters,526,Jul-63,marvel
James Rhodes (Earth-616),Secret,Good,Brown Eyes,Brown Hair,Male,NA,Living Characters,525,Jan-79,marvel
Timothy Dugan (Earth-616),Public,Good,Blue Eyes,Red Hair,Male,NA,Deceased Characters,517,May-63,marvel
Crystalia Amaquelin (Earth-616),Public,Good,Green Eyes,Strawberry Blond Hair,Female,NA,Living Characters,512,Dec-65,marvel
Samuel Wilson (Earth-616),Public,Good,Brown Eyes,Black Hair,Male,NA,Living Characters,512,Sep-69,marvel
Wilson Fisk (Earth-616),Public,Bad,Blue Eyes,Bald,Male,NA,Living Characters,503,Jul-67,marvel
Odin Borson (Earth-616),Public,Neutral,Blue Eyes,White Hair,Male,NA,Living Characters,502,Oct-62,marvel
Deadpool (Wade Wilson),Secret,Neutral,Brown Eyes,Bald,Male,Transvestites,Living Characters,500,Feb-91,marvel
Dane Whitman (Earth-616),Secret,Good,Brown Eyes,Brown Hair,Male,NA,Living Characters,478,Dec-67,marvel
Harold Osborn (Earth-616),No Dual,Good,Blue Eyes,Brown Hair,Male,NA,Living Characters,474,Dec-65,marvel
Franklin Richards (Earth-616),No Dual,Good,Blue Eyes,Blond Hair,Male,NA,Living Characters,473,Nov-68,marvel
Jessica Drew (Earth-616),Secret,Good,Green Eyes,Auburn Hair,Female,NA,Living Characters,471,Feb-77,marvel
Roberto da Costa (Earth-616),Secret,Good,Brown Eyes,Black Hair,Male,NA,Living Characters,464,Nov-82,marvel
Rahne Sinclair (Earth-616),Secret,Good,Green Eyes,Red Hair,Female,NA,Living Characters,448,Nov-82,marvel
Elizabeth Ross (Earth-616),Public,Good,Blue Eyes,Black Hair,Female,NA,Living Characters,446,May-62,marvel
Lorna Dane (Earth-616),Secret,Good,Green Eyes,Green Hair,Female,NA,Living Characters,433,Oct-68,marvel
Blaine Colt (Earth-616),Public,NA,Blue Eyes,Blond Hair,Male,NA,Deceased Characters,429,NA,marvel
Johnathon Blaze (Earth-616),Secret,Good,Blue Eyes,Reddish Blond Hair,Male,NA,Living Characters,426,Aug-72,marvel
Sif (Earth-616),No Dual,Good,Blue Eyes,Black Hair,Female,NA,Living Characters,422,Mar-64,marvel
Red Hulk (Thaddeus Ross),Public,Neutral,Blue Eyes,Black Hair,Male,NA,Living Characters,415,May-62,marvel
Jubilation Lee (Earth-616),Secret,Good,Brown Eyes,Black Hair,Female,NA,Living Characters,408,May-89,marvel
Volstagg (Earth-616),Public,Good,Blue Eyes,Red Hair,Male,NA,Living Characters,406,Aug-65,marvel
Balder Odinson (Earth-616),Secret,Good,Blue Eyes,Brown Hair,Male,NA,Deceased Characters,403,Oct-62,marvel
Galactus (Earth-616),Secret,Neutral,Brown Eyes,No Hair,Male,NA,Living Characters,390,Mar-66,marvel
Danielle Moonstar (Earth-616),Secret,Good,Brown Eyes,Black Hair,Female,NA,Living Characters,388,Nov-82,marvel
Marc Spector (Earth-616),Secret,Good,Brown Eyes,Brown Hair,Male,NA,Living Characters,387,Aug-75,marvel
Gwendolyne Stacy (Earth-616),No Dual,Good,Blue Eyes,Blond Hair,Female,NA,Deceased Characters,384,Dec-65,marvel
Medusalith Amaquelin (Earth-616),Public,Good,Green Eyes,Red Hair,Female,NA,Living Characters,382,Mar-65,marvel
Sabretooth (Victor Creed),Secret,Bad,Amber Eyes,Blond Hair,Male,NA,Living Characters,382,Aug-77,marvel
Illyana Rasputina (Earth-616),Secret,Neutral,Blue Eyes,Blond Hair,Female,NA,Living Characters,380,May-75,marvel
Johann Shmidt (Earth-616),Public,Bad,Blue Eyes,Blond Hair,Male,NA,Deceased Characters,376,Aug-41,marvel
Fandral (Earth-616),Secret,Good,Blue Eyes,Blond Hair,Male,NA,Deceased Characters,375,Aug-65,marvel
Sean Cassidy (Earth-616),Secret,Neutral,Green Eyes,Strawberry Blond Hair,Male,NA,Living Characters,374,Jan-67,marvel
Thomas Raymond (Earth-616),Secret,Good,Blue Eyes,Black Hair,Male,NA,Living Characters,373,Sep-40,marvel
Uatu (Earth-616),Public,Good,Blue Eyes,Bald,Male,NA,Deceased Characters,373,Apr-63,marvel
Richard Rider (Earth-616),Public,Good,Brown Eyes,Brown Hair,Male,NA,Deceased Characters,373,Sep-76,marvel
Hogun (Earth-616),Public,Good,Grey Eyes,Black Hair,Male,NA,Living Characters,371,Aug-65,marvel
Raven Darkholme (Earth-616),Secret,Bad,Yellow Eyes,Red Hair,Female,Bisexual Characters,Living Characters,371,Apr-78,marvel
Barbara Morse (Earth-616),Secret,Good,Blue Eyes,Blond Hair,Female,NA,Living Characters,368,Jun-71,marvel
Blackagar Boltagon (Earth-616),No Dual,Good,Blue Eyes,Black Hair,Male,NA,Living Characters,366,Dec-65,marvel
Brunnhilde (Earth-616),Secret,Good,Blue Eyes,Blond Hair,Female,NA,Living Characters,361,Dec-70,marvel
Alison Blaire (Earth-616),Public,Good,Blue Eyes,Strawberry Blond Hair,Female,NA,Living Characters,353,Feb-80,marvel
Venom (Symbiote) (Earth-616),Secret,Neutral,Variable Eyes,No Hair,Other,NA,Living Characters,348,May-84,marvel
John Walker (Earth-616),Secret,Good,Blue Eyes,Blond Hair,Male,NA,Living Characters,346,Nov-86,marvel
Greer Grant (Earth-616),Public,Good,Green Eyes,Black Hair,Female,NA,Living Characters,342,Nov-72,marvel
Karla Sofen (Earth-616),Public,Neutral,Blue Eyes,Blond Hair,Female,NA,Living Characters,340,Dec-75,marvel
William Baker (Earth-616),Secret,Neutral,Brown Eyes,Brown Hair,Male,NA,Living Characters,338,Sep-63,marvel
Sharon Carter (Earth-616),Public,Good,Blue Eyes,Blond Hair,Female,NA,Living Characters,332,Mar-66,marvel
Felicia Hardy (Earth-616),Public,Bad,NA,Blond Hair,Female,NA,Living Characters,332,Jul-79,marvel
Cain Marko (Earth-616),Public,Neutral,Blue Eyes,Red Hair,Male,NA,Living Characters,329,Jul-65,marvel
Monica Rambeau (Earth-616),Secret,Good,Brown Eyes,Black Hair,Female,NA,Living Characters,327,NA,marvel
Maria Hill (Earth-616),No Dual,Good,Brown Eyes,Black Hair,Female,NA,Living Characters,325,Apr-05,marvel
Ben Urich (Earth-616),No Dual,Good,Brown Eyes,Brown Hair,Male,NA,Living Characters,324,Jul-78,marvel
Heather Douglas (Earth-616),Secret,Good,Blue Eyes,Bald,Female,Bisexual Characters,Living Characters,323,Jan-73,marvel
Millicent Collins (Earth-616),Public,NA,Blue Eyes,Blond Hair,Female,NA,Living Characters,321,Dec-45,marvel
James Proudstar (Earth-616),Secret,Good,Brown Eyes,Black Hair,Male,NA,Living Characters,320,Jun-84,marvel
Angelica Jones (Earth-616),Secret,Good,Green Eyes,Red Hair,Female,NA,Living Characters,319,May-85,marvel
Edward Brock (Earth-616),Public,Neutral,Black Eyes,Blond Hair,Male,NA,Living Characters,318,Sep-86,marvel
MacDonald Gargan (Earth-616),Secret,Bad,Brown Eyes,Bald,Male,NA,Living Characters,317,Dec-64,marvel
Mephisto (Earth-616),No Dual,Bad,White Eyes,Black Hair,Male,NA,Living Characters,316,Dec-68,marvel
Tabitha Smith (Earth-616),Secret,Good,Blue Eyes,Blond Hair,Female,NA,Living Characters,316,Nov-85,marvel
Jean-Paul Beaubier (Earth-616),Secret,Good,Blue Eyes,Black Hair,Male,Homosexual Characters,Living Characters,313,Apr-79,marvel
Daniel Ketch (Earth-616),Secret,Neutral,Green Eyes,Brown Hair,Male,NA,Living Characters,311,May-90,marvel
Neena Thurman (Earth-616),Secret,Good,Blue Eyes,Black Hair,Female,NA,Living Characters,310,Mar-92,marvel
Wong (Earth-616),No Dual,Good,Brown Eyes,Bald,Male,NA,Living Characters,306,Jul-63,marvel
Thanos (Earth-616),No Dual,Bad,Red Eyes,No Hair,Male,NA,Living Characters,306,Feb-73,marvel
Shang-Chi (Earth-616),No Dual,Good,Brown Eyes,Black Hair,Male,NA,Living Characters,296,Dec-73,marvel
Alicia Masters (Earth-616),No Dual,Good,Brown Eyes,Strawberry Blond Hair,Female,NA,Living Characters,293,Nov-62,marvel
Robert Baldwin (Earth-616),Secret,Good,Blue Eyes,Blond Hair,Male,NA,Living Characters,293,Sep-88,marvel
Vance Astrovik (Earth-616),Public,Good,Hazel Eyes,Brown Hair,Male,NA,Living Characters,290,Jul-75,marvel
Wendell Vaughn (Earth-616),Secret,Good,Blue Eyes,Blond Hair,Male,NA,Living Characters,290,Jan-78,marvel
Chili Storm (Earth-616),Public,NA,Green Eyes,Red Hair,Female,Homosexual Characters,Living Characters,284,Oct-48,marvel
Abner Jenkins (Earth-616),Public,Good,Brown Eyes,Brown Hair,Male,NA,Living Characters,284,Aug-64,marvel
Elektra Natchios (Earth-616),Secret,Neutral,Blue Eyes,Black Hair,Female,NA,Living Characters,280,Jan-81,marvel
Bullseye (Lester) (Earth-616),Secret,Bad,Blue Eyes,Blond Hair,Male,NA,Living Characters,277,Mar-76,marvel
Forge (Earth-616),Public,Good,Brown Eyes,Black Hair,Male,NA,Living Characters,276,Aug-84,marvel
Virginia Potts (Earth-616),No Dual,Good,Green Eyes,Red Hair,Female,NA,Living Characters,274,Sep-63,marvel
Walter Langkowski (Earth-616),Secret,Good,Blue Eyes,Blond Hair,Male,NA,Living Characters,273,Apr-79,marvel
Gorgon (Earth-616),Secret,Good,Brown Eyes,Brown Hair,Male,NA,Living Characters,272,Nov-65,marvel
James Madrox (Earth-616),Public,Good,Brown Eyes,Brown Hair,Male,NA,Living Characters,271,Feb-75,marvel
Heimdall (Earth-616),Secret,Good,Grey Eyes,Brown Hair,Male,NA,Living Characters,270,Oct-62,marvel
Theresa Cassidy (Earth-616),Secret,Good,Green Eyes,Red Hair,Female,NA,Living Characters,267,Apr-81,marvel
Laura Kinney (Earth-616),Secret,Good,Green Eyes,Black Hair,Female,NA,Living Characters,265,Feb-04,marvel
Arthur Douglas (Earth-616),Secret,Good,Blue Eyes,Brown Hair,Male,NA,Living Characters,264,Feb-73,marvel
Peter Parker (Ben Reilly) (Earth-616),Secret,Good,Hazel Eyes,Blond Hair,Male,NA,Deceased Characters,263,Oct-75,marvel
Warlock (Technarch) (Earth-616),Secret,Good,Black Eyes,No Hair,Male,NA,Living Characters,261,Aug-84,marvel
Kevin Plunder (Earth-616),Public,Good,Blue Eyes,Blond Hair,Male,NA,Living Characters,260,Mar-65,marvel
Leonard Samson (Earth-616),Public,Good,Brown Eyes,Green Hair,Male,NA,Deceased Characters,260,Jul-71,marvel
Melissa Gold (Earth-616),Secret,Good,Green Eyes,Blond Hair,Female,NA,Living Characters,260,Aug-79,marvel
Lockheed (Earth-616),Secret,Good,NA,No Hair,Male,NA,Living Characters,260,Feb-83,marvel
Mercedes Knight (Earth-616),Public,Good,Brown Eyes,Black Hair,Female,NA,Living Characters,259,Mar-72,marvel
Moira Kinross (Earth-616),No Dual,Good,Blue Eyes,Brown Hair,Female,NA,Deceased Characters,259,Dec-75,marvel
Karnak (Earth-616),Secret,Good,Blue Eyes,Black Hair,Male,NA,Deceased Characters,257,Dec-65,marvel
Namorita Prentiss (Earth-616),Public,Good,Blue Eyes,Blond Hair,Female,NA,Deceased Characters,257,Jun-72,marvel
Lockjaw (Earth-616),Secret,Good,Brown Eyes,Brown Hair,Male,NA,Living Characters,255,Dec-65,marvel
Adam Warlock (Earth-616),No Dual,Good,White Eyes,Gold Hair,Male,NA,Living Characters,252,Sep-67,marvel
Heather McNeil (Earth-616),Public,Neutral,Green Eyes,Red Hair,Female,NA,Living Characters,252,Nov-80,marvel
Curtis Connors (Earth-616),Public,Neutral,Red Eyes,No Hair,Male,NA,Living Characters,250,Nov-63,marvel
Theodore Sallis (Earth-616),Secret,Good,Red Eyes,No Hair,Male,NA,Living Characters,249,May-71,marvel
Adrian Toomes (Earth-616),Public,Bad,Hazel Eyes,Bald,Male,NA,Living Characters,248,May-63,marvel
Amora (Earth-616),Public,Bad,Green Eyes,Blond Hair,Female,NA,Living Characters,247,Apr-64,marvel
Clea (Earth-616),No Dual,Good,Blue Eyes,White Hair,Female,NA,Living Characters,247,Nov-64,marvel
Mar-Vell (Earth-616),Public,Good,Blue Eyes,Blond Hair,Male,NA,Deceased Characters,245,Dec-67,marvel
Eugene Judd (Earth-616),Public,Good,Brown Eyes,Bald,Male,NA,Living Characters,245,Aug-83,marvel
Daimon Hellstrom (Earth-616),No Dual,Neutral,Red Eyes,Red Hair,Male,NA,Living Characters,242,Sep-73,marvel
John Jonah Jameson III (Earth-616),No Dual,Good,Brown Eyes,Auburn Hair,Male,NA,Living Characters,240,Mar-63,marvel
Triton (Earth-616),No Dual,Good,Green Eyes,No Hair,Male,NA,Living Characters,240,Dec-65,marvel
Meggan Puceanu (Earth-616),Secret,Good,NA,NA,Female,NA,Living Characters,240,Dec-83,marvel
Robert Reynolds (Earth-616),Secret,Neutral,Blue Eyes,Blond Hair,Male,NA,Living Characters,240,Sep-00,marvel
Aleksei Sytsevich (Earth-616),Secret,Bad,Brown Eyes,Brown Hair,Male,NA,Deceased Characters,239,Oct-66,marvel
Santo Vaccarro (Earth-616),Secret,Good,White Eyes,No Hair,Male,NA,Living Characters,238,Sep-03,marvel
Jonathan Clay (Earth-616),Secret,Good,Blue Eyes,Red Hair,Male,Homosexual Characters,Living Characters,237,Aug-60,marvel
Ares (Earth-616),Secret,Neutral,Brown Eyes,Brown Hair,Male,NA,Deceased Characters,236,Apr-49,marvel
Sersi (Earth-616),Secret,Good,Blue Eyes,Black Hair,Female,NA,Living Characters,236,Sep-76,marvel
Guido Carosella (Earth-616),Secret,Neutral,Brown Eyes,Bald,Male,NA,Living Characters,236,Jul-85,marvel
Zabu (Earth-616),Public,Good,Green Eyes,Orange Hair,Male,NA,Living Characters,234,Mar-65,marvel
Michael Morbius (Earth-616),Secret,Neutral,Red Eyes,Black Hair,Male,NA,Living Characters,231,Oct-71,marvel
Julio Richter (Earth-616),Secret,Good,Brown Eyes,Brown Hair,Male,Homosexual Characters,Living Characters,231,Jun-87,marvel
Phoenix Force (Earth-616),Secret,Neutral,NA,No Hair,NA,NA,Deceased Characters,229,Oct-76,marvel
Megan Gwynn (Earth-616),Public,Good,Black Eyeballs,Pink Hair,Female,NA,Living Characters,229,Nov-04,marvel
Kyle Richmond (Earth-616),Secret,Good,Brown Eyes,Auburn Hair,Male,NA,Living Characters,227,Oct-69,marvel
Karen Page (Earth-616),No Dual,Good,Blue Eyes,Blond Hair,Female,NA,Deceased Characters,226,Apr-64,marvel
Tyrone Johnson (Earth-616),Secret,Good,Brown Eyes,Black Hair,Male,NA,Living Characters,226,Mar-82,marvel
Maxwell Dillon (Earth-616),Public,Bad,Blue Eyes,Auburn Hair,Male,NA,Living Characters,225,Feb-64,marvel
Valerie Cooper (Earth-616),Public,Good,Blue Eyes,Blond Hair,Female,NA,Living Characters,225,Dec-83,marvel
Anna May (Earth-616),No Dual,Good,Blue Eyes,White Hair,Female,NA,Living Characters,224,Aug-64,marvel
Vlad Dracula (Earth-616),No Dual,Bad,Red Eyes,White Hair,Male,NA,Living Characters,223,Mar-51,marvel
Tandy Bowen (Earth-616),Secret,Good,Blue Eyes,Blond Hair,Female,NA,Living Characters,222,Mar-82,marvel
Monet St. Croix (Earth-616),No Dual,Good,Brown Eyes,Black Hair,Female,NA,Living Characters,221,Nov-94,marvel
Gamora (Earth-616),No Dual,Neutral,Yellow Eyes,Black Hair,Female,NA,Living Characters,218,Jun-75,marvel
Amara Aquilla (Earth-616),Secret,Good,Blue Eyes,Blond Hair,Female,NA,Living Characters,217,Oct-83,marvel
Julia Carpenter (Earth-616),Secret,Good,Blue Eyes,Strawberry Blond Hair,Female,NA,Living Characters,212,Oct-84,marvel
Jane Foster (Earth-616),No Dual,Good,Blue Eyes,Brown Hair,Female,NA,Living Characters,211,Sep-62,marvel
Mortimer Toynbee (Earth-616),Secret,Neutral,Black Eyes,Brown Hair,Male,NA,Living Characters,210,Mar-64,marvel
Scott Lang (Earth-616),Public,Good,Blue Eyes,Strawberry Blond Hair,Male,NA,Living Characters,209,Mar-79,marvel
Paige Guthrie (Earth-616),Secret,Good,Blue Eyes,Blond Hair,Female,NA,Living Characters,207,Nov-84,marvel
Benjamin Parker (Earth-616),No Dual,Good,Blue Eyes,Brown Hair,Male,NA,Deceased Characters,205,Aug-62,marvel
Erik Josten (Earth-616),Secret,Good,Brown Eyes,Red Hair,Male,NA,Living Characters,204,Oct-65,marvel
Jeanne-Marie Beaubier (Earth-616),Secret,Good,Blue Eyes,Black Hair,Female,NA,Living Characters,203,Apr-79,marvel
Carl Creel (Earth-616),Public,Bad,Blue Eyes,Bald,Male,NA,Living Characters,202,Apr-64,marvel
Gloria Grant (Earth-616),No Dual,NA,Brown Eyes,Black Hair,Female,NA,Living Characters,202,Jan-75,marvel
Michael Twoyoungmen (Earth-616),Public,Good,Brown Eyes,Black Hair,Male,NA,Living Characters,200,Apr-79,marvel
Hope Summers (Earth-616),Secret,Good,Green Eyes,Red Hair,Female,NA,Living Characters,200,Jan-08,marvel
Eric Masterson (Earth-616),Secret,Good,Blue Eyes,Blond Hair,Male,NA,Deceased Characters,198,May-88,marvel
Alexander Power (Earth-616),Secret,Good,Blue Eyes,Blond Hair,Male,NA,Living Characters,197,Aug-84,marvel
Matthew Hawk (Earth-616),Secret,Good,Blue Eyes,Brown Hair,Male,NA,Deceased Characters,195,Nov-62,marvel
Jessica Jones (Earth-616),No Dual,Good,Brown Eyes,Brown Hair,Female,NA,Living Characters,195,Sep-63,marvel
Frederick Dukes (Earth-616),Public,Bad,Brown Eyes,Brown Hair,Male,NA,Living Characters,194,Jan-64,marvel
Eric Brooks (Earth-616),Public,Good,Brown Eyes,Black Hair,Male,NA,Living Characters,194,Jul-73,marvel
Eros (Earth-616),Public,Good,Blue Eyes,Red Hair,Male,NA,Living Characters,193,Feb-73,marvel
Madison Jeffries (Earth-616),No Dual,Good,Brown Eyes,Black Hair,Male,NA,Living Characters,193,Aug-83,marvel
Mandarin (Earth-616),Secret,Bad,Blue Eyes,Black Hair,Male,NA,Deceased Characters,190,Feb-64,marvel
The Wizard (Earth-616),Public,Bad,Hazel Eyes,Brown Hair,Male,NA,Living Characters,189,Nov-62,marvel
Akihiro (Earth-616),Secret,Bad,Blue Eyes,Black Hair,Male,Bisexual Characters,Living Characters,189,Oct-06,marvel
Sergei Kravinoff (Earth-616),Public,Bad,Brown Eyes,Black Hair,Male,NA,Deceased Characters,188,Aug-64,marvel
Jonothon Starsmore (Earth-616),Secret,Good,Brown Eyes,Brown Hair,Male,NA,Living Characters,187,Nov-94,marvel
Helmut Zemo (Earth-616),Public,Bad,Blue Eyes,Blond Hair,Male,NA,Living Characters,184,Dec-73,marvel
Victor Borkowski (Earth-616),Secret,Good,Brown Eyes,Black Hair,Male,Homosexual Characters,Living Characters,184,Aug-03,marvel
Edward Leeds (Earth-616),Secret,Neutral,Blue Eyes,Brown Hair,Male,NA,Deceased Characters,181,Nov-64,marvel
Ultron (Earth-616),No Dual,Bad,Red Eyes,No Hair,Male,NA,Deceased Characters,181,Jul-68,marvel
Douglas Ramsey (Earth-616),Secret,Good,Blue Eyes,Blond Hair,Male,NA,Living Characters,181,Mar-84,marvel
Quentin Beck (Earth-616),Secret,Bad,Blue Eyes,Bald,Male,NA,Living Characters,180,Jun-64,marvel
Herbert Wyndham (Earth-616),Secret,Neutral,Brown Eyes,Brown Hair,Male,NA,Living Characters,179,Nov-66,marvel
Julian Keller (Earth-616),Public,Good,Blue Eyes,Black Hair,Male,NA,Living Characters,179,Aug-03,marvel
Jack Russell (Earth-616),Secret,Good,Blue Eyes,Red Hair,Male,NA,Living Characters,178,Feb-72,marvel
Celeste Cuckoo (Earth-616),Secret,Good,Blue Eyes,Blond Hair,Female,NA,Living Characters,177,Nov-01,marvel
