state,county,expectancy,income
Colorado,Archuleta County,79.185,40307
Colorado,Baca County,76.21,37619
Colorado,Bent County,76.21,29908
COLORADO,BOULDER,80.125,60220
Colorado,Adams County,80.125,73107
Colorado,Chaffee County,79.92,38330
Colorado,Cheyenne County,77.08,53361
Colorado,Clear Creek County,81.445,51710
Colorado,Conejos County,79.185,30716
Colorado,Costilla County,77.46,31030
Colorado,Crowley County,76.91,26039
Colorado,Custer County,77.875,43887
Colorado,Delta County,78.45,31685
Colorado,Denver County,77.8,68299
Colorado,Dolores County,78.565,42715
Colorado,Douglas County,82.79,65999
Colorado,Eagle County,82.2,61522
Colorado,Elbert County,79.785,49450
Colorado,El Paso County,79.565,43385
Colorado,Fremont County,77.875,30921
Colorado,Garfield County,80.27,50556
Colorado,Gilpin County,79.25,40702
Colorado,Grand County,81.445,40963
Colorado,Gunnison County,82.99,42452
Colorado,Hinsdale County,78.72,44647
Colorado,Huerfano County,77.46,36232
Colorado,Jackson County,81.21,43880
COLORADO,JEFFERSON,80.125,54773
Colorado,Kiowa County,77.08,47936
Colorado,Kit Carson County,78.505,35894
Colorado,Lake County,79.575,32175
Colorado,La Plata County,81,51475
Colorado,Larimer County,81.025,45318
Colorado,Las Animas County,77.175,36692
Colorado,Lincoln County,77.08,33968
Colorado,Logan County,78.965,48755
Colorado,Mesa County,78.545,38863
Colorado,Mineral County,78.72,55167
Colorado,Moffat County,78.43,38875
Colorado,Montezuma County,78.565,38393
Colorado,Montrose County,78.49,34559
Colorado,Morgan County,78.21,40020
Colorado,Otero County,77.08,34590
Colorado,Ouray County,78.72,52906
Colorado,Park County,79.575,38916
Colorado,Phillips County,78.965,40924
Colorado,Pitkin County,82.99,126137
Colorado,Prowers County,76.21,38998
Colorado,Pueblo County,76.91,34831
Colorado,Rio Blanco County,78.43,41723
Colorado,Rio Grande County,78.72,39633
Colorado,Routt County,81.21,65734
Colorado,Saguache County,77.875,33601
Colorado,San Juan County,78.565,43409
Colorado,San Miguel County,78.565,73572
Colorado,Sedgwick County,78.965,42608
Colorado,Summit County,81.76,54615
Colorado,Teller County,80.1,45219
Colorado,Washington County,78.21,38770
COLORADO,WELD,80.125,42787
Colorado,Yuma County,78.505,51405
Connecticut,Fairfield County,81.61,106382
Connecticut,Hartford County,79.94,59240
Connecticut,Litchfield County,80.295,58665
Connecticut,Middlesex County,80.5,62394
Connecticut,New Haven County,79.7,51835
Connecticut,New London County,79.87,52498
Connecticut,Tolland County,80.525,52311
Connecticut,Windham County,78.75,43167
Delaware,Kent County,76.715,38178
Delaware,New Castle County,78.195,51690
Delaware,Sussex County,78.145,44767
District of Columbia,District of Columbia,76.41,73302
Florida,Alachua County,78.075,40199
Florida,Baker County,73.03,28588
Florida,Bay County,76.11,39717
Florida,Bradford County,74.82,28119
Florida,Brevard County,78.215,40511
Florida,Broward County,79.49,44909
Florida,Calhoun County,75.81,24333
Florida,Charlotte County,79.25,37745
Florida,Citrus County,76.46,35323
Florida,Clay County,77.73,39090
Florida,Collier County,82.35,78473
Florida,Columbia County,75.13,32366
Florida,DeSoto County,78.075,23522
Florida,Dixie County,75.48,25400
Florida,Duval County,76.235,41339
Florida,Escambia County,75.77,38408
Florida,Flagler County,78.97,40140
Florida,Franklin County,76.085,33973
Florida,Gadsden County,74.485,30334
Florida,Gilchrist County,75.48,31356
Florida,Glades County,78.075,22121
Florida,Gulf County,75.81,30125
Florida,Hamilton County,75.295,24824
Florida,Hardee County,76.63,25591
Florida,Hendry County,75.73,29822
Florida,Hernando County,76.845,33666
Florida,Highlands County,77.865,31949
Florida,Hillsborough County,78.03,43435
Florida,Holmes County,73.74,27220
Florida,Indian River County,79.645,67978
Florida,Jackson County,75.81,30210
Florida,Jefferson County,75.8,36596
Florida,Lafayette County,75.655,23012
Florida,Lake County,78.56,37698
Florida,Lee County,80.555,44583
Florida,Leon County,78.71,39670
Florida,Levy County,75.3,32457
Florida,Liberty County,76.085,25492
Florida,Madison County,75.295,29757
Florida,Manatee County,79.465,43121
Florida,Marion County,77.275,33800
Florida,Martin County,80.715,71197
Florida,Miami-Dade County,80.47,43278
Florida,Monroe County,78.49,74409
Florida,Nassau County,77.37,49675
Florida,Okaloosa County,77.665,45222
Florida,Okeechobee County,75.44,29695
Florida,Orange County,79.11,39591
Florida,Osceola County,79.15,29911
Florida,Palm Beach County,80.815,68743
Florida,Pasco County,77.295,36187
Florida,Pinellas County,77.625,47731
Florida,Polk County,78.085,33723
Florida,Putnam County,74.395,28501
Florida,St. Johns County,80.4,60441
Florida,St. Lucie County,79.025,35625
Florida,Santa Rosa County,77.73,40240
Florida,Sarasota County,80.455,56426
Florida,Seminole County,79.505,42851
Florida,Sumter County,80.425,39012
Florida,Suwannee County,75.655,30449
Florida,Taylor County,75.8,30354
Florida,Union County,73.03,18255
Florida,Volusia County,77.095,37802
Florida,Wakulla County,76.995,31405
Florida,Walton County,76.71,49839
Florida,Washington County,74.49,27096
Georgia,Appling County,73.235,29629
Georgia,Atkinson County,73.1,26140
Georgia,Bacon County,73.51,28971
Georgia,Baker County,74.61,33167
Georgia,Baldwin County,75.9,28910
Georgia,Banks County,76.405,31775
Georgia,Barrow County,76.135,32570
Georgia,Bartow County,75.54,33856
Georgia,Ben Hill County,74.585,27364
Georgia,Berrien County,74.62,28392
Georgia,Bibb County,73.24,38379
Georgia,Bleckley County,73.77,31964
Georgia,Brantley County,74.77,24315
Georgia,Brooks County,75.49,32246
Georgia,Bryan County,75.86,47448
Georgia,Bulloch County,76.05,29258
Georgia,Burke County,73.82,31527
Georgia,Butts County,73.39,29320
Georgia,Calhoun County,74.39,24838
Georgia,Camden County,77.295,32754
Georgia,Candler County,73.79,27213
Georgia,Carroll County,75.22,33662
Georgia,Catoosa County,77.76,32358
Georgia,Charlton County,74.77,24840
Georgia,Chatham County,76.735,42115
Georgia,Chattahoochee County,75.325,35448
Georgia,Chattooga County,73.64,28274
Georgia,Cherokee County,79.1,43878
Georgia,Clarke County,77.87,29343
Georgia,Clay County,73.465,28185
Georgia,Clayton County,76.29,26025
Georgia,Clinch County,74.91,29132
Georgia,Cobb County,79.595,49101
Georgia,Coffee County,74.95,28445
Georgia,Colquitt County,75.335,29603
Georgia,Columbia County,78.415,44250
Georgia,Cook County,73.08,26724
Georgia,Coweta County,78.165,40402
Georgia,Crawford County,75.92,31046
Georgia,Crisp County,74.5,27120
Georgia,Dade County,74.825,30047
Georgia,Dawson County,77.88,37879
Georgia,Decatur County,73.705,33563
Georgia,DeKalb County,78.495,42819
Georgia,Dodge County,74.28,27009
Georgia,Dooly County,75.075,23185
Georgia,Dougherty County,75.525,32682
Georgia,Douglas County,76.685,32089
Georgia,Early County,73.465,35826
Georgia,Echols County,74.91,23721
Georgia,Effingham County,76.53,37507
Georgia,Elbert County,75.925,31519
Georgia,Emanuel County,73.08,27824
Georgia,Evans County,73.79,31036
Georgia,Fannin County,77.13,30816
Georgia,Fayette County,80.305,54361
Georgia,Floyd County,75.06,35054
Georgia,Forsyth County,80.875,54466
Georgia,Franklin County,74.795,33976
Georgia,Fulton County,77.19,69977
Georgia,Gilmer County,77.175,30769
Georgia,Glascock County,74.065,27955
Georgia,Glynn County,75.92,39814
Georgia,Gordon County,75.04,31463
Georgia,Grady County,75.905,30885
Georgia,Greene County,77.03,45219
Georgia,Gwinnett County,80.17,37106
Georgia,Habersham County,77.75,29603
Georgia,Hall County,78.73,36597
Georgia,Hancock County,74.065,25607
Georgia,Haralson County,72.845,31840
Georgia,Harris County,78.085,41900
Georgia,Hart County,76.205,32528
Georgia,Heard County,75,28363
Georgia,Henry County,76.98,34671
Georgia,Houston County,77.08,39199
Georgia,Irwin County,74.45,27651
Georgia,Jackson County,76.515,35110
Georgia,Jasper County,76.2,32701
Georgia,Jeff Davis County,73.51,28961
Georgia,Jefferson County,72.785,30327
Georgia,Jenkins County,73.575,26195
Georgia,Johnson County,74.985,23464
Georgia,Jones County,77.115,33643
Georgia,Lamar County,75.105,29742
Georgia,Lanier County,73.1,23847
Georgia,Laurens County,74.535,32477
Georgia,Lee County,77.12,41626
Georgia,Liberty County,76.38,33488
Georgia,Lincoln County,74.405,32682
Georgia,Long County,76.68,22525
Georgia,Lowndes County,74.91,33182
Georgia,Lumpkin County,77.27,31232
Georgia,McDuffie County,73.185,32096
Georgia,McIntosh County,76.68,26097
Georgia,Macon County,75.075,28672
Georgia,Madison County,75.465,31988
Georgia,Marion County,75.325,24273
Georgia,Meriwether County,74.1,31438
Georgia,Miller County,74.61,36029
Georgia,Mitchell County,74.08,32983
Georgia,Monroe County,76.335,40025
Georgia,Montgomery County,74.895,27392
Georgia,Morgan County,77.03,41708
Georgia,Murray County,74.62,26855
Georgia,Muscogee County,74.06,38401
Georgia,Newton County,76.1,30144
Georgia,Oconee County,79.875,55216
Georgia,Oglethorpe County,75.925,33480
Georgia,Paulding County,77.935,33011
Georgia,Peach County,73.665,35027
Georgia,Pickens County,76.93,40420
Georgia,Pierce County,74.18,31369
Georgia,Pike County,75.105,34324
Georgia,Polk County,73.81,29216
Georgia,Pulaski County,74.855,26551
Georgia,Putnam County,76.2,32497
Georgia,Quitman County,73.465,27169
Georgia,Rabun County,77.565,35058
Georgia,Randolph County,74.39,29290
Georgia,Richmond County,73.535,34015
Georgia,Rockdale County,77.72,32259
Georgia,Schley County,75.055,27488
Georgia,Screven County,73.575,27371
Georgia,Seminole County,74.61,34719
Georgia,Spalding County,73.935,31305
Georgia,Stephens County,75.22,33902
Georgia,Stewart County,73.465,21677
Georgia,Sumter County,75.055,30930
Georgia,Talbot County,74.1,31146
Georgia,Taliaferro County,74.405,25207
Georgia,Tattnall County,73.835,29116
Georgia,Taylor County,75.92,26128
Georgia,Telfair County,74.585,19306
Georgia,Terrell County,74.39,38174
Georgia,Thomas County,74.88,38574
Georgia,Tift County,74.98,37363
Georgia,Toombs County,74.795,32973
Georgia,Towns County,77.565,30808
Georgia,Treutlen County,74.895,25810
Georgia,Troup County,75,33940
Georgia,Turner County,74.45,32047
Georgia,Twiggs County,73.77,35057
Georgia,Union County,78.12,34214
Georgia,Upson County,73.74,31330
Georgia,Walker County,74.76,29772
Georgia,Walton County,75.755,34223
Georgia,Ware County,74.015,30587
Georgia,Warren County,74.065,30586
Georgia,Washington County,73.97,29553
Georgia,Wayne County,74.675,31651
Georgia,Webster County,73.465,26327
Georgia,Wheeler County,74.895,16007
Georgia,White County,77.765,30871
Georgia,Whitfield County,76.705,33317
Georgia,Wilcox County,74.855,25744
Georgia,Wilkes County,74.405,29350
Georgia,Wilkinson County,74.985,32018
Georgia,Worth County,75.825,29763
Hawaii,Hawaii County,79.875,35979
Hawaii,Honolulu County,80.91,52122
Hawaii,Kalawao County,79.875,NA
Hawaii,Kauai County,79.725,42070
HAWAII,MAUI,80.71,NA
Idaho,Ada County,80.65,46053
Idaho,Adams County,79.395,36800
Idaho,Bannock County,77.615,33344
Idaho,Bear Lake County,78.79,35867
Idaho,Benewah County,76.82,32134
Idaho,Bingham County,78.265,33422
Idaho,Blaine County,81.445,87496
Idaho,Boise County,78.4,36828
Idaho,Bonner County,78.73,34634
Idaho,Bonneville County,78.585,39814
Idaho,Boundary County,78.73,31283
Idaho,Butte County,78.86,33506
Idaho,Camas County,77.36,39431
Idaho,Canyon County,78.535,28258
Idaho,Caribou County,78.79,38795
Idaho,Cassia County,78.065,42823
Idaho,Clark County,78.86,26480
Idaho,Clearwater County,78.39,33885
Idaho,Custer County,78.4,43399
Idaho,Elmore County,78.055,34851
Idaho,Franklin County,78.79,32057
Idaho,Fremont County,78.86,34828
Idaho,Gem County,78.4,32963
Idaho,Gooding County,77.36,55281
Idaho,Idaho County,78.39,30711
Idaho,Jefferson County,78.995,30407
Idaho,Jerome County,77.135,37418
Idaho,Kootenai County,79.11,38605
Idaho,Latah County,80.335,36425
Idaho,Lemhi County,78.86,36860
Idaho,Lewis County,78.39,44969
Idaho,Lincoln County,77.36,36100
Idaho,Madison County,79.515,23456
Idaho,Minidoka County,77.16,37614
Idaho,Nez Perce County,77.69,39358
Idaho,Oneida County,78.065,32056
Idaho,Owyhee County,78.055,32867
Idaho,Payette County,77.425,35045
Idaho,Power County,78.065,36019
Idaho,Shoshone County,76.82,35229
Idaho,Teton County,79.515,31023
Idaho,Twin Falls County,77.37,35079
Idaho,Valley County,79.395,45902
Idaho,Washington County,79.395,35649
Illinois,Adams County,78.37,41369
Illinois,Alexander County,74.305,31012
Illinois,Bond County,77.855,33534
Illinois,Boone County,79.14,41376
Illinois,Brown County,77.405,26990
Illinois,Bureau County,78.725,38446
Illinois,Calhoun County,77.045,36000
Illinois,Carroll County,78.105,41212
Illinois,Cass County,77.535,37483
Illinois,Champaign County,79.785,42243
Illinois,Christian County,77.525,36363
Illinois,Clark County,76.75,37098
Illinois,Clay County,76.745,34341
Illinois,Clinton County,79.315,41300
Illinois,Coles County,76.925,36325
Illinois,Cook County,78.395,54714
Illinois,Crawford County,76.95,41872
Illinois,Cumberland County,78.41,36864
Illinois,DeKalb County,78.9,35970
Illinois,De Witt County,77.42,41486
Illinois,Douglas County,78.3,44244
Illinois,DuPage County,81.495,64059
Illinois,Edgar County,76.82,37330
Illinois,Edwards County,77.51,34496
Illinois,Effingham County,78.46,42657
Illinois,Fayette County,78.03,29446
Illinois,Ford County,76.915,48382
Illinois,Franklin County,75.15,33417
Illinois,Fulton County,77.31,33461
Illinois,Gallatin County,75.78,39041
Illinois,Greene County,77.045,33953
Illinois,Grundy County,78.05,47930
Illinois,Hamilton County,75.78,39959
Illinois,Hancock County,79.43,39374
Illinois,Hardin County,75.78,33690
Illinois,Henderson County,79.23,36661
Illinois,Henry County,78.505,42010
Illinois,Iroquois County,76.915,39320
Illinois,Jackson County,77.3,33363
Illinois,Jasper County,78.41,38022
Illinois,Jefferson County,76.45,36493
Illinois,Jersey County,78.21,36696
Illinois,Jo Daviess County,80.07,46080
Illinois,Johnson County,76.64,26081
Illinois,Kane County,80.535,45156
Illinois,Kankakee County,77.32,37049
Illinois,Kendall County,80.47,43910
Illinois,Knox County,76.5,37748
Illinois,Lake County,80.725,69827
Illinois,La Salle County,77.33,39582
Illinois,Lawrence County,75.99,36249
Illinois,Lee County,78.245,37895
Illinois,Livingston County,78.04,39910
Illinois,Logan County,77.535,33746
Illinois,McDonough County,78.3,33934
Illinois,McHenry County,79.84,49457
Illinois,McLean County,79.335,44670
Illinois,Macon County,77.05,44383
Illinois,Macoupin County,77.92,36145
Illinois,Madison County,77.01,41970
Illinois,Marion County,75.325,38643
Illinois,Marshall County,77.47,40408
Illinois,Mason County,77.405,35580
Illinois,Massac County,76.64,34828
Illinois,Menard County,77.535,40081
Illinois,Mercer County,79.23,40487
Illinois,Monroe County,80.075,51277
Illinois,Montgomery County,76.745,33254
Illinois,Morgan County,77.975,35757
Illinois,Moultrie County,78.64,48373
Illinois,Ogle County,79.475,40698
Illinois,Peoria County,77.11,47076
Illinois,Perry County,76.86,34243
Illinois,Piatt County,78.64,46140
Illinois,Pike County,78.215,35553
Illinois,Pope County,74.76,31926
Illinois,Pulaski County,74.305,33973
Illinois,Putnam County,78.725,52533
Illinois,Randolph County,77.735,33105
Illinois,Richland County,76.745,37767
Illinois,Rock Island County,78.165,40332
Illinois,St. Clair County,76.51,40711
Illinois,Saline County,74.76,36633
Illinois,Sangamon County,77.6,43810
Illinois,Schuyler County,77.405,43570
Illinois,Scott County,78.215,33852
Illinois,Shelby County,78.79,35244
Illinois,Stark County,77.47,35185
Illinois,Stephenson County,78.415,38766
Illinois,Tazewell County,78.115,42719
Illinois,Union County,77.19,35578
Illinois,Vermilion County,75.54,35630
Illinois,Wabash County,77.51,40897
Illinois,Warren County,77.56,34228
Illinois,Washington County,78.67,47808
Illinois,Wayne County,77.15,37484
Illinois,White County,76.49,43014
Illinois,Whiteside County,78.315,39483
Illinois,Will County,79.37,46823
Illinois,Williamson County,76.265,40359
Illinois,Winnebago County,77.46,39357
Illinois,Woodford County,79.885,47111
Indiana,Adams County,78.06,34885
Indiana,Allen County,78.125,41528
Indiana,Bartholomew County,76.905,45575
Indiana,Benton County,77.495,35402
Indiana,Blackford County,76.02,35447
Indiana,Boone County,78.945,62603
Indiana,Brown County,78.57,41406
Indiana,Carroll County,78.03,38695
Indiana,Cass County,76.675,34916
Indiana,Clark County,76.27,40732
Indiana,Clay County,76.905,34300
Indiana,Clinton County,77.095,34675
Indiana,Crawford County,76.08,32287
Indiana,Daviess County,76.46,38167
Indiana,Dearborn County,78.19,41953
Indiana,Decatur County,77.205,38095
Indiana,DeKalb County,77.13,37945
Indiana,Delaware County,76.475,32896
Indiana,Dubois County,78.605,50943
Indiana,Elkhart County,78.68,39882
Indiana,Fayette County,74.82,35453
Indiana,Floyd County,76.595,48815
Indiana,Fountain County,76.72,34857
Indiana,Franklin County,77.77,41749
Indiana,Fulton County,76.5,37464
Indiana,Gibson County,77.36,40172
Indiana,Grant County,75.495,36715
Indiana,Greene County,76.325,35806
Indiana,Hamilton County,81.205,64654
Indiana,Hancock County,77.815,43941
Indiana,Harrison County,77.275,38166
Indiana,Hendricks County,79.635,43345
Indiana,Henry County,76.17,33589
Indiana,Howard County,76.44,37356
Indiana,Huntington County,77.675,37225
Indiana,Jackson County,76.01,39645
Indiana,Jasper County,77.025,41677
Indiana,Jay County,76.02,39662
Indiana,Jefferson County,75.52,38536
Indiana,Jennings County,75.435,34730
Indiana,Johnson County,78.4,43161
Indiana,Knox County,75.85,41234
Indiana,Kosciusko County,77.945,44864
Indiana,LaGrange County,77.565,34150
Indiana,Lake County,76.235,39896
Indiana,LaPorte County,76.24,37827
Indiana,Lawrence County,75.94,36058
Indiana,Madison County,75.48,35328
Indiana,Marion County,75.87,47508
Indiana,Marshall County,78.135,36958
Indiana,Martin County,76.46,38788
Indiana,Miami County,77.295,31097
Indiana,Monroe County,79.42,35335
Indiana,Montgomery County,77.26,38092
Indiana,Morgan County,76.915,39299
Indiana,Newton County,76.75,37437
Indiana,Noble County,76.815,35578
Indiana,Ohio County,76.165,36368
Indiana,Orange County,76.08,33308
Indiana,Owen County,75.94,34287
Indiana,Parke County,77.08,31434
Indiana,Perry County,77.49,35344
Indiana,Pike County,77.36,35617
Indiana,Porter County,77.98,46501
Indiana,Posey County,78.22,44674
Indiana,Pulaski County,76.5,38707
Indiana,Putnam County,77.755,33264
Indiana,Randolph County,77.395,35614
Indiana,Ripley County,77.5,39492
Indiana,Rush County,76.76,39475
Indiana,St. Joseph County,77.535,43040
Indiana,Scott County,73.865,34442
Indiana,Shelby County,76.525,38511
Indiana,Spencer County,78.245,41437
Indiana,Starke County,74.5,30693
Indiana,Steuben County,79.195,37638
Indiana,Sullivan County,75.625,31546
Indiana,Switzerland County,76.165,28951
Indiana,Tippecanoe County,78.735,34725
