year,region,voting_eligible_population,total_ballots_counted,highest_office,percent_total_ballots_counted,percent_highest_office
2014,Washington,4928407.00,2123901.00,2029189.00,0.430950812,0.411733244
2014,West Virginia,1447652.00,462864.00,451498.00,0.319734301,0.311882966
2014,Wisconsin,4260427.00,2422248.00,2410314.00,0.568545829,0.565744701
2014,Wyoming,431434.00,171153.00,168390.00,0.39670726,0.390303036
2012,United States,222474111.00,130292355.00,129070906.00,0.585651762,0.580161464
2012,Alabama,3539217.00,,2074338.00,0,0.586100824
2012,Alaska,511792.00,301694.00,300495.00,0.589485572,0.587142824
2012,Arizona,4387900.00,2323579.00,2306559.00,0.529542378,0.525663529
2012,Arkansas,2109847.00,1078548.00,1069468.00,0.511197257,0.506893628
2012,California,23681837.00,13202158.00,13038547.00,0.557480317,0.550571605
2012,Colorado,3675871.00,2596173.00,2569522.00,0.706274241,0.699023986
2012,Connecticut,2543202.00,1560640.00,1558960.00,0.613651609,0.612991025
2012,Delaware,663967.00,,413921.00,0,0.623405983
2012,District of Columbia,477582.00,294254.00,293764.00,0.616132936,0.615106935
2012,Florida,13495057.00,8538264.00,8474179.00,0.63269566,0.627946885
2012,Georgia,6606607.00,3919355.00,3900050.00,0.59324779,0.590325715
2012,Hawaii,982902.00,437159.00,434697.00,0.444763567,0.44225874
2012,Idaho,1091410.00,666290.00,652274.00,0.610485519,0.597643415
2012,Illinois,8899143.00,5279752.00,5242014.00,0.593287691,0.589047058
2012,Indiana,4755291.00,2663368.00,2624534.00,0.560085177,0.551918694
2012,Iowa,2251748.00,1589951.00,1582180.00,0.70609633,0.702645234
2012,Kansas,2030686.00,1182771.00,1156254.00,0.582448985,0.569390836
2012,Kentucky,3229185.00,1815843.00,1797212.00,0.562322382,0.556552814
2012,Louisiana,3311626.00,2014548.00,1994065.00,0.60832594,0.602140761
2012,Maine,1046008.00,724758.00,713180.00,0.692879978,0.681811229
2012,Maryland,4063582.00,2734062.00,2707327.00,0.672820679,0.666241508
2012,Massachusetts,4809675.00,3184196.00,3167767.00,0.662039743,0.658623919
2012,Michigan,7312725.00,4780701.00,4730961.00,0.653750962,0.64694912
2012,Minnesota,3861598.00,2950780.00,2936561.00,0.764134433,0.760452279
2012,Mississippi,2166825.00,,1285584.00,0,0.593303105
2012,Missouri,4432957.00,,2757323.00,0,0.622005357
2012,Montana,774476.00,491966.00,484048.00,0.635224332,0.625000646
2012,Nebraska,1316915.00,804245.00,794379.00,0.610703804,0.603212052
2012,Nevada,1800969.00,1016664.00,1014918.00,0.564509439,0.563539961
2012,New Hampshire,1013420.00,718700.00,710972.00,0.709182767,0.701557104
2012,New Jersey,5918182.00,3683638.00,3640292.00,0.622427293,0.615103084
2012,New Mexico,1436363.00,786522.00,783757.00,0.54757885,0.545653849
2012,New York,13324107.00,7128852.00,7074723.00,0.53503413,0.530971644
2012,North Carolina,6947954.00,4542488.00,4505372.00,0.653787863,0.648445859
2012,North Dakota,539164.00,325564.00,322627.00,0.603831116,0.598383794
2012,Ohio,8649495.00,5632423.00,5580822.00,0.651185185,0.645219403
2012,Oklahoma,2713268.00,,1334872.00,0,0.491979414
2012,Oregon,2836101.00,1820507.00,1789270.00,0.641904855,0.63089079
2012,Pennsylvania,9651432.00,,5742040.00,0,0.594941766
2012,Rhode Island,768918.00,,446049.00,0,0.580099568
2012,South Carolina,3486838.00,1981516.00,1964118.00,0.568284503,0.563294882
2012,South Dakota,613190.00,368270.00,363815.00,0.60058057,0.593315286
2012,Tennessee,4736084.00,2478870.00,2458577.00,0.523400767,0.519116004
2012,Texas,16119973.00,,7993851.00,0,0.495897295
2012,Utah,1833339.00,1028786.00,1017440.00,0.561154266,0.554965557
2012,Vermont,493355.00,301793.00,299290.00,0.611715702,0.606642276
2012,Virginia,5834676.00,3888186.00,3854489.00,0.666392787,0.660617488
2012,Washington,4822060.00,3172939.00,3125516.00,0.658004878,0.648170284
2012,West Virginia,1447066.00,,670438.00,0,0.463308515
2012,Wisconsin,4209370.00,,3068434.00,0,0.728953264
2012,Wyoming,425142.00,250701.00,249061.00,0.589687681,0.585830146
2010,United States,217551109.00,90912015.00,89099476.00,0.417888079,0.409556524
2010,Alabama,3472582.00,1503232.00,1494273.00,0.432885962,0.430306037
2010,Alaska,493764.00,261128.00,256192.00,0.52885184,0.518855162
2010,Arizona,4209544.00,1750840.00,1727791.00,0.415921534,0.41044612
2010,Arkansas,2081156.00,789773.00,781333.00,0.37948765,0.375432212
2010,California,22946053.00,10529134.00,10095485.00,0.458864712,0.43996608
2010,Colorado,3533054.00,1828323.00,1787730.00,0.517490817,0.506001324
2010,Connecticut,2512981.00,1153872.00,1153115.00,0.459164634,0.458863398
2010,Delaware,646969.00,316754.00,307402.00,0.489596874,0.475141776
2010,District of Columbia,458619.00,135846.00,132656.00,0.296206655,0.28925099
2010,Florida,12961184.00,5473787.00,5411106.00,0.422321526,0.41748547
2010,Georgia,6464845.00,2623035.00,2576161.00,0.405738266,0.398487667
2010,Hawaii,959531.00,386302.00,382563.00,0.402594601,0.398697906
2010,Idaho,1069446.00,459079.00,452535.00,0.429268051,0.423148995
2010,Illinois,8798829.00,3792770.00,3729989.00,0.43105395,0.423918796
2010,Indiana,4697111.00,1791832.00,1744481.00,0.381475337,0.371394459
2010,Iowa,2234516.00,1133429.00,1116063.00,0.507236914,0.499465209
2010,Kansas,2011497.00,857658.00,838790.00,0.426377966,0.416997888
2010,Kentucky,3198093.00,1417995.00,1356468.00,0.443387669,0.424149016
2010,Louisiana,3249524.00,1298649.00,1264994.00,0.39964284,0.389285938
2010,Maine,1038201.00,580584.00,572766.00,0.559221191,0.551690858
2010,Maryland,4001034.00,1868179.00,1857880.00,0.46692405,0.464349966
2010,Massachusetts,4693670.00,2319963.00,2297039.00,0.494274843,0.489390818
2010,Michigan,7245281.00,3268217.00,3226088.00,0.45108216,0.445267478
2010,Minnesota,3802677.00,2123369.00,2107021.00,0.558387946,0.554088869
2010,Mississippi,2129334.00,,788549.00,0,0.37032659
2010,Missouri,4366435.00,1997271.00,1943899.00,0.457414573,0.445191329
2010,Montana,758653.00,367096.00,360341.00,0.483878664,0.474974725
2010,Nebraska,1301483.00,503514.00,487988.00,0.386877124,0.374947656
2010,Nevada,1747288.00,723515.00,721404.00,0.414078847,0.412870689
2010,New Hampshire,999918.00,461423.00,456588.00,0.46146084,0.456625443
2010,New Jersey,5834037.00,2200974.00,2121584.00,0.37726432,0.363656247
2010,New Mexico,1408872.00,630013.00,602827.00,0.447175471,0.427879183
2010,New York,13135048.00,4763899.00,4658586.00,0.362686075,0.354668365
2010,North Carolina,6785463.00,2700706.00,2660079.00,0.398013518,0.392026159
2010,North Dakota,516974.00,241039.00,238812.00,0.466249753,0.461941993
2010,Ohio,8571952.00,3956028.00,3852453.00,0.461508417,0.449425405
2010,Oklahoma,2666767.00,1043507.00,1034767.00,0.391300402,0.388023026
2010,Oregon,2760607.00,1487210.00,1453548.00,0.538725722,0.526532027
2010,Pennsylvania,9565822.00,4055336.00,3987551.00,0.423940149,0.416853983
2010,Rhode Island,763534.00,346357.00,342290.00,0.453623545,0.448296998
2010,South Carolina,3388417.00,1365480.00,1344198.00,0.402984639,0.39670383
2010,South Dakota,599507.00,323410.00,317083.00,0.539459923,0.528906251
2010,Tennessee,4622919.00,1620619.00,1601549.00,0.350561842,0.346436743
2010,Texas,15514007.00,5066957.00,4979870.00,0.326605306,0.320991862
2010,Utah,1772934.00,653274.00,643307.00,0.368470569,0.362848814
2010,Vermont,488942.00,243617.00,241605.00,0.498253372,0.494138364
2010,Virginia,5660589.00,2214505.00,2189841.00,0.391214589,0.386857445
2010,Washington,4724350.00,2565589.00,2511094.00,0.543056505,0.531521585
2010,West Virginia,1442003.00,536493.00,529948.00,0.372047076,0.367508251
2010,Wisconsin,4172130.00,2185021.00,2171331.00,0.523718341,0.520437043
2010,Wyoming,414536.00,190822.00,188463.00,0.460326727,0.454636027
2008,United States,213313508.00,132609063.00,131304731.00,0.621662755,0.61554813
2008,Alabama,3454510.00,2105622.00,2099819.00,0.609528414,0.607848581
2008,Alaska,479429.00,327341.00,326197.00,0.682772632,0.68038646
2008,Arizona,4046075.00,2320851.00,2293475.00,0.573605531,0.566839468
2008,Arkansas,2071563.00,1095958.00,1086617.00,0.529048839,0.524539683
2008,California,22261504.00,13743177.00,13561900.00,0.617351685,0.609208614
2008,Colorado,3382959.00,2422236.00,2401361.00,0.716011042,0.709840409
2008,Connecticut,2471082.00,,1646792.00,0,0.666425477
2008,Delaware,628200.00,413562.00,412398.00,0.658328558,0.656475645
2008,District of Columbia,432566.00,266871.00,265853.00,0.616948627,0.614595229
2008,Florida,12687407.00,8453743.00,8390744.00,0.666309751,0.661344276
2008,Georgia,6281872.00,3940705.00,3924440.00,0.627313801,0.624724604
2008,Hawaii,930067.00,456064.00,453568.00,0.490356071,0.487672393
2008,Idaho,1029416.00,667506.00,655032.00,0.648431732,0.636314182
2008,Illinois,8681138.00,5578195.00,5523051.00,0.642564949,0.636212787
2008,Indiana,4653019.00,2805986.00,2751054.00,0.603046323,0.591240655
2008,Iowa,2216094.00,1543662.00,1537123.00,0.696568828,0.693618141
2008,Kansas,1991759.00,1264208.00,1235872.00,0.634719361,0.62049274
2008,Kentucky,3152629.00,1858578.00,1826508.00,0.589532736,0.579360274
2008,Louisiana,3205794.00,1979852.00,1960761.00,0.617585534,0.611630379
2008,Maine,1036242.00,744456.00,731163.00,0.718419057,0.705590972
2008,Maryland,3925117.00,2661905.00,2631596.00,0.678172141,0.670450333
2008,Massachusetts,4612550.00,3102995.00,3080985.00,0.672728751,0.667956987
2008,Michigan,7229512.00,5039080.00,5001766.00,0.697015234,0.69185389
2008,Minnesota,3740142.00,2921147.00,2910369.00,0.781025694,0.778143985
2008,Mississippi,2113347.00,,1289856.00,0,0.610338009
2008,Missouri,4327572.00,2950504.00,2925205.00,0.681792007,0.675946004
2008,Montana,741853.00,497599.00,491960.00,0.670751483,0.663150247
2008,Nebraska,1274719.00,811923.00,801281.00,0.63694273,0.628594224
2008,Nevada,1696831.00,970019.00,967848.00,0.571665063,0.570385619
2008,New Hampshire,992226.00,719643.00,710970.00,0.725281337,0.716540385
2008,New Jersey,5776527.00,3910220.00,3868237.00,0.676915385,0.669647524
2008,New Mexico,1362629.00,833365.00,830158.00,0.611586132,0.609232594
2008,New York,12948969.00,7721718.00,7640640.00,0.596319136,0.590057788
2008,North Carolina,6584302.00,4354571.00,4310789.00,0.661356511,0.654707059
2008,North Dakota,504762.00,321133.00,316621.00,0.636206767,0.627267901
2008,Ohio,8513079.00,5773777.00,5698260.00,0.678224295,0.669353591
2008,Oklahoma,2619121.00,1474694.00,1462661.00,0.563049206,0.558454917
2008,Oregon,2700327.00,1845251.00,1827864.00,0.683343536,0.676904686
2008,Pennsylvania,9457942.00,6071357.00,6012692.00,0.641932145,0.635729422
2008,Rhode Island,763608.00,475428.00,471766.00,0.622607411,0.617811757
2008,South Carolina,3311044.00,1927153.00,1920969.00,0.582037871,0.580170182
2008,South Dakota,590720.00,387449.00,381975.00,0.655892809,0.646626151
2008,Tennessee,4563192.00,2618238.00,2599749.00,0.573773359,0.56972159
2008,Texas,14929810.00,,8077795.00,0,0.541051427
2008,Utah,1700286.00,971185.00,952370.00,0.5711892,0.560123415
2008,Vermont,482677.00,326822.00,325046.00,0.677102907,0.673423428
2008,Virginia,5555415.00,3753059.00,3723260.00,0.675567712,0.670203756
2008,Washington,4561163.00,3071587.00,3036878.00,0.673421888,0.665812206
2008,West Virginia,1430439.00,731691.00,713362.00,0.511514996,0.498701448
2008,Wisconsin,4120694.00,2997086.00,2983417.00,0.727325543,0.724008383
2008,Wyoming,405732.00,256035.00,254658.00,0.63104463,0.627650765
2006,United States,207643594.00,85769132.00,83815592.00,0.413059369,0.403651229
2006,Alabama,3338467.00,,1250401.00,0,0.374543466
2006,Alaska,465169.00,238307.00,237322.00,0.512301981,0.510184471
2006,Arizona,3923786.00,1553032.00,1526782.00,0.395799363,0.389109396
2006,Arkansas,2004193.00,780409.00,774680.00,0.389388148,0.386529641
2006,California,21582217.00,8899059.00,8679416.00,0.412332941,0.402155905
2006,Colorado,3297308.00,1586105.00,1558405.00,0.481030283,0.47262949
2006,Connecticut,2437559.00,1162391.00,1134780.00,0.476866816,0.465539501
2006,Delaware,601341.00,258053.00,254099.00,0.42912923,0.422553925
2006,District of Columbia,426612.00,122356.00,120620.00,0.286808622,0.282739351
2006,Florida,12187858.00,4884544.00,4829270.00,0.400771325,0.396236156
2006,Georgia,6115331.00,2143845.00,2122258.00,0.350568923,0.347038942
2006,Hawaii,908925.00,348988.00,344315.00,0.383956872,0.378815634
2006,Idaho,993010.00,458927.00,450832.00,0.462157481,0.454005498
2006,Illinois,8667453.00,3586292.00,3486671.00,0.413765382,0.402271694
2006,Indiana,4559294.00,1719351.00,1666922.00,0.377109044,0.365609676
2006,Iowa,2178322.00,1071509.00,1048033.00,0.491896515,0.481119412
2006,Kansas,1948850.00,864083.00,849700.00,0.443380968,0.436000718
2006,Kentucky,3100828.00,1370062.00,1253526.00,0.441837471,0.404255251
2006,Louisiana,3043573.00,954896.00,902498.00,0.313741777,0.296525827
2006,Maine,1016287.00,,550865.00,0,0.542036846
2006,Maryland,3833349.00,1809237.00,1788316.00,0.471972941,0.466515311
2006,Massachusetts,4552794.00,2243835.00,2219779.00,0.492847908,0.48756412
2006,Michigan,7292624.00,3852008.00,3801256.00,0.528206034,0.521246673
2006,Minnesota,3667707.00,2217552.00,2202987.00,0.604615363,0.600644217
2006,Mississippi,2077420.00,,610921.00,0,0.294076788
2006,Missouri,4253541.00,2178278.00,2128459.00,0.512109323,0.500396963
2006,Montana,720447.00,411061.00,406505.00,0.570563831,0.564239979
2006,Nebraska,1251027.00,610499.00,596087.00,0.487998261,0.476478126
2006,Nevada,1579222.00,586274.00,582572.00,0.371242295,0.368898103
2006,New Hampshire,975281.00,418550.00,403531.00,0.429158366,0.413758701
2006,New Jersey,5701033.00,2315643.00,2250070.00,0.406179547,0.394677596
2006,New Mexico,1320285.00,568597.00,561084.00,0.430662319,0.424971881
2006,New York,12878632.00,4703830.00,4490053.00,0.365242985,0.348643629
2006,North Carolina,6264630.00,2036451.00,1940808.00,0.325071233,0.309804091
2006,North Dakota,486142.00,220479.00,218152.00,0.453527982,0.448741314
2006,Ohio,8461211.00,4184072.00,4022754.00,0.494500374,0.475434781
2006,Oklahoma,2547224.00,,926462.00,0,0.363714381
2006,Oregon,2628937.00,1399650.00,1379475.00,0.532401499,0.524727295
2006,Pennsylvania,9283762.00,,4096077.00,0,0.441208747
2006,Rhode Island,754219.00,392882.00,384993.00,0.520912361,0.510452534
2006,South Carolina,3152046.00,1117311.00,1091952.00,0.354471667,0.346426416
2006,South Dakota,580592.00,341105.00,335508.00,0.587512401,0.577872241
2006,Tennessee,4433921.00,1868363.00,1833695.00,0.421379407,0.413560593
2006,Texas,14255313.00,,4399068.00,0,0.30859147
2006,Utah,1664323.00,582561.00,571252.00,0.350028811,0.343233855
2006,Vermont,478247.00,263025.00,262726.00,0.549977313,0.549352113
2006,Virginia,5385522.00,2398589.00,2370445.00,0.445377254,0.440151391
2006,Washington,4403981.00,2085074.00,2083734.00,0.473452088,0.473147818
2006,West Virginia,1401490.00,473014.00,459884.00,0.337507938,0.328139337
2006,Wisconsin,4064432.00,2183155.00,2161700.00,0.537136554,0.531857834
2006,Wyoming,379127.00,196217.00,193892.00,0.517549528,0.511417019
2004,United States,203483455.00,123535883.00,122294978.00,0.607105295,0.601006986
2004,Alabama,3292608.00,1890317.00,1883415.00,0.574109338,0.572013128
2004,Alaska,452124.00,314502.00,312598.00,0.695610054,0.69139882
2004,Arizona,3717055.00,2038069.00,2012585.00,0.548302083,0.541446118
2004,Arkansas,1969208.00,1070573.00,1054945.00,0.543656638,0.535720452
2004,California,21132533.00,12589367.00,12421852.00,0.595733933,0.587807056
2004,Colorado,3192647.00,2148036.00,2129630.00,0.672807235,0.667042113
2004,Connecticut,2429634.00,1607808.00,1578769.00,0.661749054,0.649797048
2004,Delaware,584817.00,377407.00,375190.00,0.645342047,0.641551118
2004,District of Columbia,419142.00,230105.00,227586.00,0.548990557,0.54298066
2004,Florida,11811921.00,7640319.00,7609810.00,0.646831197,0.644248298
2004,Georgia,5878186.00,3317336.00,3301875.00,0.564346892,0.561716659
2004,Hawaii,889540.00,431662.00,429013.00,0.485264294,0.48228635
2004,Idaho,946160.00,612786.00,598376.00,0.647655788,0.632425805
2004,Illinois,8576696.00,5350493.00,5274322.00,0.623840812,0.614959653
2004,Indiana,4504260.00,2512142.00,2468002.00,0.557725797,0.547926185
2004,Iowa,2156389.00,1521966.00,1506908.00,0.705793806,0.698810836
2004,Kansas,1928764.00,1213108.00,1187756.00,0.628956161,0.615811992
2004,Kentucky,3057741.00,1816867.00,1795860.00,0.594186035,0.58731593
2004,Louisiana,3182762.00,1956590.00,1943106.00,0.614745935,0.610509363
2004,Maine,1003792.00,751519.00,740752.00,0.748680005,0.73795368
2004,Maryland,3797264.00,2395791.00,2386705.00,0.630925582,0.628532807
2004,Massachusetts,4533859.00,2927455.00,2912388.00,0.645687261,0.642364044
2004,Michigan,7263024.00,4875692.00,4839252.00,0.671303303,0.666286109
2004,Minnesota,3609185.00,2842912.00,2828387.00,0.787688079,0.783663625
2004,Mississippi,2068766.00,,1152365.00,0,0.557030133
2004,Missouri,4180960.00,2764635.00,2731364.00,0.661244068,0.653286327
2004,Montana,699114.00,456096.00,450445.00,0.652391455,0.644308367
2004,Nebraska,1236522.00,792906.00,778186.00,0.641238894,0.629334537
2004,Nevada,1501437.00,831563.00,829587.00,0.55384475,0.552528678
2004,New Hampshire,956422.00,683672.00,677738.00,0.714822536,0.708618162
2004,New Jersey,5663201.00,3638153.00,3611691.00,0.642419896,0.637747274
2004,New Mexico,1282767.00,775301.00,756304.00,0.604397369,0.589587977
2004,New York,12738056.00,7448266.00,7391249.00,0.584725487,0.580249372
2004,North Carolina,6055771.00,3552449.00,3501007.00,0.586622083,0.578127376
2004,North Dakota,482722.00,316049.00,312833.00,0.654722594,0.648060374
2004,Ohio,8427696.00,5722443.00,5627908.00,0.67900444,0.667787258
2004,Oklahoma,2510823.00,,1463758.00,0,0.582979366
2004,Oregon,2550887.00,1851671.00,1836782.00,0.725892993,0.7200562
2004,Pennsylvania,9221962.00,,5769590.00,0,0.625635846
2004,Rhode Island,747046.00,440228.00,437134.00,0.58929169,0.585150044
2004,South Carolina,3055098.00,1626720.00,1617730.00,0.532460824,0.529518202
2004,South Dakota,569161.00,394930.00,388215.00,0.693880993,0.682082926
2004,Tennessee,4328446.00,2456610.00,2437319.00,0.567550109,0.563093313
2004,Texas,13796256.00,,7410765.00,0,0.53715769
2004,Utah,1574463.00,942010.00,927844.00,0.598305581,0.589308228
2004,Vermont,470754.00,314220.00,312309.00,0.667482379,0.663422934
2004,Virginia,5277156.00,3223156.00,3198367.00,0.610775198,0.606077781
2004,Washington,4272914.00,2883499.00,2859084.00,0.674831976,0.669118077
2004,West Virginia,1396545.00,769645.00,755887.00,0.551106481,0.541255026
2004,Wisconsin,4006948.00,3016288.00,2997007.00,0.752764448,0.747952556
2004,Wyoming,370785.00,245789.00,243428.00,0.662888197,0.656520625
2002,United States,198381939.00,80295249.00,78381943.00,0.404750802,0.395106245
2002,Alabama,3285643.00,,1364602.00,0,0.415322663
2002,Alaska,427337.00,232852.00,231484.00,0.5448908,0.54168958
2002,Arizona,3419481.00,1255615.00,1226111.00,0.367194612,0.358566402
2002,Arkansas,1951568.00,814176.00,805696.00,0.41719069,0.412845466
2002,California,20733192.00,7738821.00,7476351.00,0.373257577,0.360598165
2002,Colorado,3056465.00,1424029.00,1416093.00,0.465907184,0.46331072
2002,Connecticut,2418037.00,1090756.00,1022942.00,0.451091526,0.423046463
2002,Delaware,564938.00,,232314.00,0,0.411220346
2002,District of Columbia,412062.00,,124228.00,0,0.301478904
2002,Florida,11194391.00,5143674.00,5100581.00,0.45948672,0.455637203
2002,Georgia,5731983.00,,2031604.00,0,0.354433012
2002,Hawaii,872992.00,385462.00,382110.00,0.441541274,0.437701606
2002,Idaho,921256.00,416533.00,411477.00,0.452135997,0.446647837
2002,Illinois,8540965.00,3651808.00,3538883.00,0.427563864,0.41434229
2002,Indiana,4494191.00,1562037.00,1521353.00,0.347568005,0.33851543
2002,Iowa,2136683.00,1040201.00,1023075.00,0.48682982,0.478814593
2002,Kansas,1897261.00,851966.00,835692.00,0.4490505,0.440472871
2002,Kentucky,3044267.00,,1131313.00,0,0.37162082
2002,Louisiana,3163663.00,1267225.00,1246333.00,0.400556254,0.393952516
2002,Maine,995056.00,,505190.00,0,0.507700069
2002,Maryland,3678346.00,1721626.00,1704560.00,0.468043517,0.463403932
2002,Massachusetts,4458820.00,2220301.00,2194189.00,0.497957083,0.492100825
2002,Michigan,7147888.00,3219864.00,3177565.00,0.450463689,0.444545997
2002,Minnesota,3518184.00,,2254639.00,0,0.640853065
2002,Mississippi,2047426.00,,615609.00,0,0.300674603
2002,Missouri,4116889.00,,1877620.00,0,0.456077392
2002,Montana,684572.00,340272.00,331321.00,0.497058016,0.483982693
2002,Nebraska,1204512.00,,480991.00,0,0.399324374
2002,Nevada,1391100.00,512433.00,504079.00,0.368365322,0.362360003
2002,New Hampshire,930362.00,453078.00,447135.00,0.486991085,0.480603249
2002,New Jersey,5549726.00,2161105.00,2112604.00,0.389407513,0.380668163
2002,New Mexico,1255086.00,502230.00,484229.00,0.400155846,0.385813402
2002,New York,12679865.00,4690968.00,4579078.00,0.369954097,0.36112987
2002,North Carolina,5876705.00,,2331181.00,0,0.396681644
2002,North Dakota,476251.00,237224.00,231030.00,0.498107091,0.485101344
2002,Ohio,8322521.00,3356285.00,3228992.00,0.403277444,0.387982439
2002,Oklahoma,2513143.00,,1035620.00,0,0.412081605
2002,Oregon,2495739.00,1293756.00,1267221.00,0.518385937,0.507753816
2002,Pennsylvania,9143001.00,,3545431.00,0,0.387775414
2002,Rhode Island,741776.00,337027.00,331834.00,0.454351448,0.447350683
2002,South Carolina,2982810.00,,1102010.00,0,0.369453636
2002,South Dakota,556154.00,340407.00,337497.00,0.612073275,0.606840911
2002,Tennessee,4151834.00,,1644741.00,0,0.396148064
2002,Texas,13181016.00,4552059.00,4514012.00,0.34534963,0.34246313
2002,Utah,1504529.00,568290.00,557153.00,0.377719539,0.370317222
2002,Vermont,471403.00,232993.00,230161.00,0.494254385,0.488246787
2002,Virginia,5138270.00,1661915.00,1489422.00,0.323438628,0.28986838
2002,Washington,4162032.00,1808720.00,1739116.00,0.434576188,0.417852626
2002,West Virginia,1398124.00,440156.00,436183.00,0.314819,0.311977335
2002,Wisconsin,3908088.00,,1775349.00,0,0.454275595
2002,Wyoming,370488.00,188028.00,185459.00,0.507514413,0.500580316
2000,United States,194331436.00,107390107.00,105375486.00,0.55261315,0.542246217
2000,Alabama,3241682.00,,1672551.00,0,0.515951595
2000,Alaska,419111.00,287825.00,285560.00,0.686751243,0.681346946
2000,Arizona,3357701.00,1559520.00,1532016.00,0.464460653,0.456269334
2000,Arkansas,1925961.00,,921781.00,0,0.478608341
2000,California,19685258.00,11142843.00,10965849.00,0.566050138,0.557058942
2000,Colorado,3026316.00,,1741368.00,0,0.575408516
2000,Connecticut,2357687.00,1474103.00,1459525.00,0.625232696,0.619049518
2000,Delaware,554863.00,,327529.00,0,0.590288053
2000,District of Columbia,416696.00,,201355.00,0,0.483217981
2000,Florida,10667193.00,6138765.00,5963110.00,0.575480822,0.559013979
2000,Georgia,5639668.00,2684951.00,2583208.00,0.476083167,0.458042566
2000,Hawaii,832642.00,371113.00,367951.00,0.445705357,0.441907807
2000,Idaho,877406.00,516647.00,501615.00,0.588834587,0.571702268
2000,Illinois,8432600.00,4932192.00,4742123.00,0.584895762,0.562355976
2000,Indiana,4424909.00,2246348.00,2182295.00,0.507659706,0.493184154
2000,Iowa,2082950.00,,1315563.00,0,0.631586452
2000,Kansas,1927950.00,1092716.00,1072216.00,0.566776109,0.556143054
2000,Kentucky,2955628.00,1568058.00,1544107.00,0.530532936,0.522429413
