p_number,Heard_Before,TypeOfInfo,AmtOfInfo,Perceived_Ability,Manipulation_Check,technical_difficulties,technical_difficulties_description,gender,ethnic_1,ethnic_2,ethnic_3,ethnic_4,ethnic_5,ethnic_6,age,tried_before,fail_ac
147,1,3,2,2,1,0, ,2,0,0,0,0,1,0,29,2,0
148,1,1,1,5,1,0, ,2,0,1,0,0,0,0,25,2,0
149,1,3,2,1,1,0, ,2,0,0,0,0,1,0,21,2,0
150,1,2,1,2,2,0, ,1,0,0,0,0,1,0,26,2,0
151,1,2,1,5,2,0, ,2,0,0,0,0,1,0,32,2,1
152,1,3,1,3,1,0, ,1,0,0,0,0,1,0,24,2,0
153,1,2,2,5,2,0, ,1,0,0,0,0,1,0,21,1,0
154,1,1,2,4,2,0, ,1,0,0,0,0,1,0,39,1,0
155,1,2,2,3,6,0, ,2,0,0,0,0,1,0,44,2,0
156,1,3,1,2,1,0, ,1,0,0,0,0,1,0,31,2,0
157,1,1,1,2,1,0, ,2,0,0,0,0,0,1,19,2,1
158,1,1,2,3,2,0, ,2,0,0,0,0,1,0,35,2,0
159,1,2,1,2,2,0, ,2,0,0,0,0,1,0,30,2,0
160,1,3,1,2,1,0, ,2,0,0,0,0,1,0,41,2,0
161,1,1,1,5,6,0, ,1,1,0,0,0,0,0,28,2,0
162,1,3,2,1,1,0, ,1,0,0,0,0,1,0,34,2,0
163,1,2,2,2,5,0, ,2,0,0,0,0,1,0,30,2,0
164,2,1,2,3,2,0, ,3,0,0,1,0,0,0,32,2,1
165,1,2,2,3,5,0, ,1,0,0,0,0,1,0,32,2,0
166,1,2,1,2,3,0, ,2,0,0,0,0,1,0,35,2,0
167,1,3,2,2,5,0, ,2,0,0,0,0,1,0,35,2,0
168,1,1,2,6,7,0, ,1,0,0,0,0,1,0,31,2,0
169,1,3,2,3,3,0, ,2,0,0,0,0,1,0,23,2,0
170,1,3,1,2,1,0, ,1,0,0,0,0,1,0,31,1,0
171,1,3,1,1,1,0, ,2,0,0,0,0,1,0,31,2,1
172,1,3,1,2,1,0, ,2,0,0,0,0,1,0,30,2,0
173,1,1,1,3,2,0, ,2,0,0,0,0,1,0,30,2,0
174,1,1,1,1,3,0, ,2,0,0,0,0,1,0,36,2,0
175,2,3,2,5,5,0, ,1,0,0,1,0,0,0,27,2,1
176,1,2,1,5,2,0, ,1,0,1,0,0,0,0,25,2,0
177,1,2,2,3,6,0, ,2,0,0,0,0,1,0,35,2,0
178,1,3,2,5,1,0, ,1,0,0,0,0,1,0,40,1,0
179,1,2,1,4,5,0, ,2,0,0,0,0,1,0,38,2,0
180,1,1,2,6,7,0, ,1,0,0,0,0,1,0,24,2,0
181,1,1,2,5,7,0, ,2,0,0,0,0,1,0,36,2,0
182,1,3,2,3,1,0, ,2,0,0,0,0,1,0,21,1,0
183,1,1,2,1,1,0, ,2,0,0,0,0,1,0,29,2,0
184,1,1,1,5,1,1,Video was only a second.,2,1,0,0,0,0,0,45,2,0
185,1,1,1,2,2,0, ,1,0,0,0,0,1,0,30,2,0
186,1,2,2,4,7,0, ,1,0,0,0,0,1,0,48,1,0
187,1,3,1,1,1,0, ,1,0,0,0,0,1,0,25,2,0
188,1,3,1,5,2,1,Page timed out.,1,1,0,0,0,0,0,33,1,0
189,1,3,1,4,2,0, ,2,0,0,0,0,1,0,55,1,0
190,2,1,2,1,1,0, ,2,0,0,0,0,1,0,29,2,0
191,1,3,2,1,1,0, ,1,0,0,0,0,1,0,33,2,0
192,1,1,2,3,5,0, ,2,0,0,0,0,1,0,38,2,0
193,1,2,1,2,4,0, ,1,0,0,0,0,1,0,27,2,0
194,1,2,1,1,4,0, ,2,0,1,0,0,1,0,32,2,0
195,1,3,1,6,1,0, ,1,0,0,0,0,1,0,40,1,0
196,1,3,2,2,2,0, ,2,0,0,0,0,1,0,33,2,0
197,1,2,2,1,7,0, ,2,0,0,0,0,1,0,56,2,0
198,1,2,2,2,7,0, ,2,0,0,1,0,0,0,35,2,0
199,1,3,1,2,1,0, ,2,0,0,0,0,1,0,25,2,0
200,1,1,1,6,1,0, ,2,0,0,0,0,1,0,34,1,0
201,1,1,1,4,1,0, ,1,0,0,1,0,0,0,25,2,1
202,1,1,1,3,1,0, ,2,0,0,0,0,1,0,22,2,0
203,2,2,2,1,6,0, ,2,0,0,1,0,0,0,64,2,0
204,1,1,2,1,1,0, ,2,0,0,0,0,1,0,56,2,0
205,1,3,1,3,7,0, ,1,0,0,0,0,1,0,50,1,0
206,1,3,2,3,2,0, ,1,0,0,1,0,0,0,23,2,0
207,1,2,1,4,3,0, ,2,0,0,0,0,1,0,30,2,0
208,2,3,2,3,7,0, ,2,0,0,0,0,1,0,40,2,1
209,1,1,2,2,2,0, ,1,0,0,0,0,1,0,33,2,0
210,1,2,1,3,1,0, ,2,0,0,1,0,0,0,21,1,1
211,1,3,2,2,5,0, ,2,0,0,0,0,1,0,33,2,0
212,1,2,1,3,1,0, ,2,0,0,0,0,1,0,59,2,0
213,1,3,2,2,2,0, ,2,0,0,0,0,1,0,51,2,0
214,1,1,2,2,6,0, ,2,0,0,0,0,1,0,31,2,0
215,1,1,1,2,3,0, ,2,0,0,0,0,1,0,31,2,0
216,1,1,2,3,6,0, ,1,0,0,0,0,1,0,25,2,0
217,1,1,1,2,2,0, ,2,0,0,0,0,1,0,36,2,0
218,1,3,2,1,1,0, ,2,0,0,0,0,1,0,38,2,0
219,1,2,1,3,3,0, ,2,0,0,0,0,1,0,34,2,0
220,1,2,2,1,7,0, ,2,0,0,0,0,1,0,30,2,0
221,1,2,2,2,3,0, ,2,0,0,0,0,1,0,26,2,0
222,1,3,1,1,1,0, ,1,0,0,0,0,1,0,32,2,0
223,1,2,2,2,6,0, ,2,0,0,0,0,1,0,30,2,0
224,1,1,1,3,5,0, ,2,0,0,1,0,0,0,22,2,0
225,1,2,1,3,1,0, ,2,0,0,0,0,1,0,21,2,0
226,1,1,2,4,6,0, ,1,0,0,0,0,1,0,30,2,0
227,1,2,2,4,3,0, ,2,0,0,0,0,1,0,34,2,0
228,1,2,1,1,1,0, ,2,0,0,0,0,1,0,54,2,0
229,1,3,1,1,1,0, ,2,0,0,0,0,1,0,25,2,0
230,1,1,1,4,1,0, ,2,0,0,0,0,1,0,20,2,0
231,1,3,1,2,1,0, ,1,0,0,1,0,0,0,46,1,0
232,1,2,1,1,1,0, ,2,0,0,0,0,1,0,27,2,0
233,1,3,2,1,1,0, ,2,0,0,0,0,1,0,52,2,0
234,1,1,1,2,3,0, ,1,0,0,1,0,0,0,34,2,0
235,1,1,2,2,4,0, ,1,0,0,0,0,1,0,36,2,0
236,1,3,2,3,1,0, ,1,0,0,1,0,0,0,25,2,0
237,2,1,2,2,4,0, ,1,0,0,0,0,1,0,36,2,0
238,1,1,2,7,7,0, ,2,0,1,1,0,0,0,55,1,1
239,1,3,1,1,1,0, ,1,0,0,0,0,1,0,59,1,0
240,2,2,2,1,5,0, ,2,0,0,0,0,1,0,34,2,0
241,1,3,1,2,1,0, ,2,0,0,0,0,1,0,49,2,0
242,1,3,1,6,3,0, ,2,0,0,0,0,1,0,28,2,0
243,1,3,2,1,1,0, ,2,0,0,0,0,1,0,28,2,0
244,1,2,2,2,7,0, ,1,0,0,0,0,1,0,60,2,0
245,1,1,1,4,1,0, ,2,1,0,0,0,0,0,30,2,1
246,1,2,1,2,2,0, ,3,0,0,0,0,1,0,23,2,0
247,1,3,2,2,1,0, ,1,0,0,0,0,1,0,25,2,0
248,1,1,2,3,6,0, ,1,0,0,1,0,0,0,46,2,0
249,1,1,1,5,4,0, ,1,0,0,1,0,0,0,19,1,1
250,1,1,1,3,1,0, ,2,0,0,0,0,1,0,53,2,0
251,1,1,1,1,4,0, ,1,0,0,1,0,0,0,30,2,0
252,1,2,2,2,4,0, ,2,0,0,0,0,1,0,49,2,0
253,1,3,1,4,3,0, ,2,0,0,0,0,1,0,26,2,0
254,1,3,2,5,4,0, ,2,0,0,0,0,1,0,35,2,1
255,1,2,1,2,4,0, ,2,0,0,0,0,1,0,27,2,0
256,1,2,2,4,5,0, ,2,0,1,0,0,0,0,44,2,0
257,1,2,1,2,6,0, ,1,0,0,0,0,1,0,67,2,0
258,1,3,2,2,2,1,LAST PAGE WAS LOADING FOR LONG TIME,1,0,1,0,0,1,0,32,2,0
259,1,2,1,3,3,0, ,2,0,0,0,0,1,0,33,2,0
260,1,1,2,5,7,0, ,2,0,0,0,0,1,0,30,2,0
261,1,1,1,4,3,1,The video counted down and then just went to the next page,1,0,0,0,0,1,0,30,1,1
262,1,3,1,1,1,0, ,1,0,0,0,0,1,0,51,2,0
263,1,2,1,7,1,0, ,1,0,1,0,0,1,0,21,1,0
264,1,1,1,2,1,1,I did not see a video loading.  I don't know if this was purposeful or not.,2,1,0,0,0,0,0,39,2,1
265,1,2,2,2,7,0, ,2,0,1,0,0,0,0,28,2,0
266,1,2,2,3,5,0, ,2,0,0,0,0,1,0,24,2,0
267,1,3,1,3,2,0, ,2,0,0,0,0,1,0,48,2,0
268,1,1,2,5,6,0, ,2,0,0,0,0,1,0,48,2,0
269,1,2,2,5,3,0, ,1,0,1,0,0,0,0,29,2,0
270,1,3,1,1,2,0, ,2,0,0,0,0,1,0,44,2,0
271,1,3,2,2,2,0, ,2,0,0,0,0,1,0,49,2,0
272,1,2,1,1,1,0, ,2,1,0,0,0,0,0,28,2,0
273,1,1,1,3,4,0, ,2,0,0,0,0,1,0,30,2,0
274,1,3,2,3,1,0, ,2,0,0,1,0,0,0,29,2,0
275,1,1,1,2,1,1,The video only played for 1 second beforethe page advanced,2,0,0,0,0,1,0,29,2,0
276,1,1,2,6,4,0, ,1,0,0,0,0,1,0,52,1,0
277,1,1,2,7,5,0, ,1,0,0,0,0,1,0,21,1,0
278,1,1,2,6,5,0, ,2,0,0,0,0,1,0,34,2,0
279,1,2,2,2,6,0, ,1,1,0,0,0,0,0,27,2,0
280,1,2,1,6,4,0, ,1,0,0,0,0,1,0,29,1,0
281,1,3,2,5,2,0, ,2,1,0,0,0,1,0,50,1,1
282,1,3,1,3,2,0, ,2,0,0,0,0,1,0,25,2,0
283,1,3,2,5,2,0, ,1,0,1,0,0,0,0,40,2,0
284,1,2,1,2,1,0, ,2,0,0,0,0,0,1,35,1,0
285,1,2,2,5,6,0, ,1,0,0,0,0,1,0,27,1,0
286,1,2,2,6,5,0, ,2,0,1,0,0,0,0,22,2,0
287,1,1,1,4,5,0, ,1,0,0,0,0,1,0,31,2,0
288,1,1,2,7,7,0, ,2,0,0,0,0,1,0,65,2,0
289,1,2,2,4,6,0, ,1,0,0,0,0,1,0,19,2,0
290,1,3,1,2,1,0, ,1,0,0,0,0,1,0,50,2,0
291,1,3,2,1,1,0, ,1,0,1,0,0,1,0,33,2,0
292,1,3,1,2,1,0, ,1,0,0,0,0,1,0,40,2,0
293,1,1,1,5,5,0, ,1,0,0,1,0,0,0,28,2,0
294,1,1,1,5,3,0, ,2,0,0,0,0,1,0,40,2,0
295,1,2,1,3,2,0, ,2,0,0,0,0,1,0,34,2,0
296,1,2,1,4,3,0, ,1,0,0,0,0,1,0,32,2,0
297,1,3,1,2,4,0, ,1,0,0,0,0,1,0,50,2,1
298,1,3,2,1,5,0, ,2,0,0,0,0,1,0,24,2,0
299,1,1,2,7,7,0, ,1,0,0,0,1,1,0,19,2,0
300,1,2,2,4,5,0, ,2,0,1,0,0,0,0,28,2,0
301,2,3,1,4,1,0, ,1,1,0,0,0,0,0,29,2,0
302,1,1,2,2,3,0, ,2,0,0,0,1,1,0,28,2,0
303,1,3,2,4,1,0, ,2,0,0,0,0,1,0,33,1,0
304,1,3,2,5,1,0, ,1,0,0,0,0,1,0,28,2,0
305,1,2,2,5,6,0, ,1,0,0,0,0,1,0,27,2,1
306,1,1,2,1,6,0, ,2,0,0,0,0,1,0,34,2,0
307,2,2,1,6,7,0, ,1,0,0,0,0,1,0,25,2,1
308,1,2,1,4,3,0, ,1,0,0,0,0,1,0,40,2,0
309,1,2,1,5,3,0, ,2,0,0,0,0,1,0,32,2,0
310,1,2,1,1,1,0, ,2,1,0,0,0,0,0,28,1,0
311,1,3,2,1,2,0, ,2,0,0,1,0,0,0,53,2,1
312,1,1,1,2,1,0, ,3,0,0,0,0,0,1,22,2,0
313,1,2,2,5,7,0, ,2,0,0,0,0,1,0,52,2,0
314,1,1,2,2,7,0, ,2,0,1,0,0,0,0,38,2,0
315,1,1,1,5,3,0, ,2,0,0,0,0,1,0,44,2,0
316,1,2,1,3,2,0, ,1,0,1,0,0,0,0,21,2,0
317,1,3,1,3,1,0, ,1,0,0,0,0,1,0,35,1,0
318,1,1,2,5,3,0, ,2,1,0,0,0,0,0,40,1,0
319,1,3,1,1,4,0, ,2,0,1,0,0,0,0,28,2,1
320,1,1,2,2,7,0, ,2,1,0,0,0,0,0,44,2,0
321,1,2,2,3,5,0, ,2,0,0,0,0,1,0,43,2,0
322,1,3,1,4,1,0, ,2,0,0,0,0,1,0,18,2,0
323,1,3,2,1,1,0, ,2,0,0,0,0,1,0,26,2,0
324,1,1,1,3,5,0, ,1,0,0,0,0,1,0,51,2,0
325,1,2,2,4,4,0, ,1,0,0,0,0,1,0,28,2,0
326,1,3,2,1,1,0, ,2,0,0,0,0,1,0,31,2,0
327,1,1,1,5,5,0, ,2,0,0,0,0,1,0,70,2,0
328,1,3,2,1,2,0, ,2,0,0,0,0,1,0,46,2,0
329,1,2,2,4,1,0, ,2,0,0,0,0,1,0,71,2,0
330,1,2,1,5,4,0, ,1,0,0,0,0,1,0,49,2,0
331,1,1,2,2,4,0, ,2,0,0,0,0,1,0,23,2,0
332,1,3,1,1,1,0, ,2,0,0,0,0,1,0,44,2,0
333,1,2,2,2,5,0, ,1,0,0,0,0,1,0,20,2,0
334,1,2,1,3,5,0, ,1,1,0,0,0,0,0,25,2,0
335,1,1,1,3,3,0, ,2,0,0,1,0,0,0,33,2,0
336,1,3,2,1,2,0, ,2,0,1,0,0,0,0,45,2,0
337,1,1,2,3,6,0, ,2,1,0,0,0,0,0,49,2,0
338,1,2,2,6,3,0, ,2,0,0,0,0,1,0,34,2,0
339,1,2,1,1,3,0, ,2,0,1,0,0,0,0,25,2,0
340,1,1,1,2,1,1,the video never loaded,1,0,0,0,0,1,0,32,1,1
341,1,3,2,1,1,0, ,2,0,0,0,0,1,0,30,2,0
342,1,3,1,5,1,0, ,1,0,0,0,0,1,0,33,1,0
343,1,2,2,2,4,0, ,2,0,0,0,0,1,0,59,2,0
344,2,3,1,1,1,0, ,2,1,0,0,0,0,0,62,2,0
345,1,1,2,2,3,0, ,2,0,0,0,0,1,0,45,2,0
346,1,1,1,2,1,1,the video did not play,2,0,0,0,0,1,0,60,2,1
347,1,2,2,2,3,0, ,1,0,0,0,0,1,0,31,2,0
348,1,1,1,2,3,0, ,2,0,0,0,0,1,0,29,2,0
349,1,3,2,2,1,0, ,1,0,0,0,0,1,0,56,2,0
350,1,3,1,2,1,0, ,2,0,0,0,0,1,0,67,2,0
351,1,3,1,6,1,1,"There was no more information in the ""more information"" section, just a timer.",2,0,0,0,0,1,0,38,1,0
352,1,1,2,1,3,0, ,2,0,0,0,0,1,0,34,2,0
353,1,3,1,3,3,0, ,1,0,0,0,0,1,0,35,2,1
354,1,1,2,2,5,0, ,1,0,0,0,0,1,0,40,1,0
355,1,2,1,1,4,0, ,1,0,0,0,0,1,0,38,2,0
356,1,2,1,7,7,0, ,2,0,0,0,0,1,0,39,2,1
357,1,3,2,3,2,0, ,1,0,0,0,0,1,0,38,2,0
358,2,1,1,5,6,0, ,1,0,0,0,0,1,0,32,2,1
359,1,1,2,4,2,0, ,2,0,1,0,0,0,0,25,2,0
360,1,1,1,6,5,0, ,2,0,0,0,0,1,0,37,2,0
361,1,3,1,2,3,0, ,2,0,0,0,0,1,0,45,2,0
362,1,1,1,5,6,0, ,2,0,0,0,0,1,0,52,2,0
363,1,3,2,3,1,0, ,1,0,0,1,0,0,0,37,2,0
364,1,2,1,2,5,0, ,1,0,0,0,0,1,0,38,2,0
365,1,2,2,2,7,0, ,2,0,0,0,0,1,0,62,2,0
366,1,2,1,1,1,0, ,2,0,0,0,0,1,0,51,2,0
367,1,1,1,1,2,0, ,1,0,0,0,0,1,0,29,2,0
368,1,3,2,2,1,0, ,1,0,0,0,0,1,0,48,1,0
369,1,1,2,5,3,0, ,2,1,0,0,0,0,0,64,2,0
370,1,3,1,2,1,0, ,2,0,0,0,0,1,0,66,2,0
371,1,2,2,1,7,0, ,2,0,0,1,0,0,0,27,2,0
372,1,1,1,3,1,0, ,1,0,0,0,0,1,0,34,2,0
373,1,1,2,5,5,0, ,1,0,0,0,0,1,0,63,2,0
374,1,1,2,5,7,0, ,2,0,0,0,0,1,0,21,2,0
375,1,2,1,4,4,0, ,1,1,0,0,0,0,0,28,2,0
376,1,2,1,7,2,0, ,1,0,0,0,0,1,0,40,2,0
