movie	genre	score	rating	box.office
TheRecruit	suspense	62.6	PG-13	52.802
TheRundown	action	60.4	PG-13	47.611
TheSchoolofRock	comedy	86.4	PG-13	81.239
TheTexasChainsawMassacre	horror	42.2	PG-13	80.168
Timeline	action	42.9	R	19.481
Tupac:Resurrection	documentary	69.5	R	7.719
UndertheTuscanSun	comedy	63.1	PG-13	43.502
Underworld	action	46.2	R	51.484
UptownGirls	comedy	38.5	PG-13	37.182
ViewfromtheTop	comedy	43.7	PG-13	15.597
WhataGirlWants	comedy	53.3	PG	36.017
Willard	horror	60.3	PG-13	6.852
WrongTurn	horror	32.6	R	15.419
X2:X-MenUnited	action	72.5	PG-13	214.95
