year,city,country_of_games,division,type,name,country_of_athlete,min,sec,time
1996,Atlanta,USA,Women,Olympic,Svetlana Masterkova,Russian Federation,4,0.83,4.013833333
1996,Atlanta,USA,Women,T12,Rima Batalova,Russian Federation,4,51.17,4.852833333
2000,Sydney,Australia,Men,Olympic,Noah Ngeny,Kenya,3,32.07,3.5345
2000,Sydney,Australia,Men,T11,Paulo de Almeida Coelho,Portugal,4,10.13,4.168833333
2000,Sydney,Australia,Men,T12,Cesar Carlavilla,Spain,4,13.6,4.226666667
2000,Sydney,Australia,Men,T13,Maher Bouallegue,Tunisia,3,56.97,3.9495
2000,Sydney,Australia,Women,Olympic,Nouria Mérah-Benida,Algeria,4,5.1,4.085
2000,Sydney,Australia,Women,T12,Rima Batalova,Russian Federation,4,49.64,4.827333333
2004,Athens,Greece,Men,Olympic,Hicham El Guerrouj,Morocco,3,34.19,3.569833333
2004,Athens,Greece,Men,T11,Mustapha El Aouzari,Morocco,4,8.58,4.143
2004,Athens,Greece,Men,T13,Maher Bouallegue,Tunisia,3,51.09,3.8515
2004,Athens,Greece,Women,Olympic,Kelly Holmes,Great Britain,3,57.9,3.965
2004,Athens,Greece,Women,T12,Elena Pautova,Russian Federation,4,36.29,4.604833333
2008,Beijing,China,Men,Olympic,Asbel Kiprop,Kenya,3,33.11,3.551833333
2008,Beijing,China,Men,T11,Zhen Zhang,China,4,10.05,4.1675
2008,Beijing,China,Men,T13,Henry Kirwa,Kenya,4,6.11,4.101833333
2008,Beijing,China,Women,Olympic,Nancy Langat,Kenya,4,0.03,4.0005
2008,Beijing,China,Women,T13,Somaya Bousaid,Tunisia,4,14,4.233333333
2012,London,United Kingdom,Men,Olympic,Taoufik Makhloufi,Algeria,3,34.08,3.568
2012,London,United Kingdom,Men,T11,Samwel Mushai Kimani,Kenya,3,58.37,3.972833333
2012,London,United Kingdom,Men,T13,Abderrahim Zhiou,Tunisia,3,48.31,3.805166667
2012,London,United Kingdom,Women,Olympic,Maryam Yusuf Jamal,Bahrain,4,10.74,4.179
2012,London,United Kingdom,Women,T12,Elena Pautova,Russian Federation,4,37.65,4.6275
2016,Rio de Janeiro,Brazil,Men,Olympic,"Matthew Centrowitz, Jr.",USA,3,50,3.833333333
2016,Rio de Janeiro,Brazil,Men,T11,Samwel Mushai Kimani,Kenya,4,3.25,4.054166667
2016,Rio de Janeiro,Brazil,Men,T13,Abdellatif Baka,Algeria,3,48.29,3.804833333
2016,Rio de Janeiro,Brazil,Women,Olympic,Faith Chepngetich Kipyegon,Kenya,4,8.92,4.148666667
2016,Rio de Janeiro,Brazil,Women,T11,Jin Zheng,China,4,38.92,4.648666667
2016,Rio de Janeiro,Brazil,Women,T13,Somaya Bousaid,Tunisia,4,21.45,4.3575
2020,Tokyo,Japan,Men,Olympic,Jakob Ingebrigtsen,Norway,3,28.32,3.472
2020,Tokyo,Japan,Men,T11,Yeltsin Jacques,Brazil,3,57.6,3.96
2020,Tokyo,Japan,Men,T13,Anton Kuliatin,Russian Paralympic Committee,3,54.04,3.900666667
2020,Tokyo,Japan,Women,Olympic,Faith Chepngetich Kipyegon,Kenya,3,53.11,3.885166667
2020,Tokyo,Japan,Women,T11,Monica Olivia Rodriguez Saavedra,Mexico,4,37.4,4.623333333
2020,Tokyo,Japan,Women,T13,Tigist Gezahagn Menigstu,Ethiopia,4,23.24,4.387333333
