2017-18 Class Size by Gender and Selected Population ,,,,,,,,,
School Name,School Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
Adams-Cheshire - Hoosac Valley Elementary School,06030020,     188,  16.8,        403,  47.6,  52.4,   0.5,  30.0,52.1
Adams-Cheshire - Hoosac Valley High School,06030505,     297,  14.4,        414,  50.2,  49.8,   1.0,  23.2,41.5
Adams-Cheshire - Hoosac Valley Middle School,06030315,     257,  19.1,        388,  48.5,  51.5,   0.3,  24.7,51.3
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,     489,  19.3,        983,  46.9,  53.1,   2.5,   5.4,6.6
Agawam - Agawam Early Childhood Center,00050003,      16,  12.8,        186,  47.3,  52.7,   0.0,  46.8,39.8
Agawam - Agawam High,00050505,     593,  15.6,"      1,165",  48.5,  51.5,   2.0,  12.7,21.9
Agawam - Agawam Junior High,00050405,     796,  12.7,        581,  48.9,  51.1,   1.4,  14.8,26.9
Agawam - Benjamin J Phelps,00050020,     226,  17.9,        381,  44.9,  55.1,  10.8,  12.3,27
Agawam - Clifford M Granger,00050010,     139,  22.0,        285,  51.2,  48.8,   8.8,  21.8,35.8
Agawam - James Clark School,00050030,     182,  19.5,        335,  47.5,  52.5,  10.1,  16.4,28.7
Agawam - Roberta G. Doering School,00050303,     435,  17.4,        581,  47.2,  52.8,   4.5,  16.9,33.2
Agawam - Robinson Park,00050025,     231,  16.7,        365,  50.4,  49.6,  14.0,  14.0,35.1
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,     131,  19.0,        398,  54.8,  45.2,  22.9,  16.1,55.5
Amesbury - Amesbury Elementary,00070005,     161,  19.6,        400,  44.0,  56.0,   0.0,  22.0,22.5
Amesbury - Amesbury High,00070505,     367,  16.5,        602,  45.7,  54.3,   0.8,  14.0,14.1
Amesbury - Amesbury Innovation High School,00070515,      43,   9.7,         47,  42.6,  57.4,   0.0,  44.7,63.8
Amesbury - Amesbury Middle,00070013,     376,  16.7,        682,  50.4,  49.6,   1.2,  21.1,23.3
Amesbury - Charles C Cashman Elementary,00070010,     189,  19.0,        445,  45.4,  54.6,   3.6,  24.9,27.9
Amherst - Crocker Farm Elementary,00080009,     101,  20.7,        428,  47.4,  52.3,  20.1,  21.7,34.1
Amherst - Fort River Elementary,00080020,      95,  20.1,        333,  51.4,  48.6,  16.2,  26.1,35.4
Amherst - Wildwood Elementary,00080050,     116,  19.7,        401,  46.9,  53.1,  14.7,  19.0,32.7
Amherst-Pelham - Amherst Regional High,06050505,     630,  13.0,        931,  47.9,  51.9,   5.4,  18.7,23.1
Amherst-Pelham - Amherst Regional Middle School,06050405,     309,  16.0,        414,  46.9,  53.1,   9.9,  21.7,29
Andover - Andover High,00090505,"   1,050",  15.2,"      1,777",  52.6,  47.2,   0.6,  14.9,6.6
Andover - Andover West Middle,00090310,     275,  19.7,        532,  53.2,  46.8,   1.7,  16.7,7.7
Andover - Bancroft Elementary,00090003,     192,  20.9,        585,  47.7,  52.3,   4.1,  16.4,7.7
Andover - Doherty Middle,00090305,     279,  20.6,        563,  50.3,  49.7,   0.9,  20.6,6.2
Andover - Henry C Sanborn Elementary,00090010,     130,  20.5,        388,  47.9,  52.1,  12.1,  17.3,7.7
Andover - High Plain Elementary,00090004,     165,  21.9,        525,  45.5,  54.5,  10.5,  19.6,6.5
Andover - Shawsheen School,00090005,       9,  11.6,        104,  27.9,  72.1,   5.8,  57.7,10.6
Andover - South Elementary,00090020,     164,  20.7,        496,  49.2,  50.8,   7.1,  17.5,3.4
Andover - West Elementary,00090025,     199,  21.1,        613,  49.6,  50.4,   4.7,  23.5,8
Andover - Wood Hill Middle School,00090350,     247,  17.4,        424,  49.8,  50.2,   3.5,  20.0,6.8
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,     135,  24.8,        410,  46.1,  53.9,  24.9,  23.2,53.4
Arlington - Arlington High,00100505,     796,  14.2,"      1,339",  51.2,  48.4,   1.9,  11.9,9.3
Arlington - Brackett,00100010,     189,  18.0,        485,  46.6,  53.4,   4.3,  13.4,4.1
Arlington - Cyrus E Dallin,00100025,     175,  19.3,        483,  48.4,  51.6,   3.1,  14.5,3.7
Arlington - Hardy,00100030,     154,  20.3,        446,  45.5,  54.3,  11.2,  16.6,5.4
Arlington - John A Bishop,00100005,     126,  23.0,        414,  46.1,  53.9,   5.1,  11.4,6
Arlington - M Norcross Stratton,00100055,     168,  17.2,        412,  50.2,  49.8,   5.3,  17.2,8.7
Arlington - Menotomy Preschool,00100038,       6,  17.0,        102,  28.4,  71.6,   0.0,  65.7,10.8
Arlington - Ottoson Middle,00100410,     696,  19.6,"      1,275",  53.5,  46.5,   2.9,  18.1,9.3
Arlington - Peirce,00100045,      91,  23.2,        301,  48.8,  51.2,   9.3,  15.6,7.6
Arlington - Thompson,00100050,     161,  21.1,        486,  48.8,  51.2,  11.9,  14.4,15
Ashburnham-Westminster - Briggs Elementary,06100025,     275,  19.6,        550,  50.4,  49.6,   2.5,  25.3,16.5
Ashburnham-Westminster - Meetinghouse School,06100010,      82,  20.3,        164,  50.6,  49.4,   3.0,  12.8,17.1
Ashburnham-Westminster - Oakmont Regional High School,06100505,     402,  15.7,        711,  51.2,  48.7,   1.1,  15.3,14.2
Ashburnham-Westminster - Overlook Middle School,06100305,     488,  18.0,        570,  50.4,  49.6,   1.1,  17.7,14.9
Ashburnham-Westminster - Westminster Elementary,06100005,     181,  23.8,        385,  45.5,  54.5,   2.3,  18.4,15.6
Ashland - Ashland High,00140505,     436,  14.7,        789,  51.3,  48.5,   3.3,  13.1,12.3
Ashland - Ashland Middle,00140405,     355,  19.0,        611,  51.2,  48.8,   4.3,  16.5,13.1
Ashland - David Mindess,00140015,     281,  24.0,        646,  50.0,  50.0,   6.7,  17.3,13
Ashland - Henry E Warren Elementary,00140010,     204,  19.7,        620,  50.3,  49.7,   8.1,  14.5,11.8
Ashland - William Pittaway Elementary,00140005,      30,   4.9,        137,  42.3,  57.7,   0.0,  33.6,11.7
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,08010605,     648,  16.6,"      1,111",  40.7,  59.2,   3.2,  29.3,22.4
Athol-Royalston - Athol Community Elementary School,06150020,     182,  20.5,        624,  45.8,  54.2,   2.6,  32.1,55.6
Athol-Royalston - Athol High,06150505,     212,  13.2,        401,  48.4,  51.6,   1.2,  23.9,40.6
Athol-Royalston - Athol-Royalston Middle School,06150305,     199,  19.2,        408,  48.0,  52.0,   4.7,  28.4,45.1
Athol-Royalston - Royalston Community School,06150050,      56,  17.2,        138,  48.6,  51.4,   0.0,  14.5,35.5
Atlantis Charter (District) - Atlantis Charter School,04910550,     502,  23.6,"      1,207",  53.3,  46.7,   9.9,  13.2,39.9
Attleboro - A. Irvin Studley Elementary School,00160001,     205,  19.0,        384,  48.7,  51.3,  12.8,  16.4,37.5
Attleboro - Attleboro Community Academy,00160515,      53,  10.7,         92,  41.3,  58.7,   1.1,   6.5,41.3
Attleboro - Attleboro High,00160505,     888,  20.6,"      1,765",  47.3,  52.7,   2.8,   9.9,25.1
Attleboro - Cyril K. Brennan Middle School,00160315,     221,  24.4,        597,  46.7,  53.1,   5.5,  14.9,34.7
Attleboro - Early Learning Center,00160008,      24,   8.7,        207,  39.1,  60.9,   0.5,  57.5,36.2
Attleboro - Hill-Roberts Elementary School,00160045,     195,  24.0,        465,  48.4,  51.6,   5.6,  14.6,31
Attleboro - Hyman Fine Elementary School,00160040,     190,  25.1,        475,  49.7,  50.3,  12.8,  13.3,31.2
Attleboro - Peter Thacher Elementary School,00160050,     242,  16.2,        432,  49.1,  50.9,  11.1,  22.7,33.6
Attleboro - Robert J. Coelho Middle School,00160305,     252,  27.0,        687,  48.2,  51.8,   1.6,  15.9,20.4
Attleboro - Thomas Willett Elementary School,00160035,     190,  21.6,        410,  48.8,  51.2,  12.7,  17.6,35.6
Attleboro - Wamsutta Middle School,00160320,     171,  25.1,        570,  46.7,  53.3,   4.2,  16.7,30.2
Auburn - Auburn Middle,00170305,     360,  19.5,        633,  46.4,  53.6,   2.8,   9.8,16.3
Auburn - Auburn Senior High,00170505,     623,  16.7,        806,  53.6,  46.4,   2.7,   9.6,14.9
Auburn - Bryn Mawr,00170010,      52,  23.4,        304,  49.0,  51.0,   5.3,  12.8,20.1
Auburn - Pakachoag School,00170025,      47,  23.6,        312,  46.2,  53.8,   8.3,  10.3,18.3
Auburn - Swanson Road Intermediate School,00170030,     189,  23.2,        576,  51.9,  48.1,   4.0,   8.3,19.3
Avon - Avon Middle High School,00180510,     224,  11.5,        317,  47.3,  52.1,   3.8,  15.5,26.8
Avon - Ralph D Butler,00180010,      98,  18.7,        416,  45.7,  54.3,   4.1,  17.3,28.6
Ayer Shirley School District - Ayer Shirley Regional High School,06160505,     249,  16.5,        406,  51.5,  48.5,   3.0,  14.3,22.7
Ayer Shirley School District - Ayer Shirley Regional Middle School,06160305,     210,  19.5,        368,  48.4,  51.6,   2.2,  18.8,26.1
Ayer Shirley School District - Lura A. White Elementary School,06160001,     178,  20.5,        403,  47.1,  52.9,   2.2,  19.9,22.3
Ayer Shirley School District - Page Hilltop Elementary School,06160002,     243,  20.7,        535,  46.9,  53.1,   7.9,  16.4,25.4
Barnstable - Barnstable High,00200505,     771,  14.7,"      1,817",  49.6,  50.4,   6.9,  13.8,25.2
Barnstable - Barnstable Intermediate School,00200315,     431,  16.5,        734,  51.0,  49.0,   8.3,  17.0,30.8
Barnstable - Barnstable United Elementary School,00200050,     413,  21.2,        853,  48.5,  51.3,  10.9,  13.2,38.1
Barnstable - Centerville Elementary,00200010,      73,  19.0,        260,  46.5,  53.5,  16.5,  16.5,29.6
Barnstable - Enoch Cobb Early Learning Center,00200001,      19,   9.6,        183,  41.0,  59.0,  16.9,  47.5,36.1
Barnstable - Hyannis West Elementary,00200025,     117,  18.3,        348,  50.0,  50.0,  39.4,  10.9,53.4
Barnstable - West Barnstable Elementary,00200005,      63,  21.4,        260,  44.6,  55.4,   8.8,  14.6,27.7
Barnstable - West Villages Elementary School,00200045,     107,  20.9,        430,  47.4,  52.6,   3.0,  14.4,21.6
Barnstable Community Horace Mann Charter Public (District) - Barnstable Community Horace Mann Charter Public School,04270010,      87,  20.4,        299,  48.5,  51.5,  20.7,   9.7,38.5
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,     297,  15.8,        447,  49.7,  50.3,  13.2,  19.0,67.8
Bedford - Bedford High,00230505,     544,  13.2,        871,  49.4,  50.5,   1.6,  17.0,8.5
Bedford - John Glenn Middle,00230305,     376,  17.3,        585,  48.5,  51.5,   3.4,  18.1,7.9
Bedford - Lt Elezer Davis,00230010,      81,  22.2,        599,  51.9,  48.1,  11.7,  10.7,10
Bedford - Lt Job Lane School,00230012,     146,  23.5,        611,  47.3,  52.7,   7.7,  17.0,7.9
Belchertown - Belchertown High,00240505,     427,  13.9,        703,  48.1,  51.9,   0.3,  12.9,12.4
Belchertown - Chestnut Hill Community School,00240006,     233,  21.8,        550,  51.6,  48.4,   1.1,  22.7,20.5
Belchertown - Cold Spring,00240005,      35,  19.1,        198,  50.5,  49.5,   1.5,  21.7,22.2
Belchertown - Jabish Middle School,00240025,     267,  17.8,        408,  47.5,  52.5,   0.2,  17.9,19.6
Belchertown - Swift River Elementary,00240018,     205,  20.5,        469,  48.2,  51.8,   1.9,  20.7,22.4
Bellingham - Bellingham Early Childhood Center,00250003,      11,   9.4,        103,  45.6,  54.4,   0.0,  42.7,20.4
Bellingham - Bellingham High School,00250505,     375,  17.8,        764,  47.8,  52.2,   1.7,  18.2,15.3
Bellingham - Bellingham Memorial School,00250315,     286,  19.6,        721,  50.9,  49.1,   1.2,  16.8,17.9
Bellingham - Keough Memorial Academy,00250510,      48,   8.9,         41,  46.3,  51.2,   0.0,  85.4,34.1
Bellingham - South Elementary,00250020,      68,  20.1,        341,  49.3,  50.7,   1.8,  12.9,24
Bellingham - Stall Brook,00250025,      75,  17.6,        312,  48.1,  51.9,   3.8,  17.3,18.3
Belmont - Belmont High,00260505,     452,  20.8,"      1,307",  51.0,  49.0,   1.8,   6.4,7.3
Belmont - Daniel Butler,00260015,     138,  23.1,        390,  44.6,  55.4,  16.2,   9.2,10.5
Belmont - Mary Lee Burbank,00260010,     138,  22.3,        378,  49.2,  50.8,  13.2,   6.6,5.6
Belmont - Roger E Wellington,00260035,     209,  22.7,        644,  47.0,  53.0,  12.3,  14.3,6.1
Belmont - Winn Brook,00260005,     172,  23.3,        482,  46.7,  53.3,  16.4,   8.7,2.3
Belmont - Winthrop L Chenery Middle,00260305,     679,  22.7,"      1,423",  50.9,  49.1,   3.6,  10.3,7.6
Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School,04200205,      65,  23.0,        350,  50.9,  49.1,   5.1,  16.6,50.3
Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School,04470205,     154,  24.7,        445,  51.0,  49.0,   5.6,  12.4,7
Bentley Academy Charter School (District) - Bentley Academy Charter School,35110205,     146,  16.2,        281,  50.2,  49.8,  21.4,  18.1,64.4
Berkley - Berkley Community School,00270010,      98,  20.5,        526,  51.3,  48.7,   1.0,  14.6,17.1
Berkley - Berkley Middle School,00270305,     154,  20.4,        392,  50.5,  49.5,   0.3,  15.6,13.8
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,04140305,     138,  17.9,        358,  49.4,  50.6,   0.6,  22.3,39.1
Berkshire Hills - Monument Mt Regional High,06180505,     328,  12.2,        525,  47.4,  52.6,   1.3,  13.9,20.6
Berkshire Hills - Monument Valley Regional Middle School,06180310,     324,  18.0,        381,  50.7,  49.3,   2.9,  16.5,27.6
Berkshire Hills - Muddy Brook Regional Elementary School,06180035,     235,  15.2,        352,  47.2,  52.8,   6.3,  24.4,35.2
Berlin - Berlin Memorial,00280005,     122,  14.6,        189,  44.4,  55.6,   3.2,  15.9,15.3
Berlin-Boylston - Tahanto Regional High,06200505,     289,  17.0,        590,  45.9,  54.1,   1.9,  15.9,10.7
Beverly - Ayers/Ryal Side School,00300055,      24,  20.8,        500,  47.2,  52.8,   9.2,  13.6,25.2
Beverly - Beverly High,00300505,     554,  19.5,"      1,237",  50.4,  49.6,   2.2,  15.7,21.3
Beverly - Briscoe Middle,00300305,     521,  21.3,"      1,017",  46.4,  53.6,   2.1,  20.1,26.1
Beverly - Centerville Elementary,00300010,      23,  16.0,        367,  49.3,  50.7,   4.4,  21.8,31.9
Beverly - Cove Elementary,00300015,      32,  14.8,        473,  48.2,  51.8,   5.3,  19.7,23.9
Beverly - Hannah Elementary,00300033,      23,  17.7,        407,  45.5,  54.5,   3.9,  19.9,21.1
Beverly - McKeown School,00300002,      16,   8.8,        141,  37.6,  62.4,   0.0,  70.9,35.5
Beverly - North Beverly Elementary,00300040,      26,  15.6,        405,  50.1,  49.9,   4.7,  22.2,23.7
Billerica - Billerica Memorial High School,00310505,     561,  17.7,"      1,340",  49.1,  50.9,   1.5,  15.7,13.3
Billerica - Eugene C Vining,00310030,     106,  16.0,        192,  41.7,  58.3,   0.5,  17.7,21.4
Billerica - Frederick J Dutile,00310007,     141,  17.2,        274,  51.1,  48.9,   0.0,  17.9,19.3
Billerica - Hajjar Elementary,00310026,     212,  19.3,        463,  49.2,  50.8,   7.3,  14.5,19.4
Billerica - John F Kennedy,00310012,     150,  18.8,        319,  51.1,  48.9,   0.0,  13.2,13.8
Billerica - Locke Middle,00310310,     330,  15.7,        508,  47.8,  52.2,   0.0,  18.7,13.2
Billerica - Marshall Middle School,00310305,     340,  19.2,        666,  49.5,  50.5,   1.5,  20.7,15.9
Billerica - Parker,00310015,     221,  19.5,        488,  44.7,  55.3,   0.2,  21.1,16.4
Billerica - Thomas Ditson,00310005,     242,  19.3,        527,  50.3,  49.7,   2.8,  17.1,16.9
Blackstone Valley Regional Vocational Technical - Blackstone Valley,08050605,     679,  17.2,"      1,219",  49.6,  50.4,   0.2,   8.9,9.4
Blackstone-Millville - A F Maloney,06220015,     121,  22.9,        297,  50.5,  49.5,   3.7,  17.2,18.5
Blackstone-Millville - Blackstone Millville RHS,06220505,     205,  13.8,        404,  48.8,  51.2,   1.0,  15.3,17.8
Blackstone-Millville - Frederick W. Hartnett Middle School,06220405,     250,  19.5,        427,  49.6,  50.4,   0.5,  13.1,17.1
Blackstone-Millville - John F Kennedy Elementary,06220008,     126,  19.9,        278,  43.5,  56.5,   6.8,  17.3,21.9
Blackstone-Millville - Millville Elementary,06220010,     107,  20.7,        289,  50.2,  49.8,   0.3,  21.1,25.3
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,08060605,     427,  14.8,        841,  44.6,  55.4,   0.5,  25.6,22.2
Boston - Another Course To College,00350541,     145,  12.5,        237,  48.5,  51.5,  13.1,  21.5,57.4
Boston - Baldwin Early Learning Center,00350003,      32,  14.2,        167,  40.1,  59.9,  58.1,  23.4,32.9
Boston - Beethoven,00350021,     133,  19.0,        332,  51.2,  48.8,  27.4,  20.8,37.7
Boston - Blackstone,00350390,     312,  16.6,        601,  47.6,  52.4,  44.8,  24.6,71.2
Boston - Boston Adult Academy,00350548,      87,  13.5,        198,  49.0,  51.0,  78.3,   4.5,38.9
Boston - Boston Arts Academy,00350546,     293,  15.6,        470,  66.6,  33.4,   3.8,  14.7,45.3
Boston - Boston Collaborative High School,00350755,      57,  15.2,        239,  46.9,  53.1,  21.3,  19.7,57.7
Boston - Boston Community Leadership Academy,00350558,     160,  18.2,        470,  47.9,  52.1,  22.3,  22.1,56.4
Boston - Boston International High School,00350507,     321,  14.6,        485,  45.8,  54.2,  91.1,   6.0,62.7
Boston - Boston Latin,00350560,     796,  26.0,"      2,439",  55.4,  44.6,   0.0,   2.4,15.8
Boston - Boston Latin Academy,00350545,     472,  25.8,"      1,761",  57.6,  42.4,   0.2,   4.1,31.2
Boston - Boston Teachers Union School,00350012,     124,  18.8,        295,  45.1,  54.9,  12.9,  25.4,40.7
Boston - Brighton High,00350505,     207,  17.7,        665,  38.3,  61.7,  42.0,  18.6,64.8
Boston - Carter Developmental Center,00350036,       1,  31.0,         31,  38.7,  61.3,  29.0,  90.3,67.7
Boston - Charles H Taylor,00350054,     319,  17.9,        568,  48.6,  51.4,  36.6,  15.3,65.5
Boston - Charles Sumner,00350052,     262,  18.9,        576,  45.5,  54.5,  43.8,  24.7,56.8
Boston - Charlestown High,00350515,     445,  12.5,        998,  41.6,  58.3,  39.4,  23.5,61.9
Boston - Clarence R Edwards Middle,00350430,     181,  14.5,        320,  44.7,  55.3,  41.9,  35.6,70.6
Boston - Community Academy,00350518,      47,   8.8,        141,  41.1,  58.9,   5.7,  16.3,62.4
Boston - Community Academy of Science and Health,00350581,     181,  14.2,        379,  47.5,  52.5,  32.7,  35.6,69.4
Boston - Curley K-8 School,00350020,     496,  17.3,        975,  48.3,  51.7,  34.6,  27.2,54.9
Boston - Curtis Guild,00350062,     162,  15.6,        292,  50.3,  49.7,  62.3,  24.7,59.9
Boston - Dante Alighieri Montessori School,00350066,      83,   6.7,         93,  57.0,  43.0,  49.5,  14.0,24.7
Boston - David A Ellis,00350072,     183,  17.1,        463,  50.8,  49.2,  39.1,  12.7,80.8
Boston - Dearborn,00350074,     135,  16.5,        357,  48.7,  51.3,  37.3,  14.0,58.3
Boston - Dennis C Haley,00350077,     185,  22.1,        456,  49.1,  50.9,  19.5,  35.7,42.8
Boston - Donald Mckay,00350080,     307,  22.5,        778,  50.4,  49.6,  53.2,  14.1,56.6
Boston - Dorchester Academy,00350651,      21,   6.5,         40,  60.0,  40.0,   7.5,  25.0,62.5
Boston - Dr. Catherine Ellison-Rosa Parks Early Ed School,00350008,      58,  17.9,        203,  45.8,  54.2,  60.6,  25.6,68
Boston - Dr. William Henderson Lower,00350266,      62,  20.4,        222,  50.5,  49.5,  21.2,  28.4,41.9
Boston - Dr. William Henderson Upper,00350426,     256,  21.5,        651,  45.5,  54.5,   9.5,  38.7,52.4
Boston - ELC - West Zone,00350006,      31,  16.0,        118,  40.7,  59.3,  37.3,  22.9,44.9
Boston - East Boston Early Childhood Center,00350009,      48,  15.7,        192,  52.1,  47.9,  56.3,  25.5,54.7
Boston - East Boston High,00350530,     445,  17.6,"      1,415",  42.7,  57.3,  41.9,  15.8,52.8
Boston - Edison K-8,00350375,     424,  14.4,        662,  44.9,  55.1,  43.8,  21.6,59.4
Boston - Edward Everett,00350088,      93,  18.6,        261,  51.0,  49.0,  24.1,  21.1,65.9
Boston - Eliot Elementary,00350096,     332,  19.1,        642,  49.8,  50.2,   8.4,  19.9,20.4
Boston - Ellis Mendell,00350100,      87,  19.9,        265,  50.2,  49.8,  20.8,  21.1,33.6
Boston - Excel High School,00350522,     173,  18.6,        541,  38.8,  61.2,  34.2,  21.6,62.8
Boston - Fenway High School,00350540,     131,  19.9,        363,  50.4,  49.6,  19.0,  20.9,52.1
Boston - Franklin D Roosevelt,00350116,     123,  22.7,        459,  47.7,  52.3,  17.2,  26.1,43.1
Boston - Gardner Pilot Academy,00350326,     158,  18.0,        401,  47.9,  52.1,  47.6,  26.9,50.9
Boston - George H Conley,00350122,     132,  13.2,        228,  47.4,  52.6,  30.3,  38.6,48.7
Boston - Greater Egleston Community High School,00350543,      75,   7.9,        117,  54.7,  45.3,  15.4,   9.4,70.1
Boston - Harvard-Kent,00350200,     236,  16.2,        477,  41.5,  58.5,  44.2,  24.7,67.7
Boston - Haynes Early Education Center,00350010,      72,  17.9,        222,  45.9,  54.1,  47.7,  17.1,66.2
Boston - Henry Grew,00350135,      85,  20.6,        251,  55.4,  44.6,  22.3,   8.0,68.1
Boston - Higginson,00350015,      72,  16.0,        184,  46.7,  53.3,  50.0,  27.2,82.1
Boston - Higginson/Lewis K-8,00350377,     154,  12.9,        298,  46.6,  53.4,  23.8,  37.9,79.9
Boston - Horace Mann School for the Deaf,00350750,     123,   6.2,         91,  38.5,  61.5,  68.1,  96.7,74.7
Boston - Hugh Roe O'Donnell,00350141,      83,  20.0,        263,  50.2,  49.8,  73.4,  11.8,57.4
Boston - Jackson Mann,00350013,     455,  14.3,        666,  43.1,  56.9,  42.0,  28.1,67.4
Boston - James Condon Elementary,00350146,     550,  20.2,        949,  47.4,  52.6,  30.6,  24.7,67.1
Boston - James J Chittick,00350154,     175,  15.5,        324,  44.4,  55.6,  19.4,  32.4,70.1
Boston - James Otis,00350156,     184,  19.8,        395,  48.1,  51.9,  59.2,  12.7,52.4
Boston - James P Timilty Middle,00350485,     164,  18.2,        356,  50.6,  49.4,  25.3,  21.6,68
Boston - James W Hennigan,00350153,     365,  16.0,        609,  52.9,  47.1,  49.6,  22.3,71.6
Boston - Jeremiah E Burke High,00350525,     145,  19.3,        499,  46.3,  53.7,  35.5,  11.2,60.5
Boston - John D Philbrick,00350172,      73,  21.7,        171,  47.4,  52.6,  17.5,  14.0,49.1
Boston - John F Kennedy,00350166,     156,  17.1,        406,  51.0,  49.0,  44.6,  17.2,67.7
Boston - John W McCormack,00350179,     194,  19.3,        423,  45.4,  54.6,  38.1,  29.6,74.7
Boston - John Winthrop,00350180,     130,  17.6,        323,  52.6,  47.4,  21.4,  16.4,76.5
Boston - Joseph J Hurley,00350182,     133,  20.9,        368,  50.3,  49.7,  54.1,  16.3,52.2
Boston - Joseph Lee,00350183,     208,  19.8,        650,  45.4,  54.6,  17.2,  36.8,66
Boston - Joseph P Manning,00350184,      89,  14.0,        157,  51.0,  49.0,   7.6,  31.2,31.8
Boston - Joseph P Tynan,00350181,     148,  11.0,        234,  41.9,  58.1,  23.9,  44.0,74.8
Boston - Josiah Quincy,00350286,     630,  18.5,        834,  50.2,  49.8,  52.2,  16.1,51.6
Boston - Joyce Kilmer,00350190,     190,  17.3,        475,  48.4,  51.6,   9.7,  25.1,25.1
Boston - King K-8,00350376,     207,  19.5,        497,  49.7,  50.3,  22.5,  21.9,76.1
Boston - Lee Academy,00350001,      95,  16.9,        231,  47.6,  52.4,  29.9,  29.0,59.7
Boston - Lilla G. Frederick Middle School,00350383,     247,  16.5,        565,  45.3,  54.7,  44.1,  26.5,73.1
Boston - Lyndon,00350262,     248,  17.4,        590,  48.6,  51.4,  12.2,  18.0,29.2
Boston - Lyon K-8,00350004,     107,  13.0,        130,  43.8,  56.2,   6.9,  32.3,48.5
Boston - Lyon Upper 9-12,00350655,      57,  14.2,        131,  43.5,  56.5,  15.3,  35.9,50.4
Boston - Madison Park High,00350537,     407,  14.8,        842,  42.4,  57.6,  32.8,  33.6,67.6
Boston - Manassah E Bradley,00350215,     107,  19.1,        288,  46.5,  53.5,  23.3,  19.4,44.8
Boston - Margarita Muniz Academy,00350549,      92,  19.6,        299,  57.9,  42.1,  42.1,  11.7,68.6
Boston - Mario Umana Academy,00350656,     394,  18.9,"      1,013",  46.8,  53.2,  59.5,  15.1,59.7
Boston - Mather,00350227,     307,  20.2,        634,  49.8,  50.2,  40.5,  15.9,61.5
Boston - Mattapan Early Elementary School,00350016,     102,  15.9,        348,  39.4,  60.6,  41.4,  32.8,63.8
Boston - Maurice J Tobin,00350229,     175,  20.2,        442,  53.8,  46.2,  24.0,  13.6,77.6
Boston - Michael J Perkins,00350231,      86,  19.5,        219,  53.9,  46.1,  10.0,  11.9,79.9
