,GEOID,county state,name,state,individual income,POPULATION SIZE,white,african american,age,age under 5,age 85 plus,age 18 plus,age 65 plus,travel time,household size,family size,one unit structure,two unit structure,mobile and other,individual income 25 plus,hs grad,college grad,total households,spanish speaking,indo european language,api language,non euro api,limited english,poverty,poverty 18,poverty 65,household income mean,per capita income,household income median,veterans,unemployment 20 64,uninsured,uninsured 6,uninsured 19,uninsured 65,computers,smartphones,broadband
11,1021,"Chilton County, Alabama",Chilton County, Alabama,31816,45500,80.9,9.2,39.5,6.1,1.9,75.9,16.9,30.7,2.57,3.11,4.1,29.3,76.8,44884,84.2,15.2,17554,7,0.5,0.3,0,3.4,13.6,16.3,12.6,75680,30032,61873,5.4,4.5,10.1,0,2.4,0.2,62.7,84.5,82.1
12,1023,"Choctaw County, Alabama",Choctaw County, Alabama,24814,12525,56.7,38.2,47,5.4,2.7,80.1,23.8,36.3,2.39,3.16,2.8,30.8,82.2,40933,84.2,13.9,5174,2.3,0.4,0,0,0,NA,NA,NA,63315,26781,44483,5.6,4.4,8.2,1.5,3.5,0.2,52.3,78.1,71.7
13,1025,"Clarke County, Alabama",Clarke County, Alabama,27802,22802,51.5,45.4,42.5,5.9,2.7,78.3,20.6,NA,2.65,3.49,8.2,25.3,70.9,40403,85.3,15.4,8452,1.6,0.4,0.6,0.1,0.1,NA,NA,NA,73965,31101,49167,7.1,11.1,8.2,0.9,1.1,0.5,57.4,76.9,71
14,1027,"Clay County, Alabama",Clay County, Alabama,28566,14188,80.5,13,43.8,5.2,1.8,79.3,20.5,NA,2.42,2.85,9.1,22.8,77.7,43519,82.8,15.2,5765,1.8,0.4,0.1,0.2,0.3,NA,NA,NA,71247,29268,51852,6.1,3.3,8.4,0,0,0,55.7,81.2,77.8
15,1029,"Cleburne County, Alabama",Cleburne County, Alabama,32540,15254,92.8,3.9,42.3,5.9,2.4,78.2,20.4,NA,2.58,3.26,4.1,26.7,80,44974,85.4,18.2,5849,1.1,0.6,0,0,0.1,NA,NA,NA,73100,29569,53319,7.6,1.4,9.3,1.3,1.4,2.5,56.5,86.6,75.2
16,1031,"Coffee County, Alabama",Coffee County, Alabama,31845,54231,71.5,16.6,38.8,6.2,1.5,75.9,17.1,NA,2.56,3.18,11.9,10.9,69.2,42585,86,21.5,20860,6.8,1.9,1.2,0.5,1.7,17.6,25.1,11,81266,32757,64672,16,4.2,10.5,5.1,4.7,0.8,70.8,87.4,86.9
17,1033,"Colbert County, Alabama",Colbert County, Alabama,33697,57648,78,15.8,42.3,5.6,1.9,78.6,20.1,NA,2.36,2.96,14.3,7.4,70.8,43548,87.5,20.3,24217,2,0.5,0.1,0.1,0.9,16.9,26.9,11.7,74264,32685,56736,7.4,3.1,7.4,0.9,2.8,0.1,62.2,84,78.9
18,1035,"Conecuh County, Alabama",Conecuh County, Alabama,25273,11411,50.2,45.8,46.3,5.3,2,79.8,24.3,29.7,2.5,3.31,7.5,29.8,74.9,42188,87.5,13.1,4528,0.9,0.2,0.5,0,0.5,NA,NA,NA,61553,26323,42266,5.7,8,8.2,2,3.4,0,47.9,70.9,68.1
19,1037,"Coosa County, Alabama",Coosa County, Alabama,25912,10323,64.6,29.7,50.3,4.8,2.4,83.1,24.8,NA,2.38,3,5.7,32.8,81.3,32224,82.8,14.9,4201,2.3,0.3,0,1.1,0,NA,NA,NA,69698,29035,57063,8.3,4.9,7.4,4,6.1,0,62.7,82.3,80.4
20,1039,"Covington County, Alabama",Covington County, Alabama,28956,37647,83.2,11.7,42.8,5.8,3.1,77.9,21.9,NA,2.55,3.19,8.1,17.9,75.7,38791,86.2,17.2,14495,1.5,0.3,0.5,0,0.1,18,24.4,16.7,73109,30151,50886,9.2,4.3,10.3,8.9,6,0.4,65.5,79.2,78.9
21,1041,"Crenshaw County, Alabama",Crenshaw County, Alabama,27912,13144,70.6,23.4,42.4,5.4,2.1,77.1,19.9,NA,2.55,3.31,9.4,24.4,74.2,40352,82.6,16.8,5075,2.4,0.6,1,0.2,1.6,NA,NA,NA,70635,30321,49040,4.6,4,9.2,13.4,7.4,1.1,54.8,73.4,68
22,1043,"Cullman County, Alabama",Cullman County, Alabama,31232,89463,91,1.1,41.1,5.8,1.7,77.5,18.9,27.1,2.56,3.06,9.5,19.3,76.4,39804,85,19.1,34543,3,0.4,0.5,0.1,0.7,13.9,18.5,10.8,78002,30977,60916,6.8,3.6,10.7,3,3.6,0.5,66.8,86,85.7
23,1045,"Dale County, Alabama",Dale County, Alabama,29847,49516,68.6,21.2,38,6.7,1.5,76.7,18,22.3,2.46,3.14,11.8,17.5,61.3,39308,85.7,19.3,19769,4.3,1.7,1,0.1,1.4,18.7,29.6,12.2,69759,29344,53955,14.6,6.5,10.9,2.1,2.4,0,65.1,87.2,84.5
24,1047,"Dallas County, Alabama",Dallas County, Alabama,23484,37536,27.2,70.5,40.3,5.9,2,76.2,19.8,NA,2.4,3.34,19.2,17.6,61,31940,87.1,17,15416,0.6,0.5,0.2,0.6,0.3,29,46.2,18.5,55600,24368,36810,6.2,11.1,9.3,0.9,1.9,0.3,51.2,79.4,79.3
25,1049,"DeKalb County, Alabama",DeKalb County, Alabama,27493,71946,81.3,1.3,39.6,5.9,1.6,75.8,17.4,NA,2.74,3.3,6,21.2,76.8,36368,78.9,13.9,25946,10,0.8,0.4,0.2,2.8,20.4,30.3,12.7,65789,25274,51149,6.1,4.2,15,5.1,3.8,1.3,63.7,84.9,85.3
26,1051,"Elmore County, Alabama",Elmore County, Alabama,37307,88669,73.3,21.1,38.9,5.4,1.1,78.3,16.1,27.5,2.59,3.07,8,15.7,76.9,48925,89.6,24.4,32529,1.9,0.8,0.4,0.2,0.7,10.3,14.8,7.1,96359,36616,75553,9.2,3.5,7.7,1.9,3.2,0,75.6,90,90.1
27,1053,"Escambia County, Alabama",Escambia County, Alabama,25923,36695,61,30.7,40.5,5.8,2.1,77.2,18.8,22.2,2.67,3.49,10.6,19.2,68.7,35881,82.5,12.5,12781,1.6,0.2,0.3,0.1,1,21.2,25.7,15,60177,22916,44447,7.7,7.9,11.3,0.3,6,0.1,56.1,78.7,75.4
28,1055,"Etowah County, Alabama",Etowah County, Alabama,28692,103208,77.3,15,41.8,5.8,1.6,78.2,19.5,NA,2.6,3.26,11.1,9.7,73.8,38850,85.8,17.5,39160,3.4,0.7,0.5,0.2,0.7,17.1,23.6,12.2,73124,29553,53070,6.6,6.2,12.2,3.8,4.8,1.3,65.6,85.9,85
29,1057,"Fayette County, Alabama",Fayette County, Alabama,25266,16173,84.5,12.3,42.8,4.9,1.8,78.7,21.6,NA,2.62,3.33,9.6,22,78.2,39251,85.2,15.6,6051,0.6,0,0.2,0.3,0,NA,NA,NA,69566,27734,50733,6.4,9.6,7.9,0,1.2,0,56.1,80.2,77.8
30,1059,"Franklin County, Alabama",Franklin County, Alabama,29120,31978,75.7,4,38.6,6.8,2.2,74.9,17.2,NA,2.73,3.46,10,12.9,71.8,36894,79.5,14.9,11593,13,0.1,0.1,0.1,4.4,17.4,26.8,8.3,67215,26036,51493,4.9,2.7,11.8,2.5,9,1.4,50.1,77.5,66.3
31,1061,"Geneva County, Alabama",Geneva County, Alabama,27179,26726,84.3,8.6,44,5.4,2.3,77.9,20.4,26.6,2.51,3.07,4,25.6,78.3,39606,83.2,13.3,10550,2.4,0.2,1.1,0,0.9,NA,NA,NA,66098,26880,50951,10.3,4.7,12.8,5.3,2.8,0.6,63,83.4,76.6
32,1063,"Greene County, Alabama",Greene County, Alabama,21145,7589,17.9,81.5,44.4,4,2.7,78.6,24,NA,2.46,3.49,10.6,37,69.7,30331,82,12.5,3037,0.7,0,0,0.3,0.7,NA,NA,NA,48047,20372,31495,6.6,2.7,13.8,0.4,10.1,0,41.9,69.9,60.4
33,1065,"Hale County, Alabama",Hale County, Alabama,24555,14749,38.4,55.8,41,6.6,2.7,76.2,19.9,NA,2.62,3.75,7.2,40,77,40457,81.9,16.8,5541,1.2,0.1,0.1,0,0,NA,NA,NA,61740,26024,41325,7,6.4,6.3,0.5,3.2,2.7,48.7,79.1,76
34,1067,"Henry County, Alabama",Henry County, Alabama,29853,17450,71,25.2,45,4.9,2.1,79.5,23.3,NA,2.57,3.24,4.3,20.6,80.9,40127,82.2,21.7,6684,1.5,0.5,0.5,0,0.2,NA,NA,NA,78795,31809,60135,9.2,3.4,8,1.7,4.7,0.5,56.9,81.5,80
35,1069,"Houston County, Alabama",Houston County, Alabama,31675,107628,65.5,27.2,40.3,6.2,1.9,76.9,18.4,NA,2.5,3.14,14.7,11,63.9,41532,87.4,22.8,42581,3.2,0.9,1,0.3,0.7,18,27.1,10.8,80048,33053,57531,9.8,4.4,11.7,1.9,3.1,0.8,67.8,88.5,85.3
36,1071,"Jackson County, Alabama",Jackson County, Alabama,28806,52839,89,3,43.4,5.2,1.5,79.2,20.8,NA,2.46,3.06,6.5,21.9,75,38280,82.1,15.6,21186,2.8,0.3,0.3,0,0.7,16.8,23.6,10.6,67768,28452,49454,6.8,5.3,10.5,3.8,2.8,0,62.1,84.5,86.9
37,1073,"Jefferson County, Alabama",Jefferson County, Alabama,35600,669744,49.3,42.5,37.8,6.2,1.9,77,16.5,NA,2.41,3.12,24.3,2.9,63.7,48225,91,35.9,268911,3.9,1.7,1.2,0.7,1.7,16.3,22.8,12.7,97165,39826,64589,6.4,4.6,9.2,3.1,4,0.7,74.6,89.7,88.5
38,1075,"Lamar County, Alabama",Lamar County, Alabama,24510,13809,86.6,9.3,44.5,6.7,1.8,77.7,22.2,25.1,2.74,3.39,11.1,21.4,74,37543,83.9,11.6,4987,0.7,0.7,0,0,0,NA,NA,NA,60489,24169,47447,6.9,6.8,9,0,0,0.1,61,76.3,72.4
39,1077,"Lauderdale County, Alabama",Lauderdale County, Alabama,31515,95037,83.5,9.7,40.7,5,1.9,80.5,20.2,NA,2.38,2.98,18.8,7.5,67.8,43258,89.3,27.1,38777,2.2,1,0.8,0.1,0.9,13.6,18.1,8.2,78675,33595,59082,7.2,3.7,9.8,6.2,5,0.1,68,84.7,81.7
40,1079,"Lawrence County, Alabama",Lawrence County, Alabama,31736,33182,76.1,9.9,42.8,5.4,1.9,78.2,18.8,NA,2.51,3.08,5.2,27.2,81.4,42154,84.6,15.6,13145,1.9,0.1,0.8,0,0.5,13.7,16.8,12.7,76640,31189,60040,8.2,1.9,9.2,1.1,2,0,58.1,78.2,74.4
41,1081,"Lee County, Alabama",Lee County, Alabama,32893,177663,67.7,22.3,33.6,5.5,1.3,78.9,12.9,NA,2.51,3.19,20.9,15.5,65.7,47343,91.4,41.3,67944,4.3,2.1,3.6,0.4,2.5,18.9,16.2,9.9,86713,34504,61123,7.3,3.4,8.7,3.4,2.9,0.3,80.2,91.5,86.9
42,1083,"Limestone County, Alabama",Limestone County, Alabama,40391,107577,75.3,12.8,40.5,5.5,1.2,77.7,15.4,NA,2.61,3.09,8.8,10.1,77.5,55264,87.6,30.4,40021,4.4,1.5,1.5,0.1,1.8,10.1,13.1,12.3,105108,39587,83534,8.5,3.2,8.1,1.4,2.9,0.2,77.9,89.5,89.2
43,1085,"Lowndes County, Alabama",Lowndes County, Alabama,24124,10008,24.5,74.5,42.7,5.7,2.1,78,20.1,NA,2.37,3.12,10.2,38.6,77.3,37059,83.2,13.9,4161,0.9,0,0.2,0,0,NA,NA,NA,58417,24965,35160,6.8,6.8,8.5,3.4,2.1,3.5,55.3,77.7,64.6
44,1087,"Macon County, Alabama",Macon County, Alabama,21180,18951,17.1,78.3,37.8,4.9,2.1,84.5,20.7,NA,2.29,3.02,16.4,20.6,64.8,35286,84.2,20.7,7151,1.7,0.7,0.1,0,0.2,NA,NA,NA,61698,24595,45951,7.4,10.3,9.1,1.3,4.7,0.6,55.5,79.7,75.9
45,1089,"Madison County, Alabama",Madison County, Alabama,42642,397135,64.2,24.3,38.2,5.7,1.6,78.3,15.5,21.9,2.37,3,21.1,3.8,68.8,54786,92.6,45.7,162469,4.5,2.1,2,0.5,1.6,10.5,13.1,8.2,111962,46784,83528,11.1,3.6,7.7,1.6,2.8,0.4,84.6,91.5,91.3
46,1091,"Marengo County, Alabama",Marengo County, Alabama,26673,19027,45,51.3,41.1,6.3,2.7,77.5,20.2,NA,2.47,3.3,14.6,27.5,69,41528,85.6,20.4,7615,1.9,0.9,0.2,0.1,1.6,NA,NA,NA,67077,27957,44205,9.7,2.1,8.6,0,1.7,0,55.2,80.4,76.5
47,1093,"Marion County, Alabama",Marion County, Alabama,24853,29190,91.4,3.6,43.8,5.3,2.3,78.8,21.1,NA,2.62,3.38,13.2,18.7,75.2,37333,82.1,12.8,10874,1.5,0.3,0.7,0,0.2,NA,NA,NA,66253,26555,50714,6.7,6.2,10.2,0.3,1.7,0,55.3,80.4,76.6
48,1095,"Marshall County, Alabama",Marshall County, Alabama,31869,98712,82.1,2.6,38.6,7.3,1.5,74.1,17,25.5,2.71,3.26,9,12.4,75.5,41738,84.4,21.3,35963,10.3,0.9,0.3,0.1,2.3,16.3,23.5,10.8,82099,31025,60946,7.5,3.3,11.5,3.8,4.1,0.6,69.3,88,89.4
49,1097,"Mobile County, Alabama",Mobile County, Alabama,32499,413162,56.1,36,38.4,6.4,1.6,76.6,17,NA,2.53,3.25,17.5,7,64.9,43651,89,25.2,160507,2.3,1.2,1.5,0.4,1,16.3,23.6,11.2,79051,32032,58119,8,5.2,10.9,1.8,3,0.6,69.3,89.2,83.9
50,1099,"Monroe County, Alabama",Monroe County, Alabama,26666,19580,53.7,42.2,43.9,3.5,1.1,78.8,21.2,24.2,2.61,3.47,9.7,18.6,70.2,37694,83.6,11.4,7396,0.1,0.5,0.2,0.6,0,NA,NA,NA,57308,23470,40225,5.4,12.6,11.2,0,2.9,0,47.7,72.5,68.8
51,1101,"Montgomery County, Alabama",Montgomery County, Alabama,32861,227197,31.8,58.8,36.9,6.8,1.8,75.9,15.8,21.4,2.41,3.13,21.1,3.5,57.7,42372,88.8,34.3,90785,2.6,1.1,2.5,0.4,1.7,19.3,28.6,12.4,80704,33404,58153,8.9,6.1,10.6,3.7,3.6,0.9,71.3,89.3,89
52,1103,"Morgan County, Alabama",Morgan County, Alabama,34517,123742,75.4,13.1,40.3,6.1,2,76.7,17.9,24,2.49,3.08,13.8,9.6,72.5,44956,85.1,23.2,48752,7,1,0.4,0.3,1.7,13.6,17.1,11.4,86044,34510,64858,7.9,3.9,11.2,3.4,4.4,0.4,69.9,85.4,83.2
53,1105,"Perry County, Alabama",Perry County, Alabama,18398,8231,28,71,42.5,6.3,2.9,78.7,21,NA,2.3,2.89,17.8,32.8,69.3,26765,82.2,16.8,3195,0,0,0,0.8,0,NA,NA,NA,42730,16960,34368,4.3,10.3,7.5,0,0.4,0,45.6,75.8,71.5
54,1107,"Pickens County, Alabama",Pickens County, Alabama,26637,18843,58.2,39.3,42.5,5,2.3,80.7,19.5,34,2.47,3.18,10.2,23.5,75.4,40218,83.9,13.7,6946,2.2,0.4,0,0,0,NA,NA,NA,66646,26328,47014,6.7,5.3,8.9,0.1,3.2,0,51.4,80.8,75.5
55,1109,"Pike County, Alabama",Pike County, Alabama,27374,32953,56.1,37.4,31.7,5,1.8,80.9,15.4,20.2,2.42,3.15,15.2,22.4,62.9,37240,87.6,27.3,12605,2.4,1.1,1.8,0,0.8,23.4,32.8,12.7,69002,27762,47961,6.9,3.1,8.2,1.8,4.3,0.3,63.1,87.2,80.5
56,1111,"Randolph County, Alabama",Randolph County, Alabama,30152,22310,75.6,16.5,44,5,1.7,79,20.7,NA,2.38,2.97,4.3,24.2,78.7,42666,83.6,20.5,9127,2.3,0.6,0.3,0.3,0.7,NA,NA,NA,70749,29488,51551,5.7,2.6,9,7.2,3.3,0.4,62,83.8,80.7
57,1113,"Russell County, Alabama",Russell County, Alabama,28761,58858,46.6,45.5,37.2,6.7,1.3,75.7,15.2,25.7,2.45,3.16,18.7,13,60.6,38629,85.8,16.9,23784,4.6,1.3,0.9,0.2,1.1,22.2,33,18.6,65547,27383,50046,13.3,6.8,11.5,5.6,3.6,1.6,60.1,84.6,77.5
58,1115,"St. Clair County, Alabama",St. Clair County, Alabama,37446,92903,84.3,9.9,41,5.5,1.2,77.6,17.5,31.2,2.64,3.1,4.6,20.3,82.5,49522,87.6,19.9,34477,2.5,0.6,0.4,0.2,0.6,11.2,15.1,9.7,92258,34937,78993,6.6,3.9,7.3,1.1,2.4,0.2,78.8,91,90.3
59,1117,"Shelby County, Alabama",Shelby County, Alabama,46566,226955,76.5,13.2,40,5.4,1.4,77,16.4,29.7,2.61,3.12,10.2,7,81.3,58609,94,46.2,85414,5.6,1.3,1.8,0.6,1.3,6.9,7.8,8.1,123911,47914,93543,6.3,2.6,6.7,4.4,3.3,0.2,85.4,93.1,93.6
60,1119,"Sumter County, Alabama",Sumter County, Alabama,19795,12020,25.9,71.2,34.9,5.5,1.7,80.8,19.2,23.6,2.1,2.56,6.7,35.9,69.6,27435,88,19,4765,1.1,0,0.4,0.7,0.1,NA,NA,NA,50405,19854,37981,3,7.9,9.2,5.5,3.8,0,61.3,80.7,76.6
61,1121,"Talladega County, Alabama",Talladega County, Alabama,29708,81170,62.7,31.7,42.2,5.4,1.4,79.2,18.9,27.5,2.36,2.84,9.7,25.4,72.6,40660,84.5,16.8,32889,2.7,0.8,0.3,0.2,0.2,17.7,25.8,11.8,72746,29774,56249,6.9,7.5,8.4,3.4,3.8,0.2,61.9,85.8,86.1
62,1123,"Tallapoosa County, Alabama",Tallapoosa County, Alabama,29523,41070,68.7,23.4,45.4,5.2,1.9,79.6,22.7,26.1,2.43,3.02,9.8,17.1,75.6,40852,83.8,18.7,16548,2.3,1,0.6,0,0.5,15.2,21,11.2,75764,31718,57185,7.8,7.6,8.9,0.7,2.2,0.1,66.9,84,82
63,1125,"Tuscaloosa County, Alabama",Tuscaloosa County, Alabama,33079,234036,60.9,32,33,5.5,1.2,79.3,13.7,NA,2.52,3.17,24.5,9.3,62.2,46805,90.9,31.4,87289,3.6,1.8,1.1,0.4,1.1,16.7,20.8,11.5,85068,33674,63947,6.2,4.3,6.7,1.2,2.1,0.2,74.4,90,87.5
64,1127,"Walker County, Alabama",Walker County, Alabama,29524,64886,87.9,6.1,41.3,5.7,1.9,77.3,19.6,NA,2.57,3.16,8.2,26.4,77.5,44332,82.9,16,24843,2.8,0.2,0.3,0,0.7,18,26.8,12.4,69909,28706,54509,5.8,3.6,11.6,7.6,8.6,0.2,61.7,85.1,81.7
65,1129,"Washington County, Alabama",Washington County, Alabama,34501,15270,66.9,22.7,44.1,5.5,1.5,79.3,20.4,NA,2.67,3.11,2.1,24.6,85.9,51568,88.7,16.2,5678,0.2,0.8,0.1,2.4,0.1,NA,NA,NA,80526,31555,60503,6.1,6.5,7.7,0.9,1,0,59.2,78.8,79.4
66,1131,"Wilcox County, Alabama",Wilcox County, Alabama,21692,10347,27.6,70.7,42,6.1,2.4,77.5,21.4,NA,2.75,3.74,4.8,34.4,77.9,36031,77.9,12.3,3693,0.8,0.2,0,0,0,NA,NA,NA,56527,23366,42236,5.4,12.6,9.1,0.4,0.1,0.1,51.1,73.5,73
67,1133,"Winston County, Alabama",Winston County, Alabama,25015,23637,92.8,1.2,45.3,5.2,1.9,79.6,21.9,27.5,2.49,2.96,6.6,29.7,76.6,38061,78.8,13.4,9328,2.1,0.3,0.3,0,0.8,NA,NA,NA,66939,27258,48032,5.7,4.3,9.4,4.4,2.9,0.2,57.2,82.4,77.8
68,2013,"Aleutians East Borough, Alaska",Aleutians East Borough, Alaska,37603,3423,16.6,6,41.8,3.1,1,88,11.5,NA,2.24,2.86,24.9,7.4,57,42353,83.9,18.1,998,4.6,0,11.5,2.5,6.9,NA,NA,NA,86888,46293,72692,4.2,3.8,35,35.2,29.9,0.8,62.5,87.4,58
69,2016,"Aleutians West Census Area, Alaska",Aleutians West Census Area, Alaska,47613,5178,24.6,5.3,39.1,2.3,0.1,86.8,6.4,NA,3.6,4.65,67.7,2,29.5,52198,90.5,17.5,977,6.7,0.5,48.7,3.9,4.2,NA,NA,NA,122928,52596,107344,5.4,3.8,18.1,12,8.6,11.6,67.6,89.9,77.5
70,2020,"Anchorage Municipality, Alaska",Anchorage Municipality, Alaska,47000,289069,58.3,5.3,34.9,6.5,0.9,76.2,12.4,NA,2.61,3.26,32.9,3.7,63.7,59426,94,37.7,107868,6.2,3.3,9.2,2.4,3,9.3,11.3,7.8,127598,49338,98152,11.4,4.3,10,7.6,7.4,1.1,85.2,94.5,94.3
71,2050,"Bethel Census Area, Alaska",Bethel Census Area, Alaska,20327,18487,8.7,1.2,28.7,10.6,0.7,65.2,8,NA,3.75,4.4,16.4,2.6,60.5,35164,81.9,10.4,4661,1,3.4,2.5,68.7,3.5,NA,NA,NA,90872,24976,70616,6,13.6,12.9,4.7,5.5,2.4,52.7,92,80.6
72,2060,"Bristol Bay Borough, Alaska",Bristol Bay Borough, Alaska,51016,878,48.2,0.6,39.3,7.3,0.8,83.4,13.8,NA,2.45,3,16.6,3.9,51.9,58942,95,25.1,283,2.1,2.1,2.5,8.1,2.5,NA,NA,NA,126030,59725,100625,7,4.5,19.5,1.4,4.7,1.7,75.3,90.5,80.6
73,2063,"Chugach Census Area, Alaska",Chugach Census Area, Alaska,46691,6964,72.6,1.4,38.4,6.6,1,78.1,13.1,9.9,2.48,3.05,23,16.8,62.7,55585,95.7,29.6,2679,4.6,5.3,7,1,1,NA,NA,NA,109799,45898,88565,10.4,8.9,14,15.7,8.9,0,88.4,94.1,94.1
74,2066,"Copper River Census Area, Alaska",Copper River Census Area, Alaska,39844,2626,53.4,0.1,45.5,6.9,0.9,73.9,22,24.7,2.27,3.05,10.9,8.4,67.7,58973,91,28.4,1146,0.3,0,0,3.6,0,NA,NA,NA,90710,38788,75053,14.5,6.7,16.8,10.5,14.7,0,73.8,76.2,81.2
75,2068,"Denali Borough, Alaska",Denali Borough, Alaska,55924,2029,78.3,1,44.1,3.9,0.6,86.8,13.6,NA,2.26,3.17,6.8,5.8,78.2,65781,93.4,23.6,533,2.3,2.6,3.6,0,0,NA,NA,NA,103321,73423,88935,10.2,0.8,5.1,2.1,1.8,1.8,86.1,89.5,81.8
76,2070,"Dillingham Census Area, Alaska",Dillingham Census Area, Alaska,28750,4780,15.3,0.6,30.9,8.7,0.8,69.1,12.4,NA,3.18,3.66,18.9,0.9,63.1,47092,87.4,19.4,1383,1.7,0.8,2,52.6,2,NA,NA,NA,91943,34097,74250,3,11.4,16.8,7,10.2,4.8,55.9,93.6,80.1
77,2090,"Fairbanks North Star Borough, Alaska",Fairbanks North Star Borough, Alaska,44698,95555,70.4,3.8,32.4,7.1,0.7,76.1,12.2,19.9,2.53,3.17,27.3,2.3,61.7,57748,94.9,33.7,36176,4.9,4.2,3.9,2.7,1.7,6.2,4.6,5.9,110923,44666,84722,14.1,5,9,4,5.9,0.5,84.5,93.4,90.6
78,2100,"Haines Borough, Alaska",Haines Borough, Alaska,37784,2077,79.2,0.2,52.4,2.9,1.2,78,26.8,15.4,2.24,2.94,11.9,8.9,76.4,42859,98.4,36.9,899,0.6,1.8,1,1.2,0,NA,NA,NA,83299,38529,72607,12.6,5.2,8.6,0,1.1,0,82.1,85.2,81.2
79,2105,"Hoonah-Angoon Census Area, Alaska",Hoonah-Angoon Census Area, Alaska,27519,2313,51.1,0.9,51.4,3.6,1.7,84.8,27.4,NA,2.33,3.15,9.7,4.3,72.2,32900,93.5,23.3,922,3.8,2.8,2.4,10.5,0.9,NA,NA,NA,83266,38180,62500,11.3,15.8,20.8,24.2,17.3,4.1,61.8,78.7,65.4
80,2110,"Juneau City and Borough, Alaska",Juneau City and Borough, Alaska,50438,31969,63.5,0.7,39.8,5,0.4,79.7,15.1,15.8,2.38,3.05,29.8,7.7,64.4,57405,94.7,40.5,13138,4.4,0.8,6.3,2,3,NA,NA,NA,122575,51146,100513,6.9,3.6,8,2.3,6.2,0,86.4,93.7,93.3
