rank,male,female,year
3,James,Emma,1885
4,George,Elizabeth,1885
5,Charles,Margaret,1885
6,Frank,Minnie,1885
7,Joseph,Clara,1885
8,Henry,Bertha,1885
9,Robert,Ida,1885
10,Thomas,Annie,1885
11,Edward,Alice,1885
12,Harry,Florence,1885
13,Walter,Bessie,1885
14,Fred,Grace,1885
15,Arthur,Ethel,1885
16,Albert,Nellie,1885
17,Clarence,Martha,1885
18,Samuel,Sarah,1885
19,Louis,Ella,1885
20,Grover,Mabel,1885
1,John,Mary,1886
2,William,Anna,1886
3,James,Emma,1886
4,George,Elizabeth,1886
5,Charles,Minnie,1886
6,Frank,Margaret,1886
7,Joseph,Ida,1886
8,Robert,Bertha,1886
9,Henry,Clara,1886
10,Thomas,Florence,1886
11,Edward,Alice,1886
12,Harry,Bessie,1886
13,Walter,Annie,1886
14,Arthur,Grace,1886
15,Fred,Ethel,1886
16,Albert,Sarah,1886
17,Clarence,Nellie,1886
18,Samuel,Martha,1886
19,Louis,Ella,1886
20,Roy,Mabel,1886
1,John,Mary,1887
2,William,Anna,1887
3,James,Elizabeth,1887
4,George,Emma,1887
5,Charles,Margaret,1887
6,Frank,Minnie,1887
7,Joseph,Bertha,1887
8,Henry,Clara,1887
9,Thomas,Florence,1887
10,Edward,Ida,1887
11,Robert,Ethel,1887
12,Harry,Annie,1887
13,Walter,Bessie,1887
14,Arthur,Alice,1887
15,Fred,Grace,1887
16,Albert,Ella,1887
17,Clarence,Martha,1887
18,Samuel,Mabel,1887
19,Louis,Nellie,1887
20,Roy,Sarah,1887
1,John,Mary,1888
2,William,Anna,1888
3,James,Elizabeth,1888
4,George,Emma,1888
5,Charles,Margaret,1888
6,Frank,Minnie,1888
7,Joseph,Bertha,1888
8,Robert,Florence,1888
9,Harry,Ethel,1888
10,Henry,Bessie,1888
11,Edward,Clara,1888
12,Thomas,Ida,1888
13,Walter,Alice,1888
14,Arthur,Annie,1888
15,Fred,Grace,1888
16,Albert,Helen,1888
17,Clarence,Mabel,1888
18,Samuel,Ella,1888
19,Louis,Martha,1888
20,Roy,Sarah,1888
1,John,Mary,1889
2,William,Anna,1889
3,James,Elizabeth,1889
4,George,Margaret,1889
5,Charles,Emma,1889
6,Frank,Minnie,1889
7,Joseph,Florence,1889
8,Harry,Ethel,1889
9,Robert,Bessie,1889
10,Edward,Clara,1889
11,Henry,Bertha,1889
12,Thomas,Alice,1889
13,Walter,Annie,1889
14,Arthur,Ida,1889
15,Fred,Grace,1889
16,Albert,Mabel,1889
17,Clarence,Helen,1889
18,Roy,Edna,1889
19,Louis,Nellie,1889
20,Samuel,Sarah,1889
1,John,Mary,1890
2,William,Anna,1890
3,James,Elizabeth,1890
4,George,Margaret,1890
5,Charles,Emma,1890
6,Frank,Florence,1890
7,Joseph,Ethel,1890
8,Robert,Minnie,1890
9,Henry,Clara,1890
10,Harry,Bertha,1890
11,Edward,Bessie,1890
12,Thomas,Helen,1890
13,Walter,Grace,1890
14,Arthur,Alice,1890
15,Fred,Annie,1890
16,Albert,Ida,1890
17,Clarence,Mabel,1890
18,Roy,Edna,1890
19,Louis,Lillian,1890
20,Samuel,Nellie,1890
1,John,Mary,1891
2,William,Anna,1891
3,James,Margaret,1891
4,George,Elizabeth,1891
5,Charles,Emma,1891
6,Frank,Florence,1891
7,Joseph,Ethel,1891
8,Robert,Minnie,1891
9,Harry,Helen,1891
10,Henry,Bertha,1891
11,Edward,Clara,1891
12,Thomas,Bessie,1891
13,Walter,Annie,1891
14,Arthur,Grace,1891
15,Fred,Mabel,1891
16,Albert,Alice,1891
17,Clarence,Ida,1891
18,Roy,Edna,1891
19,Louis,Ruth,1891
20,Samuel,Lillian,1891
1,John,Mary,1892
2,William,Anna,1892
3,James,Elizabeth,1892
4,George,Margaret,1892
5,Charles,Ruth,1892
6,Frank,Florence,1892
7,Joseph,Emma,1892
8,Robert,Ethel,1892
9,Harry,Helen,1892
10,Henry,Clara,1892
11,Edward,Bertha,1892
12,Thomas,Minnie,1892
13,Walter,Bessie,1892
14,Arthur,Alice,1892
15,Fred,Annie,1892
16,Albert,Grace,1892
17,Clarence,Ida,1892
18,Roy,Edna,1892
19,Willie,Mabel,1892
20,Samuel,Lillian,1892
1,John,Mary,1893
2,William,Anna,1893
3,James,Ruth,1893
4,George,Margaret,1893
5,Charles,Elizabeth,1893
6,Joseph,Helen,1893
7,Frank,Florence,1893
8,Robert,Ethel,1893
9,Edward,Emma,1893
10,Harry,Bertha,1893
11,Henry,Clara,1893
12,Thomas,Minnie,1893
13,Walter,Alice,1893
14,Arthur,Edna,1893
15,Fred,Bessie,1893
16,Albert,Grace,1893
17,Clarence,Annie,1893
18,Roy,Ida,1893
19,Willie,Marie,1893
20,Samuel,Lillian,1893
1,John,Mary,1894
2,William,Anna,1894
3,James,Margaret,1894
4,George,Helen,1894
5,Charles,Elizabeth,1894
6,Joseph,Ruth,1894
7,Frank,Ethel,1894
8,Robert,Florence,1894
9,Henry,Emma,1894
10,Harry,Marie,1894
11,Edward,Clara,1894
12,Thomas,Minnie,1894
13,Walter,Bessie,1894
14,Arthur,Bertha,1894
15,Fred,Edna,1894
16,Albert,Lillian,1894
17,Clarence,Alice,1894
18,Roy,Annie,1894
19,Willie,Grace,1894
20,Earl,Mabel,1894
1,John,Mary,1895
2,William,Anna,1895
3,James,Helen,1895
4,George,Margaret,1895
5,Charles,Elizabeth,1895
6,Frank,Ruth,1895
7,Joseph,Florence,1895
8,Robert,Ethel,1895
9,Henry,Marie,1895
10,Edward,Emma,1895
11,Thomas,Bertha,1895
12,Harry,Clara,1895
13,Walter,Minnie,1895
14,Arthur,Edna,1895
15,Fred,Bessie,1895
16,Albert,Lillian,1895
17,Clarence,Alice,1895
18,Willie,Grace,1895
19,Roy,Annie,1895
20,Paul,Mabel,1895
1,John,Mary,1896
2,William,Anna,1896
3,James,Helen,1896
4,George,Margaret,1896
5,Charles,Ruth,1896
6,Joseph,Ethel,1896
7,Frank,Elizabeth,1896
8,Robert,Florence,1896
9,Edward,Marie,1896
10,Henry,Emma,1896
11,Harry,Lillian,1896
12,Thomas,Alice,1896
13,Walter,Edna,1896
14,Arthur,Clara,1896
15,Albert,Bertha,1896
16,Fred,Minnie,1896
17,Clarence,Grace,1896
18,Willie,Bessie,1896
19,Roy,Annie,1896
20,Paul,Rose,1896
1,John,Mary,1897
2,William,Anna,1897
3,James,Helen,1897
4,George,Margaret,1897
5,Charles,Ruth,1897
6,Joseph,Elizabeth,1897
7,Frank,Florence,1897
8,Robert,Ethel,1897
9,Edward,Marie,1897
10,Henry,Emma,1897
11,Thomas,Lillian,1897
12,Walter,Edna,1897
13,Harry,Bertha,1897
14,Arthur,Grace,1897
15,Albert,Clara,1897
16,Fred,Alice,1897
17,Clarence,Bessie,1897
18,Willie,Hazel,1897
19,Roy,Rose,1897
20,Paul,Annie,1897
1,John,Mary,1898
2,William,Anna,1898
3,James,Helen,1898
4,George,Margaret,1898
5,Charles,Ruth,1898
6,Joseph,Florence,1898
7,Robert,Elizabeth,1898
8,Frank,Ethel,1898
9,Edward,Marie,1898
10,Thomas,Lillian,1898
11,Henry,Alice,1898
12,Harry,Edna,1898
13,Walter,Emma,1898
14,Arthur,Clara,1898
15,Fred,Grace,1898
16,Albert,Bessie,1898
17,Clarence,Bertha,1898
18,Willie,Annie,1898
19,Dewey,Hazel,1898
20,Roy,Rose,1898
1,John,Mary,1899
2,William,Anna,1899
3,James,Helen,1899
4,George,Margaret,1899
5,Charles,Ruth,1899
6,Joseph,Florence,1899
7,Robert,Elizabeth,1899
8,Frank,Marie,1899
9,Edward,Ethel,1899
10,Henry,Lillian,1899
11,Thomas,Edna,1899
12,Walter,Alice,1899
13,Harry,Emma,1899
14,Arthur,Clara,1899
15,Albert,Grace,1899
16,Fred,Bertha,1899
17,Clarence,Mildred,1899
18,Willie,Annie,1899
19,Harold,Bessie,1899
20,Roy,Gladys,1899
1,John,Mary,1900
2,William,Helen,1900
3,James,Anna,1900
4,George,Margaret,1900
5,Charles,Ruth,1900
6,Robert,Elizabeth,1900
7,Joseph,Florence,1900
8,Frank,Ethel,1900
9,Edward,Marie,1900
10,Henry,Lillian,1900
11,Thomas,Annie,1900
12,Walter,Edna,1900
13,Harry,Emma,1900
14,Willie,Alice,1900
15,Arthur,Bessie,1900
16,Albert,Bertha,1900
17,Fred,Grace,1900
18,Clarence,Rose,1900
19,Paul,Clara,1900
20,Harold,Mildred,1900
1,John,Mary,1901
2,William,Helen,1901
3,James,Anna,1901
4,George,Margaret,1901
5,Charles,Ruth,1901
6,Joseph,Elizabeth,1901
7,Robert,Marie,1901
8,Frank,Florence,1901
9,Edward,Ethel,1901
10,Henry,Lillian,1901
11,Thomas,Gladys,1901
12,Walter,Alice,1901
13,Harry,Edna,1901
14,Arthur,Mildred,1901
15,Albert,Grace,1901
16,Willie,Annie,1901
17,Clarence,Emma,1901
18,Fred,Clara,1901
19,Paul,Bertha,1901
20,Roy,Rose,1901
1,John,Mary,1902
2,William,Helen,1902
3,James,Anna,1902
4,George,Margaret,1902
5,Charles,Ruth,1902
6,Robert,Elizabeth,1902
7,Joseph,Florence,1902
8,Frank,Marie,1902
9,Edward,Ethel,1902
10,Henry,Alice,1902
11,Thomas,Lillian,1902
12,Walter,Gladys,1902
13,Harry,Edna,1902
14,Willie,Mildred,1902
15,Arthur,Dorothy,1902
16,Albert,Annie,1902
17,Clarence,Grace,1902
18,Fred,Emma,1902
19,Harold,Bessie,1902
20,Paul,Rose,1902
1,John,Mary,1903
2,William,Helen,1903
3,James,Anna,1903
4,George,Margaret,1903
5,Charles,Ruth,1903
6,Joseph,Elizabeth,1903
7,Robert,Marie,1903
8,Frank,Florence,1903
9,Edward,Ethel,1903
10,Thomas,Mildred,1903
11,Henry,Dorothy,1903
12,Walter,Alice,1903
13,Harry,Lillian,1903
14,Willie,Gladys,1903
15,Arthur,Edna,1903
16,Albert,Grace,1903
17,Clarence,Annie,1903
18,Fred,Rose,1903
19,Paul,Frances,1903
20,Harold,Clara,1903
1,John,Mary,1904
2,William,Helen,1904
3,James,Anna,1904
4,George,Margaret,1904
5,Robert,Ruth,1904
6,Charles,Elizabeth,1904
7,Joseph,Marie,1904
8,Frank,Florence,1904
9,Edward,Mildred,1904
10,Henry,Dorothy,1904
11,Thomas,Ethel,1904
12,Walter,Lillian,1904
13,Harry,Alice,1904
14,Willie,Gladys,1904
15,Arthur,Edna,1904
16,Albert,Frances,1904
17,Clarence,Annie,1904
18,Fred,Rose,1904
19,Paul,Grace,1904
20,Harold,Bertha,1904
1,John,Mary,1905
2,William,Helen,1905
3,James,Margaret,1905
4,George,Anna,1905
5,Charles,Ruth,1905
6,Robert,Elizabeth,1905
7,Joseph,Dorothy,1905
8,Frank,Mildred,1905
9,Edward,Marie,1905
10,Thomas,Alice,1905
11,Henry,Florence,1905
12,Walter,Ethel,1905
13,Willie,Lillian,1905
14,Harry,Gladys,1905
15,Albert,Edna,1905
16,Arthur,Frances,1905
17,Clarence,Annie,1905
18,Fred,Rose,1905
19,Paul,Grace,1905
20,Harold,Bessie,1905
1,John,Mary,1906
2,William,Helen,1906
3,James,Margaret,1906
4,George,Anna,1906
5,Robert,Ruth,1906
6,Charles,Dorothy,1906
7,Joseph,Elizabeth,1906
8,Frank,Alice,1906
9,Edward,Mildred,1906
10,Thomas,Florence,1906
11,Henry,Marie,1906
12,Walter,Ethel,1906
13,Willie,Lillian,1906
14,Harry,Frances,1906
15,Arthur,Edna,1906
16,Albert,Gladys,1906
17,Harold,Rose,1906
18,Clarence,Annie,1906
19,Paul,Grace,1906
20,Fred,Irene,1906
1,John,Mary,1907
2,William,Helen,1907
3,James,Margaret,1907
4,George,Anna,1907
5,Robert,Ruth,1907
6,Charles,Dorothy,1907
7,Joseph,Elizabeth,1907
8,Frank,Mildred,1907
9,Edward,Alice,1907
10,Henry,Marie,1907
11,Thomas,Florence,1907
12,Walter,Ethel,1907
13,Willie,Lillian,1907
14,Harry,Gladys,1907
15,Albert,Edna,1907
16,Arthur,Frances,1907
17,Harold,Rose,1907
18,Clarence,Evelyn,1907
19,Fred,Annie,1907
20,Paul,Grace,1907
1,John,Mary,1908
2,William,Helen,1908
3,James,Margaret,1908
4,George,Ruth,1908
5,Robert,Anna,1908
6,Joseph,Dorothy,1908
7,Charles,Elizabeth,1908
8,Frank,Mildred,1908
9,Edward,Alice,1908
10,Thomas,Marie,1908
11,Henry,Florence,1908
12,Walter,Ethel,1908
13,Willie,Lillian,1908
14,Harry,Frances,1908
15,Albert,Gladys,1908
16,Arthur,Rose,1908
17,Harold,Edna,1908
18,Paul,Louise,1908
19,Clarence,Grace,1908
20,Fred,Evelyn,1908
1,John,Mary,1909
2,William,Helen,1909
3,James,Margaret,1909
4,George,Ruth,1909
5,Robert,Dorothy,1909
6,Joseph,Anna,1909
7,Charles,Elizabeth,1909
8,Frank,Mildred,1909
9,Edward,Marie,1909
10,Thomas,Alice,1909
11,Henry,Florence,1909
12,Walter,Frances,1909
13,Willie,Ethel,1909
14,Harry,Lillian,1909
15,Albert,Gladys,1909
16,Harold,Edna,1909
17,Paul,Rose,1909
18,Arthur,Evelyn,1909
19,Clarence,Louise,1909
20,Raymond,Irene,1909
1,John,Mary,1910
2,James,Helen,1910
3,William,Margaret,1910
4,Robert,Dorothy,1910
5,George,Ruth,1910
6,Joseph,Anna,1910
7,Charles,Elizabeth,1910
8,Frank,Mildred,1910
9,Edward,Marie,1910
10,Henry,Alice,1910
11,Willie,Frances,1910
12,Thomas,Florence,1910
13,Walter,Ethel,1910
14,Albert,Lillian,1910
15,Paul,Gladys,1910
16,Harry,Rose,1910
17,Arthur,Evelyn,1910
18,Harold,Edna,1910
19,Raymond,Annie,1910
20,Clarence,Louise,1910
1,John,Mary,1911
2,William,Helen,1911
3,James,Margaret,1911
4,George,Dorothy,1911
5,Robert,Ruth,1911
6,Joseph,Anna,1911
7,Charles,Elizabeth,1911
8,Frank,Mildred,1911
9,Edward,Marie,1911
10,Thomas,Frances,1911
11,Henry,Alice,1911
12,Walter,Florence,1911
13,Harry,Lillian,1911
14,Willie,Rose,1911
15,Albert,Ethel,1911
16,Harold,Evelyn,1911
17,Paul,Edna,1911
18,Arthur,Gladys,1911
19,Raymond,Louise,1911
20,Richard,Catherine,1911
1,John,Mary,1912
2,William,Helen,1912
3,James,Dorothy,1912
4,Robert,Margaret,1912
5,Joseph,Ruth,1912
6,George,Mildred,1912
7,Charles,Anna,1912
8,Edward,Elizabeth,1912
9,Frank,Frances,1912
10,Thomas,Marie,1912
11,Walter,Alice,1912
12,Henry,Florence,1912
13,Harold,Evelyn,1912
14,Paul,Lillian,1912
15,Arthur,Rose,1912
16,Harry,Edna,1912
17,Albert,Louise,1912
18,Raymond,Ethel,1912
19,Richard,Gladys,1912
20,Louis,Virginia,1912
1,John,Mary,1913
2,William,Helen,1913
3,James,Dorothy,1913
4,Robert,Margaret,1913
5,Joseph,Ruth,1913
6,George,Mildred,1913
7,Charles,Anna,1913
8,Edward,Elizabeth,1913
9,Frank,Frances,1913
10,Thomas,Marie,1913
11,Walter,Alice,1913
12,Henry,Evelyn,1913
13,Harold,Florence,1913
14,Paul,Rose,1913
15,Harry,Virginia,1913
16,Albert,Lillian,1913
17,Arthur,Louise,1913
18,Raymond,Edna,1913
19,Richard,Gladys,1913
20,Louis,Ethel,1913
1,John,Mary,1914
2,William,Helen,1914
3,James,Dorothy,1914
4,Robert,Margaret,1914
5,Joseph,Ruth,1914
6,George,Anna,1914
7,Charles,Mildred,1914
8,Edward,Elizabeth,1914
9,Frank,Frances,1914
10,Walter,Marie,1914
11,Thomas,Evelyn,1914
12,Henry,Alice,1914
13,Paul,Florence,1914
14,Harold,Virginia,1914
15,Albert,Rose,1914
16,Raymond,Lillian,1914
17,Richard,Louise,1914
18,Arthur,Catherine,1914
19,Harry,Edna,1914
20,Louis,Gladys,1914
1,John,Mary,1915
2,William,Helen,1915
3,James,Dorothy,1915
4,Robert,Margaret,1915
5,Joseph,Ruth,1915
6,George,Mildred,1915
7,Charles,Anna,1915
8,Edward,Elizabeth,1915
9,Frank,Frances,1915
10,Thomas,Evelyn,1915
11,Walter,Marie,1915
12,Harold,Virginia,1915
13,Paul,Alice,1915
14,Henry,Florence,1915
15,Richard,Lillian,1915
16,Raymond,Rose,1915
17,Albert,Irene,1915
18,Arthur,Louise,1915
19,Harry,Catherine,1915
20,Donald,Edna,1915
1,John,Mary,1916
2,William,Helen,1916
3,James,Dorothy,1916
4,Robert,Margaret,1916
5,Joseph,Ruth,1916
6,Charles,Mildred,1916
7,George,Anna,1916
8,Edward,Elizabeth,1916
9,Frank,Frances,1916
10,Thomas,Virginia,1916
11,Walter,Evelyn,1916
12,Paul,Marie,1916
13,Harold,Alice,1916
14,Henry,Florence,1916
15,Richard,Rose,1916
16,Raymond,Lillian,1916
17,Albert,Irene,1916
18,Arthur,Louise,1916
19,Harry,Edna,1916
20,Donald,Catherine,1916
1,John,Mary,1917
2,William,Helen,1917
3,James,Dorothy,1917
4,Robert,Margaret,1917
5,Joseph,Ruth,1917
6,George,Mildred,1917
7,Charles,Anna,1917
8,Edward,Elizabeth,1917
9,Frank,Frances,1917
10,Thomas,Virginia,1917
11,Walter,Evelyn,1917
12,Harold,Marie,1917
13,Paul,Alice,1917
14,Richard,Florence,1917
15,Henry,Lillian,1917
16,Raymond,Rose,1917
17,Arthur,Irene,1917
18,Albert,Catherine,1917
19,Harry,Louise,1917
20,Donald,Edna,1917
1,John,Mary,1918
2,William,Helen,1918
3,James,Dorothy,1918
4,Robert,Margaret,1918
5,Charles,Ruth,1918
6,George,Mildred,1918
7,Joseph,Virginia,1918
8,Edward,Frances,1918
9,Frank,Elizabeth,1918
10,Thomas,Anna,1918
11,Walter,Evelyn,1918
12,Richard,Marie,1918
13,Harold,Alice,1918
14,Paul,Florence,1918
15,Raymond,Lillian,1918
16,Henry,Irene,1918
17,Arthur,Rose,1918
18,Donald,Louise,1918
19,Albert,Doris,1918
20,Harry,Catherine,1918
1,John,Mary,1919
2,William,Helen,1919
3,James,Dorothy,1919
4,Robert,Margaret,1919
5,Charles,Ruth,1919
6,George,Mildred,1919
7,Joseph,Virginia,1919
8,Edward,Elizabeth,1919
9,Frank,Frances,1919
10,Thomas,Anna,1919
11,Walter,Evelyn,1919
12,Richard,Marie,1919
13,Harold,Alice,1919
14,Raymond,Florence,1919
15,Paul,Betty,1919
16,Henry,Irene,1919
17,Donald,Lillian,1919
18,Albert,Doris,1919
19,Arthur,Rose,1919
20,Harry,Louise,1919
1,John,Mary,1920
2,William,Dorothy,1920
3,Robert,Helen,1920
4,James,Margaret,1920
5,Charles,Ruth,1920
6,George,Mildred,1920
7,Joseph,Virginia,1920
8,Edward,Elizabeth,1920
9,Frank,Frances,1920
10,Richard,Anna,1920
11,Thomas,Betty,1920
12,Harold,Evelyn,1920
13,Walter,Marie,1920
14,Paul,Doris,1920
15,Raymond,Alice,1920
16,Donald,Florence,1920
17,Henry,Irene,1920
18,Arthur,Lillian,1920
19,Albert,Louise,1920
20,Jack,Rose,1920
1,John,Mary,1921
2,Robert,Dorothy,1921
3,William,Helen,1921
4,James,Margaret,1921
5,Charles,Ruth,1921
6,George,Virginia,1921
7,Joseph,Mildred,1921
8,Edward,Betty,1921
9,Frank,Frances,1921
10,Richard,Elizabeth,1921
11,Thomas,Anna,1921
12,Harold,Evelyn,1921
13,Donald,Doris,1921
14,Paul,Marie,1921
15,Walter,Alice,1921
16,Raymond,Marjorie,1921
17,Henry,Florence,1921
18,Jack,Irene,1921
19,Arthur,Lillian,1921
20,Albert,Rose,1921
1,John,Mary,1922
2,Robert,Dorothy,1922
3,William,Helen,1922
4,James,Margaret,1922
5,Charles,Ruth,1922
6,George,Betty,1922
7,Joseph,Virginia,1922
8,Edward,Mildred,1922
9,Richard,Elizabeth,1922
10,Frank,Frances,1922
11,Thomas,Doris,1922
12,Donald,Anna,1922
13,Harold,Evelyn,1922
14,Paul,Marie,1922
15,Walter,Alice,1922
16,Raymond,Marjorie,1922
17,Henry,Irene,1922
18,Jack,Florence,1922
19,Arthur,Lillian,1922
20,Albert,Jean,1922
1,John,Mary,1923
2,Robert,Dorothy,1923
3,William,Helen,1923
4,James,Margaret,1923
5,Charles,Betty,1923
6,George,Ruth,1923
7,Joseph,Virginia,1923
8,Edward,Mildred,1923
9,Richard,Elizabeth,1923
10,Donald,Frances,1923
11,Frank,Doris,1923
12,Thomas,Evelyn,1923
13,Harold,Anna,1923
14,Paul,Marie,1923
15,Raymond,Alice,1923
16,Walter,Marjorie,1923
17,Jack,Irene,1923
18,Henry,Florence,1923
19,Arthur,Jean,1923
20,Albert,Lillian,1923
1,Robert,Mary,1924
2,John,Dorothy,1924
3,William,Helen,1924
4,James,Betty,1924
5,Charles,Margaret,1924
6,George,Ruth,1924
7,Joseph,Virginia,1924
8,Richard,Mildred,1924
9,Edward,Doris,1924
10,Donald,Frances,1924
11,Thomas,Elizabeth,1924
12,Frank,Evelyn,1924
13,Harold,Anna,1924
14,Paul,Marie,1924
15,Raymond,Alice,1924
16,Walter,Jean,1924
17,Jack,Marjorie,1924
18,Henry,Irene,1924
19,Kenneth,Shirley,1924
20,Arthur,Florence,1924
1,Robert,Mary,1925
2,John,Dorothy,1925
3,William,Betty,1925
4,James,Helen,1925
5,Charles,Margaret,1925
6,George,Ruth,1925
7,Joseph,Virginia,1925
8,Richard,Doris,1925
9,Edward,Mildred,1925
10,Donald,Elizabeth,1925
11,Thomas,Frances,1925
12,Frank,Evelyn,1925
13,Paul,Anna,1925
14,Harold,Jean,1925
15,Raymond,Alice,1925
16,Walter,Marie,1925
17,Jack,Shirley,1925
18,Henry,Lois,1925
19,Kenneth,Irene,1925
20,Arthur,Gloria,1925
1,Robert,Mary,1926
2,John,Dorothy,1926
3,James,Betty,1926
4,William,Helen,1926
5,Charles,Margaret,1926
6,George,Ruth,1926
7,Richard,Doris,1926
8,Joseph,Virginia,1926
9,Donald,Mildred,1926
10,Edward,Frances,1926
11,Thomas,Elizabeth,1926
12,Frank,Jean,1926
13,Paul,Evelyn,1926
14,Harold,Shirley,1926
15,Raymond,Anna,1926
16,Jack,Barbara,1926
17,Walter,Alice,1926
18,Kenneth,Marie,1926
19,Henry,Lois,1926
20,Arthur,Gloria,1926
1,Robert,Mary,1927
2,John,Dorothy,1927
3,James,Betty,1927
4,William,Helen,1927
5,Charles,Margaret,1927
6,Richard,Ruth,1927
7,George,Doris,1927
8,Donald,Virginia,1927
9,Joseph,Shirley,1927
10,Edward,Barbara,1927
11,Thomas,Mildred,1927
12,Frank,Frances,1927
13,Paul,Elizabeth,1927
14,Harold,Jean,1927
15,Raymond,Evelyn,1927
16,Jack,Anna,1927
17,Walter,Alice,1927
18,Kenneth,Patricia,1927
19,Henry,Lois,1927
20,Eugene,Marie,1927
1,Robert,Mary,1928
2,John,Betty,1928
3,James,Dorothy,1928
4,William,Helen,1928
5,Charles,Margaret,1928
6,Richard,Ruth,1928
7,Donald,Doris,1928
8,George,Barbara,1928
9,Joseph,Virginia,1928
10,Edward,Shirley,1928
11,Thomas,Patricia,1928
12,Frank,Jean,1928
13,Paul,Frances,1928
14,Harold,Elizabeth,1928
15,Jack,Mildred,1928
16,Raymond,Anna,1928
17,Kenneth,Evelyn,1928
18,Walter,Lois,1928
19,David,Alice,1928
20,Eugene,Dolores,1928
1,Robert,Mary,1929
2,James,Betty,1929
3,John,Dorothy,1929
4,William,Helen,1929
5,Charles,Margaret,1929
6,Richard,Doris,1929
7,Donald,Barbara,1929
8,George,Ruth,1929
9,Joseph,Shirley,1929
10,Edward,Patricia,1929
11,Thomas,Virginia,1929
12,Frank,Jean,1929
13,Paul,Joan,1929
14,Jack,Dolores,1929
15,Raymond,Elizabeth,1929
16,Harold,Frances,1929
17,David,Lois,1929
18,Kenneth,Mildred,1929
19,Walter,Evelyn,1929
20,Eugene,Anna,1929
1,Robert,Mary,1930
2,James,Betty,1930
3,John,Dorothy,1930
4,William,Helen,1930
5,Richard,Margaret,1930
6,Charles,Barbara,1930
7,Donald,Patricia,1930
8,George,Joan,1930
9,Joseph,Doris,1930
10,Edward,Ruth,1930
11,Thomas,Shirley,1930
12,Paul,Virginia,1930
13,Frank,Dolores,1930
14,Jack,Jean,1930
15,David,Elizabeth,1930
16,Raymond,Frances,1930
17,Kenneth,Lois,1930
18,Harold,Joyce,1930
19,Walter,Evelyn,1930
20,Billy,Alice,1930
1,Robert,Mary,1931
2,James,Betty,1931
3,John,Dorothy,1931
4,William,Barbara,1931
5,Richard,Joan,1931
6,Charles,Helen,1931
7,Donald,Margaret,1931
8,George,Patricia,1931
9,Joseph,Shirley,1931
10,Thomas,Doris,1931
11,Edward,Ruth,1931
12,Paul,Virginia,1931
13,David,Jean,1931
14,Kenneth,Dolores,1931
15,Jack,Joyce,1931
16,Frank,Elizabeth,1931
17,Raymond,Nancy,1931
18,Harold,Frances,1931
19,Billy,Marilyn,1931
20,Walter,Lois,1931
1,Robert,Mary,1932
2,James,Betty,1932
