office,candidate,party,county,votes
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Appanoose,2
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Appanoose,25
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Appanoose,1814
President/Vice President,Jill Stein / Ajamu Baraka,Green,Appanoose,42
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Appanoose,1
President/Vice President,Donald Trump / Mike Pence,Republican,Appanoose,4033
President/Vice President,Total,NA,Appanoose,6196
President/Vice President,Write-In,NA,Appanoose,37
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Appanoose,8
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Appanoose,11
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Audubon,9
President/Vice President,Under Votes,NA,Audubon,69
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Audubon,107
President/Vice President,Over Votes,NA,Audubon,5
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Audubon,1
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Audubon,17
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Audubon,1080
President/Vice President,Jill Stein / Ajamu Baraka,Green,Audubon,24
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Audubon,2
President/Vice President,Donald Trump / Mike Pence,Republican,Audubon,2136
President/Vice President,Total,NA,Audubon,3486
President/Vice President,Write-In,NA,Audubon,30
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Audubon,2
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Audubon,4
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Benton,70
President/Vice President,Under Votes,NA,Benton,111
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Benton,542
President/Vice President,Over Votes,NA,Benton,16
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Benton,4
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Benton,61
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Benton,4678
President/Vice President,Jill Stein / Ajamu Baraka,Green,Benton,86
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Benton,2
President/Vice President,Donald Trump / Mike Pence,Republican,Benton,8232
President/Vice President,Total,NA,Benton,13971
President/Vice President,Write-In,NA,Benton,139
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Benton,17
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Benton,13
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Black Hawk,490
President/Vice President,Under Votes,NA,Black Hawk,491
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Black Hawk,2368
President/Vice President,Over Votes,NA,Black Hawk,111
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Black Hawk,11
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Black Hawk,203
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Black Hawk,32233
President/Vice President,Jill Stein / Ajamu Baraka,Green,Black Hawk,610
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Black Hawk,22
President/Vice President,Donald Trump / Mike Pence,Republican,Black Hawk,27476
President/Vice President,Total,NA,Black Hawk,65007
President/Vice President,Write-In,NA,Black Hawk,835
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Black Hawk,60
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Black Hawk,97
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Boone,158
President/Vice President,Under Votes,NA,Boone,98
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Boone,643
President/Vice President,Over Votes,NA,Boone,16
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Boone,0
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Boone,56
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Boone,5541
President/Vice President,Jill Stein / Ajamu Baraka,Green,Boone,104
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Boone,6
President/Vice President,Donald Trump / Mike Pence,Republican,Boone,7484
President/Vice President,Total,NA,Boone,14310
President/Vice President,Write-In,NA,Boone,162
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Boone,22
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Boone,20
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Bremer,88
President/Vice President,Under Votes,NA,Bremer,133
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Bremer,543
President/Vice President,Over Votes,NA,Bremer,20
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Bremer,1
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Bremer,54
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Bremer,5356
President/Vice President,Jill Stein / Ajamu Baraka,Green,Bremer,81
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Bremer,5
President/Vice President,Donald Trump / Mike Pence,Republican,Bremer,7208
President/Vice President,Total,NA,Bremer,13691
President/Vice President,Write-In,NA,Bremer,171
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Bremer,10
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Bremer,21
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Buchanan,48
President/Vice President,Under Votes,NA,Buchanan,97
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Buchanan,478
President/Vice President,Over Votes,NA,Buchanan,28
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Buchanan,1
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Buchanan,58
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Buchanan,3970
President/Vice President,Jill Stein / Ajamu Baraka,Green,Buchanan,54
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Buchanan,2
President/Vice President,Donald Trump / Mike Pence,Republican,Buchanan,5510
President/Vice President,Total,NA,Buchanan,10377
President/Vice President,Write-In,NA,Buchanan,105
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Buchanan,17
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Buchanan,9
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Buena Vista,58
President/Vice President,Under Votes,NA,Buena Vista,77
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Buena Vista,288
President/Vice President,Over Votes,NA,Buena Vista,26
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Buena Vista,0
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Buena Vista,23
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Buena Vista,2856
President/Vice President,Jill Stein / Ajamu Baraka,Green,Buena Vista,48
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Buena Vista,1
President/Vice President,Donald Trump / Mike Pence,Republican,Buena Vista,4903
President/Vice President,Total,NA,Buena Vista,8381
President/Vice President,Write-In,NA,Buena Vista,84
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Buena Vista,13
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Buena Vista,4
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Butler,50
President/Vice President,Under Votes,NA,Butler,61
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Butler,219
President/Vice President,Over Votes,NA,Butler,9
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Butler,0
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Butler,47
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Butler,2157
President/Vice President,Jill Stein / Ajamu Baraka,Green,Butler,43
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Butler,3
President/Vice President,Donald Trump / Mike Pence,Republican,Butler,4921
President/Vice President,Total,NA,Butler,7583
President/Vice President,Write-In,NA,Butler,57
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Butler,5
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Butler,11
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Calhoun,17
President/Vice President,Under Votes,NA,Calhoun,52
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Calhoun,173
President/Vice President,Over Votes,NA,Calhoun,7
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Calhoun,1
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Calhoun,29
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Calhoun,1398
President/Vice President,Jill Stein / Ajamu Baraka,Green,Calhoun,18
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Calhoun,0
President/Vice President,Donald Trump / Mike Pence,Republican,Calhoun,3468
President/Vice President,Total,NA,Calhoun,5218
President/Vice President,Write-In,NA,Calhoun,49
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Calhoun,4
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Calhoun,2
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Carroll,54
President/Vice President,Under Votes,NA,Carroll,125
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Carroll,318
President/Vice President,Over Votes,NA,Carroll,13
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Carroll,0
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Carroll,41
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Carroll,3309
President/Vice President,Jill Stein / Ajamu Baraka,Green,Carroll,61
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Carroll,1
President/Vice President,Donald Trump / Mike Pence,Republican,Carroll,6638
President/Vice President,Total,NA,Carroll,10682
President/Vice President,Write-In,NA,Carroll,90
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Carroll,19
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Carroll,13
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Cass,51
President/Vice President,Under Votes,NA,Cass,59
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Cass,206
President/Vice President,Over Votes,NA,Cass,14
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Cass,1
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Cass,25
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Cass,1951
President/Vice President,Jill Stein / Ajamu Baraka,Green,Cass,52
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Cass,0
President/Vice President,Donald Trump / Mike Pence,Republican,Cass,4761
President/Vice President,Total,NA,Cass,7198
President/Vice President,Write-In,NA,Cass,57
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Cass,13
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Cass,8
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Cedar,38
President/Vice President,Under Votes,NA,Cedar,80
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Cedar,365
President/Vice President,Over Votes,NA,Cedar,10
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Cedar,0
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Cedar,35
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Cedar,3599
President/Vice President,Jill Stein / Ajamu Baraka,Green,Cedar,70
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Cedar,2
President/Vice President,Donald Trump / Mike Pence,Republican,Cedar,5295
President/Vice President,Total,NA,Cedar,9631
President/Vice President,Write-In,NA,Cedar,111
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Cedar,10
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Cedar,16
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Cerro Gordo,145
President/Vice President,Under Votes,NA,Cerro Gordo,141
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Cerro Gordo,851
President/Vice President,Over Votes,NA,Cerro Gordo,31
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Cerro Gordo,2
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Cerro Gordo,26
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Cerro Gordo,9862
President/Vice President,Jill Stein / Ajamu Baraka,Green,Cerro Gordo,130
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Cerro Gordo,8
President/Vice President,Donald Trump / Mike Pence,Republican,Cerro Gordo,11621
President/Vice President,Total,NA,Cerro Gordo,23137
President/Vice President,Write-In,NA,Cerro Gordo,256
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Cerro Gordo,43
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Cerro Gordo,21
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Cherokee,41
President/Vice President,Under Votes,NA,Cherokee,49
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Cherokee,206
President/Vice President,Over Votes,NA,Cherokee,8
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Cherokee,0
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Cherokee,29
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Cherokee,1679
President/Vice President,Jill Stein / Ajamu Baraka,Green,Cherokee,29
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Cherokee,1
President/Vice President,Donald Trump / Mike Pence,Republican,Cherokee,4192
President/Vice President,Total,NA,Cherokee,6315
President/Vice President,Write-In,NA,Cherokee,65
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Cherokee,9
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Cherokee,7
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Chickasaw,28
President/Vice President,Under Votes,NA,Chickasaw,75
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Chickasaw,236
President/Vice President,Over Votes,NA,Chickasaw,8
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Chickasaw,3
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Chickasaw,33
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Chickasaw,2266
President/Vice President,Jill Stein / Ajamu Baraka,Green,Chickasaw,48
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Chickasaw,1
President/Vice President,Donald Trump / Mike Pence,Republican,Chickasaw,3742
President/Vice President,Total,NA,Chickasaw,6518
President/Vice President,Write-In,NA,Chickasaw,63
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Chickasaw,10
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Chickasaw,5
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Clarke,20
President/Vice President,Under Votes,NA,Clarke,51
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Clarke,160
President/Vice President,Over Votes,NA,Clarke,4
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Clarke,0
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Clarke,26
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Clarke,1465
President/Vice President,Jill Stein / Ajamu Baraka,Green,Clarke,18
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Clarke,0
President/Vice President,Donald Trump / Mike Pence,Republican,Clarke,2713
President/Vice President,Total,NA,Clarke,4509
President/Vice President,Write-In,NA,Clarke,39
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Clarke,9
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Clarke,4
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Clay,58
President/Vice President,Under Votes,NA,Clay,74
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Clay,288
President/Vice President,Over Votes,NA,Clay,15
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Clay,1
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Clay,25
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Clay,2249
President/Vice President,Jill Stein / Ajamu Baraka,Green,Clay,35
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Clay,2
President/Vice President,Donald Trump / Mike Pence,Republican,Clay,5877
President/Vice President,Total,NA,Clay,8706
President/Vice President,Write-In,NA,Clay,63
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Clay,13
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Clay,6
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Clayton,47
President/Vice President,Under Votes,NA,Clayton,75
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Clayton,334
President/Vice President,Over Votes,NA,Clayton,13
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Clayton,1
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Clayton,16
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Clayton,3237
President/Vice President,Jill Stein / Ajamu Baraka,Green,Clayton,51
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Clayton,3
President/Vice President,Donald Trump / Mike Pence,Republican,Clayton,5317
President/Vice President,Total,NA,Clayton,9217
President/Vice President,Write-In,NA,Clayton,70
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Clayton,30
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Clayton,23
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Clinton,135
President/Vice President,Under Votes,NA,Clinton,183
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Clinton,825
President/Vice President,Over Votes,NA,Clinton,97
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Clinton,6
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Clinton,105
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Clinton,10095
President/Vice President,Jill Stein / Ajamu Baraka,Green,Clinton,184
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Clinton,5
President/Vice President,Donald Trump / Mike Pence,Republican,Clinton,11276
President/Vice President,Total,NA,Clinton,23347
President/Vice President,Write-In,NA,Clinton,267
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Clinton,66
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Clinton,103
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Crawford,19
President/Vice President,Under Votes,NA,Crawford,74
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Crawford,172
President/Vice President,Over Votes,NA,Crawford,28
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Crawford,2
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Crawford,25
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Crawford,1991
President/Vice President,Jill Stein / Ajamu Baraka,Green,Crawford,33
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Crawford,6
President/Vice President,Donald Trump / Mike Pence,Republican,Crawford,4617
President/Vice President,Total,NA,Crawford,7037
President/Vice President,Write-In,NA,Crawford,57
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Crawford,7
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Crawford,6
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Dallas,519
President/Vice President,Under Votes,NA,Dallas,289
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Dallas,1757
President/Vice President,Over Votes,NA,Dallas,47
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Dallas,8
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Dallas,143
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Dallas,15701
President/Vice President,Jill Stein / Ajamu Baraka,Green,Dallas,181
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Dallas,15
President/Vice President,Donald Trump / Mike Pence,Republican,Dallas,19339
President/Vice President,Total,NA,Dallas,38588
President/Vice President,Write-In,NA,Dallas,535
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Dallas,28
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Dallas,26
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Davis,21
President/Vice President,Under Votes,NA,Davis,55
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Davis,85
President/Vice President,Over Votes,NA,Davis,6
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Davis,0
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Davis,17
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Davis,977
President/Vice President,Jill Stein / Ajamu Baraka,Green,Davis,25
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Davis,1
President/Vice President,Donald Trump / Mike Pence,Republican,Davis,2723
President/Vice President,Total,NA,Davis,3943
President/Vice President,Write-In,NA,Davis,20
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Davis,7
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Davis,6
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Decatur,20
President/Vice President,Under Votes,NA,Decatur,37
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Decatur,123
President/Vice President,Over Votes,NA,Decatur,13
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Decatur,1
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Decatur,26
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Decatur,1201
President/Vice President,Jill Stein / Ajamu Baraka,Green,Decatur,29
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Decatur,1
President/Vice President,Donald Trump / Mike Pence,Republican,Decatur,2296
President/Vice President,Total,NA,Decatur,3784
President/Vice President,Write-In,NA,Decatur,31
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Decatur,5
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Decatur,1
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Delaware,47
President/Vice President,Under Votes,NA,Delaware,85
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Delaware,337
President/Vice President,Over Votes,NA,Delaware,13
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Delaware,2
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Delaware,38
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Delaware,2957
President/Vice President,Jill Stein / Ajamu Baraka,Green,Delaware,40
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Delaware,0
President/Vice President,Donald Trump / Mike Pence,Republican,Delaware,5694
President/Vice President,Total,NA,Delaware,9339
President/Vice President,Write-In,NA,Delaware,69
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Delaware,39
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Delaware,18
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Des Moines,130
President/Vice President,Under Votes,NA,Des Moines,143
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Des Moines,635
President/Vice President,Over Votes,NA,Des Moines,25
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Des Moines,4
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Des Moines,75
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Des Moines,8212
President/Vice President,Jill Stein / Ajamu Baraka,Green,Des Moines,134
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Des Moines,8
President/Vice President,Donald Trump / Mike Pence,Republican,Des Moines,9529
President/Vice President,Total,NA,Des Moines,19271
President/Vice President,Write-In,NA,Des Moines,300
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Des Moines,40
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Des Moines,36
